,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752351833,5.0,0.0,2.0,,5.0,16.172786,3.010453,70.0,-15.0,0.40036855513138864
1,1752351838,5.0,0.0,2.0,0.0,5.0,16.172786,3.010453,70.0,-15.0,0.6286658008029035
2,1752351843,5.0,0.0,2.0,0.0,5.0,16.172786,3.010453,70.0,-15.0,0.7753582740052489
3,1752351848,5.0,0.0,2.0,0.0,5.0,16.172786,3.010453,70.0,-15.0,1.3252768099255519
4,1752351853,5.0,0.0,2.0,0.0,5.0,16.172786,3.010453,70.0,-15.0,1.5731389737328954
5,1752351858,5.0,0.0,5.0,0.0,5.0,8.737114,8.432356,70.0,280.0,1.783843669228792
6,1752351863,5.0,0.0,5.0,0.0,5.0,8.737114,8.432356,70.0,280.0,2.2003056367602416
7,1752351868,5.0,0.0,5.0,0.0,5.0,8.737114,8.432356,70.0,280.0,2.5744117176667825
8,1752351873,5.0,0.0,5.0,0.0,5.0,8.737114,8.432356,70.0,280.0,2.8204287529138874
9,1752351878,5.0,0.0,5.0,0.0,5.0,8.737114,8.432356,70.0,280.0,3.404172640422666
10,1752351883,5.0,0.0,5.0,0.0,5.0,8.737114,8.432356,70.0,280.0,3.6725668597748924
11,1752351888,5.0,0.0,5.0,0.0,5.0,12.168309,21.471854,70.0,267.0,3.7705057582033112
12,1752351893,5.0,0.0,5.0,0.0,5.0,12.168309,21.471854,70.0,267.0,3.7556761232471936
13,1752351898,5.0,0.0,5.0,0.0,5.0,12.168309,21.471854,70.0,267.0,4.163539000004027
14,1752351903,5.0,0.0,5.0,0.0,5.0,12.168309,21.471854,70.0,267.0,4.177922719826276
15,1752351908,5.0,0.0,5.0,0.0,5.0,12.168309,21.471854,70.0,267.0,4.206951162394137
16,1752351913,5.0,0.0,5.0,0.0,5.0,12.168309,21.471854,70.0,267.0,4.1497846504827445
17,1752351918,5.0,0.0,5.0,0.0,5.0,14.204871,7.88458,70.0,281.0,3.962505289757325
18,1752351923,5.0,0.0,5.0,0.0,5.0,14.204871,7.88458,70.0,281.0,3.6789068723487537
19,1752351928,5.0,0.0,5.0,0.0,5.0,14.204871,7.88458,70.0,281.0,3.8217742611219676
20,1752351933,5.0,0.0,5.0,0.0,5.0,14.204871,7.88458,70.0,281.0,3.6532123946751356
21,1752351938,5.0,0.0,5.0,0.0,5.0,14.204871,7.88458,70.0,281.0,3.049899422383925
22,1752351943,5.0,0.0,5.0,0.0,5.0,14.204871,7.88458,70.0,281.0,3.2989803034013008
23,1752351948,5.0,0.0,5.0,0.0,5.0,7.753476,5.687472,70.0,283.0,3.195952757645993
24,1752351953,5.0,0.0,5.0,0.0,5.0,7.753476,5.687472,70.0,283.0,3.1525920449913176
25,1752351958,5.0,0.0,5.0,0.0,5.0,7.753476,5.687472,70.0,283.0,3.1257978985417556
26,1752351963,5.0,0.0,5.0,0.0,5.0,7.753476,5.687472,70.0,283.0,3.1666032530639447
27,1752351968,5.0,0.0,5.0,0.0,5.0,7.753476,5.687472,70.0,283.0,3.119608035250482
28,1752351973,5.0,0.0,5.0,0.0,5.0,7.753476,5.687472,70.0,283.0,2.9083519441317316
29,1752351978,5.0,0.0,5.0,0.0,5.0,7.373473,13.137883,70.0,275.0,3.1452320341835103
30,1752351983,5.0,0.0,5.0,0.0,5.0,7.373473,13.137883,70.0,275.0,3.5091983544279346
31,1752351988,5.0,0.0,5.0,0.0,5.0,7.373473,13.137883,70.0,275.0,3.688166537890416
32,1752351993,5.0,0.0,5.0,0.0,5.0,7.373473,13.137883,70.0,275.0,3.8651758400943006
33,1752351998,5.0,0.0,5.0,0.0,5.0,7.373473,13.137883,70.0,275.0,4.043805377201671
