,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752242308,5.0,0.0,1.0,0.0,5.0,12.753447,0.320876,70.0,-112.0,0.013834138754251112
1,1752242313,5.0,0.0,1.0,0.0,5.0,12.753447,0.320876,70.0,-112.0,0.01621776632406911
2,1752242318,5.0,0.0,1.0,0.0,5.0,12.753447,0.320876,70.0,-112.0,0.025839705243612027
3,1752242323,5.0,0.0,1.0,0.0,5.0,12.753447,0.320876,70.0,-112.0,0.02972220197449553
4,1752242328,5.0,0.0,5.0,0.0,5.0,3.683223,0.243225,70.0,288.0,0.0361989001250648
5,1752242333,5.0,0.0,5.0,0.0,5.0,3.683223,0.243225,70.0,288.0,0.03826882090437137
6,1752242338,5.0,0.0,5.0,0.0,5.0,3.683223,0.243225,70.0,288.0,0.044994327335418305
7,1752242343,5.0,0.0,5.0,0.0,5.0,3.683223,0.243225,70.0,288.0,0.04812035816384928
8,1752242348,5.0,0.0,5.0,0.0,5.0,3.683223,0.243225,70.0,288.0,0.04931978134934623
9,1752242353,5.0,0.0,5.0,0.0,5.0,3.683223,0.243225,70.0,288.0,0.05144534662164029
10,1752242358,5.0,0.0,5.0,0.0,5.0,0.225046,0.249786,70.0,288.0,0.049533870778635275
11,1752242363,5.0,0.0,5.0,0.0,5.0,0.225046,0.249786,70.0,288.0,0.05510303832402501
12,1752242368,5.0,0.0,5.0,0.0,5.0,0.225046,0.249786,70.0,288.0,0.05542171783619282
13,1752242373,5.0,0.0,5.0,0.0,5.0,0.225046,0.249786,70.0,288.0,0.0557343716718094
14,1752242378,5.0,0.0,5.0,0.0,5.0,0.225046,0.249786,70.0,288.0,0.05347002049018807
15,1752242383,5.0,0.0,5.0,0.0,5.0,0.225046,0.249786,70.0,288.0,0.05378247187365356
16,1752242388,5.0,0.0,5.0,0.0,5.0,0.324764,0.709448,70.0,288.0,0.05522189788672039
17,1752242393,5.0,0.0,5.0,0.0,5.0,0.324764,0.709448,70.0,288.0,0.06651085385911687
18,1752242398,5.0,0.0,5.0,0.0,5.0,0.324764,0.709448,70.0,288.0,0.06852821341188428
19,1752242403,5.0,0.0,5.0,0.0,5.0,0.324764,0.709448,70.0,288.0,0.06595629040275104
20,1752242408,5.0,0.0,5.0,0.0,5.0,0.324764,0.709448,70.0,288.0,0.0750296169761366
21,1752242413,5.0,0.0,5.0,0.0,5.0,0.324764,0.709448,70.0,288.0,0.07519140750040572
22,1752242418,5.0,0.0,5.0,0.0,5.0,0.489676,0.345754,70.0,288.0,0.0777299490158389
23,1752242423,5.0,0.0,5.0,0.0,5.0,0.489676,0.345754,70.0,288.0,0.07521005387093967
24,1752242428,5.0,0.0,5.0,0.0,5.0,0.489676,0.345754,70.0,288.0,0.07429219843893402
25,1752242433,5.0,0.0,5.0,0.0,5.0,0.489676,0.345754,70.0,288.0,0.07124627541056859
26,1752242438,5.0,0.0,5.0,0.0,5.0,0.489676,0.345754,70.0,288.0,0.06706259632001152
27,1752242443,5.0,0.0,5.0,0.0,5.0,0.489676,0.345754,70.0,288.0,0.06618506140389677
28,1752242448,5.0,0.0,5.0,0.0,5.0,0.388268,0.213612,70.0,288.0,0.06193402550165209
29,1752242453,5.0,0.0,5.0,0.0,5.0,0.388268,0.213612,70.0,288.0,0.054054315189960345
30,1752242458,5.0,0.0,5.0,0.0,5.0,0.388268,0.213612,70.0,288.0,0.05747250580822699
31,1752242463,5.0,0.0,5.0,0.0,5.0,0.388268,0.213612,70.0,288.0,0.05471430210570713
32,1752242468,5.0,0.0,5.0,0.0,5.0,0.388268,0.213612,70.0,288.0,0.05135773023998959
33,1752242473,5.0,0.0,5.0,0.0,5.0,0.388268,0.213612,70.0,288.0,0.053297756377356
34,1752242478,5.0,0.0,5.0,0.0,5.0,0.260391,0.260568,70.0,288.0,0.05560356552016391
35,1752242483,5.0,0.0,5.0,0.0,5.0,0.260391,0.260568,70.0,288.0,0.05542346795527153
36,1752242488,5.0,0.0,5.0,0.0,5.0,0.260391,0.260568,70.0,288.0,0.05833232845120037
37,1752242493,5.0,0.0,5.0,0.0,5.0,0.260391,0.260568,70.0,288.0,0.0601013091842798
38,1752242498,5.0,0.0,5.0,0.0,5.0,0.260391,0.260568,70.0,288.0,0.062095096752087596
39,1752242503,5.0,0.0,5.0,0.0,5.0,0.260391,0.260568,70.0,288.0,0.0672529469152381
40,1752242508,5.0,0.0,5.0,0.0,5.0,0.400119,0.43076,70.0,288.0,0.06698016608841051
41,1752242513,5.0,0.0,5.0,0.0,5.0,0.400119,0.43076,70.0,288.0,0.06998723085472545
42,1752242518,5.0,0.0,5.0,0.0,5.0,0.400119,0.43076,70.0,288.0,0.06681032939554442
43,1752242523,5.0,0.0,5.0,0.0,5.0,0.400119,0.43076,70.0,288.0,0.07070589776336964
44,1752242528,5.0,0.0,5.0,0.0,5.0,0.400119,0.43076,70.0,288.0,0.06986686729714549
45,1752242533,5.0,0.0,5.0,0.0,5.0,0.400119,0.43076,70.0,288.0,0.07409506848385669
46,1752242538,5.0,0.0,5.0,0.0,5.0,0.483153,0.539673,70.0,288.0,0.0748595522253117
47,1752242543,5.0,0.0,5.0,0.0,5.0,0.483153,0.539673,70.0,288.0,0.07589393322524435
48,1752242548,5.0,0.0,5.0,0.0,5.0,0.483153,0.539673,70.0,288.0,0.07316176343696897
49,1752242553,5.0,0.0,5.0,0.0,5.0,0.483153,0.539673,70.0,288.0,0.07184071590663023
50,1752242558,5.0,0.0,5.0,0.0,5.0,0.483153,0.539673,70.0,288.0,0.07812291395414954
51,1752242563,5.0,0.0,5.0,0.0,5.0,0.483153,0.539673,70.0,288.0,0.08038589965360209
52,1752242568,5.0,0.0,5.0,0.0,5.0,0.5782,0.684519,70.0,288.0,0.07959536641145895
53,1752242573,5.0,0.0,5.0,0.0,5.0,0.5782,0.684519,70.0,288.0,0.08015144706993474
54,1752242578,5.0,0.0,5.0,0.0,5.0,0.5782,0.684519,70.0,288.0,0.0852512722538451
55,1752242583,5.0,0.0,5.0,0.0,5.0,0.5782,0.684519,70.0,288.0,0.08512152847655317
56,1752242588,5.0,0.0,5.0,0.0,5.0,0.5782,0.684519,70.0,288.0,0.08461382513404614
57,1752242593,5.0,0.0,5.0,0.0,5.0,0.5782,0.684519,70.0,288.0,0.08368395832841086
58,1752242598,5.0,0.0,5.0,0.0,5.0,0.587139,0.405953,70.0,288.0,0.07744399516782777
59,1752242603,5.0,0.0,5.0,0.0,5.0,0.587139,0.405953,70.0,288.0,0.07697003159385109
60,1752242608,5.0,0.0,5.0,0.0,5.0,0.587139,0.405953,70.0,288.0,0.07941163230370937
61,1752242613,5.0,0.0,5.0,0.0,5.0,0.587139,0.405953,70.0,288.0,0.07287962839313282
62,1752242618,5.0,0.0,5.0,0.0,5.0,0.587139,0.405953,70.0,288.0,0.07441663835672191
63,1752242623,5.0,0.0,5.0,0.0,5.0,0.587139,0.405953,70.0,288.0,0.07321799247839329
64,1752242628,5.0,0.0,5.0,0.0,5.0,0.480538,0.41474,70.0,288.0,0.07555032604284194
