,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752177435,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,70.0,-211.0,0.009246896328936318
1,1752177440,5.0,0.0,5.0,0.0,5.0,1.305497,0.090257,70.0,288.0,0.01187976441740652
2,1752177445,5.0,0.0,5.0,0.0,5.0,1.305497,0.090257,70.0,288.0,0.01570366473645418
3,1752177450,5.0,0.0,5.0,0.0,5.0,1.305497,0.090257,70.0,288.0,0.017598334587483416
4,1752177455,5.0,0.0,5.0,0.0,5.0,1.305497,0.090257,70.0,288.0,0.023313730226734806
5,1752177460,5.0,0.0,5.0,0.0,5.0,1.305497,0.090257,70.0,288.0,0.027968022608437757
6,1752177465,5.0,0.0,5.0,0.0,5.0,1.305497,0.090257,70.0,288.0,0.029892351403927396
7,1752177470,5.0,0.0,5.0,0.0,5.0,0.659124,0.183093,70.0,288.0,0.03407741764751437
8,1752177475,5.0,0.0,5.0,0.0,5.0,0.659124,0.183093,70.0,288.0,0.03972503711728362
9,1752177480,5.0,0.0,5.0,0.0,5.0,0.659124,0.183093,70.0,288.0,0.042136190210737556
10,1752177485,5.0,0.0,5.0,0.0,5.0,0.659124,0.183093,70.0,288.0,0.042969368139992144
11,1752177490,5.0,0.0,5.0,0.0,5.0,0.659124,0.183093,70.0,288.0,0.04798073682614147
12,1752177495,5.0,0.0,5.0,0.0,5.0,0.659124,0.183093,70.0,288.0,0.04876545578634188
13,1752177500,5.0,0.0,5.0,0.0,5.0,0.173657,0.233348,70.0,288.0,0.04892214479741193
14,1752177505,5.0,0.0,5.0,0.0,5.0,0.173657,0.233348,70.0,288.0,0.050426748290787714
15,1752177510,5.0,0.0,5.0,0.0,5.0,0.173657,0.233348,70.0,288.0,0.050426748290787714
16,1752177515,5.0,0.0,5.0,0.0,5.0,0.173657,0.233348,70.0,288.0,0.049673139957911776
17,1752177520,5.0,0.0,5.0,0.0,5.0,0.173657,0.233348,70.0,288.0,0.05143368981695855
18,1752177525,5.0,0.0,5.0,0.0,5.0,0.173657,0.233348,70.0,288.0,0.05143368981695855
19,1752177530,5.0,0.0,5.0,0.0,5.0,0.228914,0.299833,70.0,288.0,0.04832231185997132
20,1752177535,5.0,0.0,5.0,0.0,5.0,0.228914,0.299833,70.0,288.0,0.05678174112937593
21,1752177540,5.0,0.0,5.0,0.0,5.0,0.228914,0.299833,70.0,288.0,0.05678174112937593
22,1752177545,5.0,0.0,5.0,0.0,5.0,0.228914,0.299833,70.0,288.0,0.057383312703293034
23,1752177550,5.0,0.0,5.0,0.0,5.0,0.228914,0.299833,70.0,288.0,0.06289218365369023
24,1752177555,5.0,0.0,5.0,0.0,5.0,0.228914,0.299833,70.0,288.0,0.06576248216130884
25,1752177560,5.0,0.0,5.0,0.0,5.0,0.363352,0.462938,70.0,288.0,0.0666444766364235
26,1752177565,5.0,0.0,5.0,0.0,5.0,0.363352,0.462938,70.0,288.0,0.07046147505698494
27,1752177570,5.0,0.0,5.0,0.0,5.0,0.363352,0.462938,70.0,288.0,0.06991244808932473
28,1752177575,5.0,0.0,5.0,0.0,5.0,0.363352,0.462938,70.0,288.0,0.06787029143897721
29,1752177580,5.0,0.0,5.0,0.0,5.0,0.363352,0.462938,70.0,288.0,0.06577630535198953
30,1752177585,5.0,0.0,5.0,0.0,5.0,0.363352,0.462938,70.0,288.0,0.0713402724526908
31,1752177590,5.0,0.0,5.0,0.0,5.0,0.451168,0.466618,70.0,288.0,0.06806627200723067
32,1752177595,5.0,0.0,5.0,0.0,5.0,0.451168,0.466618,70.0,288.0,0.07064761427336211
33,1752177600,5.0,0.0,5.0,0.0,5.0,0.451168,0.466618,70.0,288.0,0.07099363846843239
34,1752177605,5.0,0.0,5.0,0.0,5.0,0.451168,0.466618,70.0,288.0,0.06876067772856671
35,1752177610,5.0,0.0,5.0,0.0,5.0,0.451168,0.466618,70.0,288.0,0.06963419131707871
36,1752177615,5.0,0.0,5.0,0.0,5.0,0.451168,0.466618,70.0,288.0,0.06843775839773608
37,1752177620,5.0,0.0,5.0,0.0,5.0,0.438783,0.37163,70.0,288.0,0.07093597614574577
38,1752177625,5.0,0.0,5.0,0.0,5.0,0.438783,0.37163,70.0,288.0,0.07067660315863682
39,1752177630,5.0,0.0,5.0,0.0,5.0,0.438783,0.37163,70.0,288.0,0.06938117340172126
40,1752177635,5.0,0.0,5.0,0.0,5.0,0.438783,0.37163,70.0,288.0,0.06601335746818368
41,1752177640,5.0,0.0,5.0,0.0,5.0,0.438783,0.37163,70.0,288.0,0.06745197233316146
42,1752177645,5.0,0.0,5.0,0.0,5.0,0.438783,0.37163,70.0,288.0,0.06681499468624896
43,1752177650,5.0,0.0,5.0,0.0,5.0,0.420613,0.471885,70.0,288.0,0.06730852464438421
44,1752177655,5.0,0.0,5.0,0.0,5.0,0.420613,0.471885,70.0,288.0,0.06606001610106912
45,1752177660,5.0,0.0,5.0,0.0,5.0,0.420613,0.471885,70.0,288.0,0.06598815465583853
46,1752177665,5.0,0.0,5.0,0.0,5.0,0.420613,0.471885,70.0,288.0,0.06674948037492308
47,1752177670,5.0,0.0,5.0,0.0,5.0,0.420613,0.471885,70.0,288.0,0.06555970065483832
48,1752177675,5.0,0.0,5.0,0.0,5.0,0.420613,0.471885,70.0,288.0,0.06612459415893428
49,1752177680,5.0,0.0,5.0,0.0,5.0,0.393566,0.354877,70.0,288.0,0.06778851526065674
50,1752177685,5.0,0.0,5.0,0.0,5.0,0.393566,0.354877,70.0,288.0,0.06736773988318502
51,1752177690,5.0,0.0,5.0,0.0,5.0,0.393566,0.354877,70.0,288.0,0.06760502811198306
52,1752177695,5.0,0.0,5.0,0.0,5.0,0.393566,0.354877,70.0,288.0,0.06760221875943598
53,1752177700,5.0,0.0,5.0,0.0,5.0,0.393566,0.354877,70.0,288.0,0.06252136528537049
54,1752177705,5.0,0.0,5.0,0.0,5.0,0.393566,0.354877,70.0,288.0,0.06783950516276484
55,1752177710,5.0,0.0,5.0,0.0,5.0,0.412222,0.461363,70.0,288.0,0.06540125574547277
56,1752177715,5.0,0.0,5.0,0.0,5.0,0.412222,0.461363,70.0,288.0,0.0678899002627226
57,1752177720,5.0,0.0,5.0,0.0,5.0,0.412222,0.461363,70.0,288.0,0.07068090298668095
58,1752177725,5.0,0.0,5.0,0.0,5.0,0.412222,0.461363,70.0,288.0,0.06872234354785131
59,1752177730,5.0,0.0,5.0,0.0,5.0,0.412222,0.461363,70.0,288.0,0.07050685531474449
60,1752177735,5.0,0.0,5.0,0.0,5.0,0.412222,0.461363,70.0,288.0,0.07354432863189511
