,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752408975,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0006769809233449478
1,1752408980,4.0,0.0,3.0,,4.0,20.485163,94.405311,70.0,-6.0,0.0006079762270868051
2,1752408985,4.0,0.0,3.0,,4.0,20.485163,94.405311,70.0,-6.0,0.0003492666666666667
3,1752408990,4.0,0.0,3.0,0.0,4.0,20.485163,94.405311,70.0,-6.0,0.00042445765182691107
4,1752408995,4.0,0.0,3.0,0.0,4.0,20.485163,94.405311,70.0,-6.0,0.00035912531612420506
5,1752409000,4.0,0.0,3.0,0.0,4.0,20.485163,94.405311,70.0,-6.0,0.000293792980421499
6,1752409005,4.0,0.0,3.0,0.0,4.0,20.485163,94.405311,70.0,-6.0,
7,1752409010,4.0,0.0,1.0,0.0,4.0,60.642993,70.02757,70.0,-182.0,
8,1752409015,4.0,0.0,1.0,0.0,4.0,60.642993,70.02757,70.0,-182.0,
9,1752409020,4.0,0.0,1.0,30.212303151520665,4.0,60.642993,70.02757,70.0,-182.0,
10,1752409025,4.0,0.0,1.0,30.212303151520665,4.0,60.642993,70.02757,70.0,-182.0,
11,1752409030,4.0,0.0,1.0,30.212303151520665,4.0,60.642993,70.02757,70.0,-182.0,
12,1752409035,4.0,0.0,1.0,30.212303151520665,4.0,60.642993,70.02757,70.0,-182.0,
13,1752409040,6.0,0.0,2.0,30.212303151520665,6.0,116.634931,198.739047,70.0,-210.0,
14,1752409045,6.0,0.0,2.0,30.212303151520665,6.0,116.634931,198.739047,70.0,-210.0,
15,1752409050,6.0,0.0,2.0,0.0,6.0,116.634931,198.739047,70.0,-210.0,0.0018791734904674861
16,1752409055,6.0,0.0,2.0,0.0,6.0,116.634931,198.739047,70.0,-210.0,0.0038718663219172284
17,1752409060,6.0,0.0,2.0,0.0,6.0,116.634931,198.739047,70.0,-210.0,0.00451815352835748
18,1752409065,6.0,0.0,2.0,0.0,6.0,116.634931,198.739047,70.0,-210.0,0.005220480818058546
19,1752409070,6.0,0.0,5.0,0.0,6.0,77.06055,0.0,70.0,289.0,0.005500848485882101
20,1752409075,6.0,0.0,5.0,0.0,6.0,77.06055,0.0,70.0,289.0,0.00595960140851863
21,1752409080,6.0,0.0,5.0,0.0,6.0,77.06055,0.0,70.0,289.0,0.006431554010272941
22,1752409085,6.0,0.0,5.0,0.0,6.0,77.06055,0.0,70.0,289.0,0.006022604458731815
23,1752409090,6.0,0.0,5.0,0.0,6.0,77.06055,0.0,70.0,289.0,0.005816342355932856
24,1752409095,6.0,0.0,5.0,0.0,6.0,77.06055,0.0,70.0,289.0,0.03599392363435879
25,1752409100,6.0,0.0,6.0,0.0,6.0,0.199212,2.329631,70.0,386.0,0.09787074208079276
26,1752409105,6.0,0.0,6.0,0.0,6.0,0.199212,2.329631,70.0,386.0,0.3376537985347108
27,1752409110,6.0,0.0,6.0,0.0,6.0,0.199212,2.329631,70.0,386.0,0.5589827861698626
28,1752409115,6.0,0.0,6.0,0.0,6.0,0.199212,2.329631,70.0,386.0,0.6449728064772616
29,1752409120,6.0,0.0,6.0,0.0,6.0,0.199212,2.329631,70.0,386.0,0.7806948397139774
30,1752409125,6.0,0.0,6.0,0.0,6.0,0.199212,2.329631,70.0,386.0,0.7995218261083942
31,1752409130,2.0,5.0,1.0,0.0,2.0,21.615687,84.405589,70.0,-196.0,0.8333537088950074
32,1752409135,2.0,5.0,1.0,0.0,2.0,21.615687,84.405589,70.0,-196.0,0.8618332038694471
33,1752409140,2.0,5.0,1.0,82.22242849795167,2.0,21.615687,84.405589,70.0,-196.0,0.848165088104635
34,1752409145,2.0,5.0,1.0,82.22242849795167,2.0,21.615687,84.405589,70.0,-196.0,0.7862888618760973
35,1752409150,2.0,5.0,1.0,82.22242849795167,2.0,21.615687,84.405589,70.0,-196.0,0.6699822612626083
36,1752409155,2.0,5.0,1.0,82.22242849795167,2.0,21.615687,84.405589,70.0,-196.0,0.22393136005536804
37,1752409160,3.0,0.0,0.0,82.22242849795167,3.0,67.332394,146.012336,70.0,-358.0,0.1958332743193276
38,1752409165,3.0,0.0,0.0,82.22242849795167,3.0,67.332394,146.012336,70.0,-358.0,0.03328627724778392
39,1752409170,3.0,0.0,0.0,0.0,3.0,67.332394,146.012336,70.0,-358.0,0.0013579960277980674
40,1752409175,3.0,0.0,0.0,0.0,3.0,67.332394,146.012336,70.0,-358.0,0.0010650639148684997
41,1752409180,3.0,0.0,0.0,0.0,3.0,67.332394,146.012336,70.0,-358.0,0.0017299785371662677
42,1752409185,3.0,0.0,0.0,0.0,3.0,67.332394,146.012336,70.0,-358.0,0.0018353504156109703
43,1752409190,3.0,0.0,3.0,0.0,3.0,43.712102,0.0,70.0,89.0,0.0021222035123962847
44,1752409195,3.0,0.0,3.0,0.0,3.0,43.712102,0.0,70.0,89.0,0.0028407474899815864
45,1752409200,3.0,0.0,3.0,0.0,3.0,43.712102,0.0,70.0,89.0,0.0033073824515610227
46,1752409205,3.0,0.0,3.0,0.0,3.0,43.712102,0.0,70.0,89.0,0.0030117968695313243
47,1752409210,3.0,0.0,3.0,0.0,3.0,43.712102,0.0,70.0,89.0,0.0033516063306846724
48,1752409215,3.0,0.0,3.0,0.0,3.0,43.712102,0.0,70.0,89.0,0.003061199052810493
49,1752409220,3.0,0.0,3.0,0.0,3.0,-1e-06,0.0,70.0,89.0,0.003031598136987294
50,1752409225,3.0,0.0,3.0,0.0,3.0,-1e-06,0.0,70.0,89.0,0.002911198867818204
51,1752409230,3.0,0.0,3.0,0.0,3.0,-1e-06,0.0,70.0,89.0,0.0027049138567949204
52,1752409235,3.0,0.0,3.0,0.0,3.0,-1e-06,0.0,70.0,89.0,0.11072962683912832
