,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752414053,1.0,0.0,0.0,,,,,,,0.0051106592675421
1,1752414058,1.0,0.0,0.0,17.391693670893318,,,,,,0.006403714106313436
2,1752414063,1.0,0.0,0.0,17.391693670893318,,,,,,0.007696768945084772
3,1752414068,1.0,0.0,0.0,17.391693670893318,,,,,,0.018363997109279603
4,1752414073,1.0,0.0,0.0,17.391693670893318,,,,,,0.021048994056776554
5,1752414078,5.0,0.0,1.0,17.391693670893318,5.0,117.62397,168.891828,70.0,-280.0,0.0237339910042735
6,1752414083,5.0,0.0,1.0,17.391693670893318,5.0,117.62397,168.891828,70.0,-280.0,0.024167574693926653
7,1752414088,5.0,0.0,1.0,187.46213899787267,5.0,117.62397,168.891828,70.0,-280.0,0.026621292158153228
8,1752414093,5.0,0.0,1.0,187.46213899787267,5.0,117.62397,168.891828,70.0,-280.0,0.029075009622379803
9,1752414098,5.0,0.0,1.0,187.46213899787267,5.0,117.62397,168.891828,70.0,-280.0,0.028305459198402827
10,1752414103,5.0,0.0,1.0,187.46213899787267,5.0,117.62397,168.891828,70.0,-280.0,0.03051510905187026
11,1752414108,5.0,0.0,1.0,187.46213899787267,5.0,180.108892,338.217363,70.0,-450.0,0.030515109051870264
12,1752414113,5.0,0.0,1.0,187.46213899787267,5.0,180.108892,338.217363,70.0,-450.0,0.021926393980320282
13,1752414118,5.0,0.0,1.0,321.3875401325325,5.0,180.108892,338.217363,70.0,-450.0,0.021926393980320282
14,1752414123,5.0,0.0,1.0,321.3875401325325,5.0,180.108892,338.217363,70.0,-450.0,0.021926393980320282
15,1752414128,5.0,0.0,1.0,321.3875401325325,5.0,180.108892,338.217363,70.0,-450.0,0.029631650240553038
16,1752414133,5.0,0.0,1.0,321.3875401325325,5.0,180.108892,338.217363,70.0,-450.0,0.029631650240553038
17,1752414138,8.0,0.0,1.0,321.3875401325325,8.0,254.993691,507.171061,70.0,-619.0,0.029631650240553038
18,1752414143,8.0,0.0,1.0,321.3875401325325,8.0,254.993691,507.171061,70.0,-619.0,0.023950862180733824
19,1752414148,8.0,0.0,1.0,371.73748180555265,8.0,254.993691,507.171061,70.0,-619.0,0.023950862180733824
20,1752414153,8.0,0.0,1.0,371.73748180555265,8.0,254.993691,507.171061,70.0,-619.0,0.023950862180733824
21,1752414158,8.0,0.0,1.0,371.73748180555265,8.0,254.993691,507.171061,70.0,-619.0,0.022658485980200364
22,1752414163,8.0,0.0,1.0,371.73748180555265,8.0,254.993691,507.171061,70.0,-619.0,0.01715055310561328
23,1752414168,8.0,0.0,1.0,371.73748180555265,8.0,275.024138,283.832929,70.0,-395.0,0.01715055310561328
24,1752414173,8.0,0.0,1.0,371.73748180555265,8.0,275.024138,283.832929,70.0,-395.0,0.0059979640401903785
25,1752414178,8.0,0.0,1.0,427.8143676684768,8.0,275.024138,283.832929,70.0,-395.0,0.016567791717980295
26,1752414183,8.0,0.0,1.0,427.8143676684768,8.0,275.024138,283.832929,70.0,-395.0,0.016567791717980295
27,1752414188,8.0,0.0,1.0,427.8143676684768,8.0,275.024138,283.832929,70.0,-395.0,0.02321314036432235
28,1752414193,8.0,0.0,1.0,427.8143676684768,8.0,275.024138,283.832929,70.0,-395.0,0.020316419443402
29,1752414198,9.0,0.0,1.0,427.8143676684768,9.0,314.930483,571.471751,70.0,-683.0,0.020316419443402
30,1752414203,9.0,0.0,1.0,427.8143676684768,9.0,314.930483,571.471751,70.0,-683.0,0.023000809942546423
31,1752414208,9.0,0.0,1.0,445.3969127023194,9.0,314.930483,571.471751,70.0,-683.0,0.021268532836092407
32,1752414213,9.0,0.0,1.0,445.3969127023194,9.0,314.930483,571.471751,70.0,-683.0,0.021268532836092407
33,1752414218,9.0,0.0,1.0,445.3969127023194,9.0,314.930483,571.471751,70.0,-683.0,0.021268532836092407
34,1752414223,9.0,0.0,1.0,445.3969127023194,9.0,314.930483,571.471751,70.0,-683.0,0.00794542791919714
35,1752414228,9.0,0.0,1.0,445.3969127023194,9.0,336.63578,426.955514,70.0,-538.0,0.00794542791919714
36,1752414233,9.0,0.0,1.0,445.3969127023194,9.0,336.63578,426.955514,70.0,-538.0,0.00794542791919714
37,1752414238,9.0,0.0,1.0,477.1757494218336,9.0,336.63578,426.955514,70.0,-538.0,0.0048319729111539755
38,1752414243,9.0,0.0,1.0,477.1757494218336,9.0,336.63578,426.955514,70.0,-538.0,0.0048319729111539755
39,1752414248,9.0,0.0,1.0,477.1757494218336,9.0,336.63578,426.955514,70.0,-538.0,0.0048319729111539755
40,1752414253,9.0,0.0,1.0,477.1757494218336,9.0,336.63578,426.955514,70.0,-538.0,0.00431877412562874
41,1752414258,9.0,0.0,1.0,477.1757494218336,9.0,351.438926,406.181157,70.0,-518.0,0.00431877412562874
42,1752414263,9.0,0.0,1.0,477.1757494218336,9.0,351.438926,406.181157,70.0,-518.0,0.00431877412562874
43,1752414268,9.0,0.0,1.0,248.19653362859336,9.0,351.438926,406.181157,70.0,-518.0,0.01554182649924948
44,1752414273,9.0,0.0,1.0,248.19653362859336,9.0,351.438926,406.181157,70.0,-518.0,0.01554182649924948
45,1752414278,9.0,0.0,1.0,248.19653362859336,9.0,351.438926,406.181157,70.0,-518.0,0.01554182649924948
46,1752414283,9.0,0.0,1.0,248.19653362859336,9.0,351.438926,406.181157,70.0,-518.0,0.01894748405386251
47,1752414288,9.0,0.0,1.0,248.19653362859336,9.0,347.076181,423.080561,70.0,-535.0,0.01894748405386251
48,1752414293,9.0,0.0,1.0,248.19653362859336,9.0,347.076181,423.080561,70.0,-535.0,0.015952103917903318
49,1752414298,9.0,0.0,1.0,464.0,9.0,347.076181,423.080561,70.0,-535.0,0.01961346294046171
50,1752414303,9.0,0.0,1.0,464.0,9.0,347.076181,423.080561,70.0,-535.0,0.015724108918464118
51,1752414308,9.0,0.0,1.0,464.0,9.0,347.076181,423.080561,70.0,-535.0,0.015724108918464118
52,1752414313,9.0,0.0,1.0,464.0,9.0,347.076181,423.080561,70.0,-535.0,0.006514733003604669
53,1752414318,9.0,0.0,1.0,464.0,9.0,360.607926,475.001815,70.0,-587.0,0.006514733003604669
54,1752414323,9.0,0.0,1.0,464.0,9.0,360.607926,475.001815,70.0,-587.0,0.006514733003604669
55,1752414328,9.0,0.0,1.0,518.6745869814955,9.0,360.607926,475.001815,70.0,-587.0,0.0031640440020953265
56,1752414333,9.0,0.0,1.0,518.6745869814955,9.0,360.607926,475.001815,70.0,-587.0,0.0031640440020953265
57,1752414338,9.0,0.0,1.0,518.6745869814955,9.0,360.607926,475.001815,70.0,-587.0,0.0031640440020953265
58,1752414343,9.0,0.0,1.0,518.6745869814955,9.0,360.607926,475.001815,70.0,-587.0,0.005282071440090321
59,1752414348,9.0,0.0,1.0,518.6745869814955,9.0,380.798567,606.568974,70.0,-718.0,0.005282071440090321
60,1752414353,9.0,0.0,1.0,518.6745869814955,9.0,380.798567,606.568974,70.0,-718.0,0.008314750706298992
61,1752414358,9.0,0.0,1.0,771.0044771560598,9.0,380.798567,606.568974,70.0,-718.0,0.008314750706298992
