,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752415094,5.0,0.0,0.0,0.006120916146076092,5.0,1.0,1.0,70.0,-212.0,0.03834990080292014
1,1752415099,5.0,0.0,5.0,0.006120916146076092,5.0,1.306332,0.020071,70.0,288.0,0.035248589977651325
2,1752415104,5.0,0.0,5.0,0.006120916146076092,5.0,1.306332,0.020071,70.0,288.0,0.032990790398297755
3,1752415109,5.0,0.0,5.0,0.0,5.0,1.306332,0.020071,70.0,288.0,0.03739004271456697
4,1752415114,5.0,0.0,5.0,0.0,5.0,1.306332,0.020071,70.0,288.0,0.03671170441550677
5,1752415119,5.0,0.0,5.0,0.0,5.0,1.306332,0.020071,70.0,288.0,0.03752808706353435
6,1752415124,5.0,0.0,5.0,0.0,5.0,1.306332,0.020071,70.0,288.0,0.03819693625712416
7,1752415129,5.0,0.0,5.0,0.0,5.0,0.660777,0.050211,70.0,288.0,0.014394030285628131
8,1752415134,5.0,0.0,5.0,0.0,5.0,0.660777,0.050211,70.0,288.0,0.016037620684230005
9,1752415139,5.0,0.0,5.0,0.0,5.0,0.660777,0.050211,70.0,288.0,0.016832927226709034
10,1752415144,5.0,0.0,5.0,0.0,5.0,0.660777,0.050211,70.0,288.0,0.017729376763085013
11,1752415149,5.0,0.0,5.0,0.0,5.0,0.660777,0.050211,70.0,288.0,0.019930969383255632
12,1752415154,5.0,0.0,5.0,0.0,5.0,0.660777,0.050211,70.0,288.0,0.01955537335012093
13,1752415159,5.0,0.0,5.0,0.0,5.0,0.063487,0.081412,70.0,288.0,0.020527101684782875
14,1752415164,5.0,0.0,5.0,0.0,5.0,0.063487,0.081412,70.0,288.0,0.020422620582157727
15,1752415169,5.0,0.0,5.0,0.0,5.0,0.063487,0.081412,70.0,288.0,0.022231172027572077
16,1752415174,5.0,0.0,5.0,0.0,5.0,0.063487,0.081412,70.0,288.0,0.022645610828958558
17,1752415179,5.0,0.0,5.0,0.0,5.0,0.063487,0.081412,70.0,288.0,0.02219564731101311
18,1752415184,5.0,0.0,5.0,0.0,5.0,0.063487,0.081412,70.0,288.0,0.022920790170601755
19,1752415189,5.0,0.0,5.0,0.0,5.0,0.091076,0.093868,70.0,288.0,0.022276280074550184
20,1752415194,5.0,0.0,5.0,0.0,5.0,0.091076,0.093868,70.0,288.0,0.02217077986255762
21,1752415199,5.0,0.0,5.0,0.0,5.0,0.091076,0.093868,70.0,288.0,0.0209489012050799
22,1752415204,5.0,0.0,5.0,0.0,5.0,0.091076,0.093868,70.0,288.0,0.02136620985067591
23,1752415209,5.0,0.0,5.0,0.0,5.0,0.091076,0.093868,70.0,288.0,0.01988636601889987
24,1752415214,5.0,0.0,5.0,0.0,5.0,0.091076,0.093868,70.0,288.0,0.02035263332385262
25,1752415219,5.0,0.0,5.0,0.0,5.0,0.069883,0.0407,70.0,288.0,0.01906756275303704
26,1752415224,5.0,0.0,5.0,0.0,5.0,0.069883,0.0407,70.0,288.0,0.018310685825297924
27,1752415229,5.0,0.0,5.0,0.0,5.0,0.069883,0.0407,70.0,288.0,0.018953783098413127
28,1752415234,5.0,0.0,5.0,0.0,5.0,0.069883,0.0407,70.0,288.0,0.018837683707816504
29,1752415239,5.0,0.0,5.0,0.0,5.0,0.069883,0.0407,70.0,288.0,0.01869917494290969
30,1752415244,5.0,0.0,5.0,0.0,5.0,0.069883,0.0407,70.0,288.0,0.01868355873323809
31,1752415249,5.0,0.0,5.0,0.0,5.0,0.046331,0.065068,70.0,288.0,0.019037402955076388
32,1752415254,5.0,0.0,5.0,0.0,5.0,0.046331,0.065068,70.0,288.0,0.018627214927478562
33,1752415259,5.0,0.0,5.0,0.0,5.0,0.046331,0.065068,70.0,288.0,0.01976177612926906
34,1752415264,5.0,0.0,5.0,0.0,5.0,0.046331,0.065068,70.0,288.0,0.019293153647842978
35,1752415269,5.0,0.0,5.0,0.0,5.0,0.046331,0.065068,70.0,288.0,0.01955314437134156
36,1752415274,5.0,0.0,5.0,0.0,5.0,0.046331,0.065068,70.0,288.0,0.019114331875273352
37,1752415279,5.0,0.0,5.0,0.0,5.0,0.054872,0.062094,70.0,288.0,0.019978171929018792
38,1752415284,5.0,0.0,5.0,0.0,5.0,0.054872,0.062094,70.0,288.0,0.01936942872897318
39,1752415289,5.0,0.0,5.0,0.0,5.0,0.054872,0.062094,70.0,288.0,0.020586917021292155
40,1752415294,5.0,0.0,5.0,0.0,5.0,0.054872,0.062094,70.0,288.0,0.021194298398660223
41,1752415299,5.0,0.0,5.0,0.0,5.0,0.054872,0.062094,70.0,288.0,0.021464925389718666
42,1752415304,5.0,0.0,5.0,0.0,5.0,0.054872,0.062094,70.0,288.0,0.020581990398610615
43,1752415309,5.0,0.0,5.0,0.0,5.0,0.06554,0.067813,70.0,288.0,0.021649993174391684
44,1752415314,5.0,0.0,5.0,0.0,5.0,0.06554,0.067813,70.0,288.0,0.02167635500735609
45,1752415319,5.0,0.0,5.0,0.0,5.0,0.06554,0.067813,70.0,288.0,0.02221680707261759
46,1752415324,5.0,0.0,5.0,0.0,5.0,0.06554,0.067813,70.0,288.0,0.022141150938090687
47,1752415329,5.0,0.0,5.0,0.0,5.0,0.06554,0.067813,70.0,288.0,0.022091498605865456
48,1752415334,5.0,0.0,5.0,0.0,5.0,0.06554,0.067813,70.0,288.0,0.022271692815726236
49,1752415339,5.0,0.0,5.0,0.0,5.0,0.083777,0.079207,70.0,288.0,0.023262122697415483
50,1752415344,5.0,0.0,5.0,0.0,5.0,0.083777,0.079207,70.0,288.0,0.023245433571174114
51,1752415349,5.0,0.0,5.0,0.0,5.0,0.083777,0.079207,70.0,288.0,0.023034137752622016
52,1752415354,5.0,0.0,5.0,0.0,5.0,0.083777,0.079207,70.0,288.0,0.022769896671154692
53,1752415359,5.0,0.0,5.0,0.0,5.0,0.083777,0.079207,70.0,288.0,0.02243758386593882
54,1752415364,5.0,0.0,5.0,0.0,5.0,0.083777,0.079207,70.0,288.0,0.022342109046506207
55,1752415369,5.0,0.0,5.0,0.0,5.0,0.083401,0.070641,70.0,288.0,0.021074594344332766
56,1752415374,5.0,0.0,5.0,0.0,5.0,0.083401,0.070641,70.0,288.0,0.020862595372642016
57,1752415379,5.0,0.0,5.0,0.0,5.0,0.083401,0.070641,70.0,288.0,0.02173389153865771
58,1752415384,5.0,0.0,5.0,0.0,5.0,0.083401,0.070641,70.0,288.0,0.02148744965491105
59,1752415389,5.0,0.0,5.0,0.0,5.0,0.083401,0.070641,70.0,288.0,0.021224769935348567
60,1752415394,5.0,0.0,5.0,0.0,5.0,0.083401,0.070641,70.0,288.0,0.02060183144864034
61,1752415399,5.0,0.0,5.0,0.0,5.0,0.07491,0.086458,70.0,288.0,0.02105165135236834
62,1752415404,5.0,0.0,5.0,0.0,5.0,0.07491,0.086458,70.0,288.0,0.02191524181704988
63,1752415409,5.0,0.0,5.0,0.0,5.0,0.07491,0.086458,70.0,288.0,0.022552363279762025
64,1752415414,5.0,0.0,5.0,0.0,5.0,0.07491,0.086458,70.0,288.0,0.02124459353431791
65,1752415419,5.0,0.0,5.0,0.0,5.0,0.07491,0.086458,70.0,288.0,0.02080106943786489
66,1752415424,5.0,0.0,5.0,0.0,5.0,0.07491,0.086458,70.0,288.0,0.02150300890131871
67,1752415429,5.0,0.0,5.0,0.0,5.0,0.074743,0.064204,70.0,288.0,0.02062101694943269
68,1752415434,5.0,0.0,5.0,0.0,5.0,0.074743,0.064204,70.0,288.0,0.021095757134406746
69,1752415439,5.0,0.0,5.0,0.0,5.0,0.074743,0.064204,70.0,288.0,0.020715714488440697
70,1752415444,5.0,0.0,5.0,0.0,5.0,0.074743,0.064204,70.0,288.0,0.020643229372699325
71,1752415449,5.0,0.0,5.0,0.0,5.0,0.074743,0.064204,70.0,288.0,0.02184740823459066
72,1752415454,5.0,0.0,5.0,0.0,5.0,0.074743,0.064204,70.0,288.0,0.022157128128674205
73,1752415459,5.0,0.0,5.0,0.0,5.0,0.073536,0.073316,70.0,288.0,0.02250782319181647
74,1752415464,5.0,0.0,5.0,0.0,5.0,0.073536,0.073316,70.0,288.0,0.022824275454700026
75,1752415469,5.0,0.0,5.0,0.0,5.0,0.073536,0.073316,70.0,288.0,0.02269841979904555
76,1752415474,5.0,0.0,5.0,0.0,5.0,0.073536,0.073316,70.0,288.0,0.021230876429293655
77,1752415479,5.0,0.0,5.0,0.0,5.0,0.073536,0.073316,70.0,288.0,0.02277504008676397
78,1752415484,5.0,0.0,5.0,0.0,5.0,0.073536,0.073316,70.0,288.0,0.021349894285918054
79,1752415489,5.0,0.0,5.0,0.0,5.0,0.082222,0.109127,70.0,288.0,0.02274819567742007
80,1752415494,5.0,0.0,5.0,0.0,5.0,0.082222,0.109127,70.0,288.0,0.0229398549454651
81,1752415499,5.0,0.0,5.0,0.0,5.0,0.082222,0.109127,70.0,288.0,0.022939854945465105
82,1752415504,5.0,0.0,5.0,0.0,5.0,0.082222,0.109127,70.0,288.0,0.022609856045146707
83,1752415509,5.0,0.0,5.0,0.0,5.0,0.082222,0.109127,70.0,288.0,0.022422256547119906
84,1752415514,5.0,0.0,5.0,0.0,5.0,0.082222,0.109127,70.0,288.0,0.02251266857765892
85,1752415519,5.0,0.0,5.0,0.0,5.0,0.081124,0.076321,70.0,288.0,0.021015287452915307
86,1752415524,5.0,0.0,5.0,0.0,5.0,0.081124,0.076321,70.0,288.0,0.022384663938489334
87,1752415529,5.0,0.0,5.0,0.0,5.0,0.081124,0.076321,70.0,288.0,0.02243816402422915
88,1752415534,5.0,0.0,5.0,0.0,5.0,0.081124,0.076321,70.0,288.0,0.020990123265462155
89,1752415539,5.0,0.0,5.0,0.0,5.0,0.081124,0.076321,70.0,288.0,0.020749501257336257
90,1752415544,5.0,0.0,5.0,0.0,5.0,0.081124,0.076321,70.0,288.0,0.021639381205449164
91,1752415549,5.0,0.0,5.0,0.0,5.0,0.075533,0.079077,70.0,288.0,0.02123513018453958
92,1752415554,5.0,0.0,5.0,0.0,5.0,0.075533,0.079077,70.0,288.0,0.022263450025071206
93,1752415559,5.0,0.0,5.0,0.0,5.0,0.075533,0.079077,70.0,288.0,0.022143510937613003
94,1752415564,5.0,0.0,5.0,0.0,5.0,0.075533,0.079077,70.0,288.0,0.022239449803074112
95,1752415569,5.0,0.0,5.0,0.0,5.0,0.075533,0.079077,70.0,288.0,0.02085139116612803
96,1752415574,5.0,0.0,5.0,0.0,5.0,0.075533,0.079077,70.0,288.0,0.021992433133313352
97,1752415579,5.0,0.0,5.0,0.0,5.0,0.076138,0.07025,70.0,288.0,0.021747540392028156
98,1752415584,5.0,0.0,5.0,0.0,5.0,0.076138,0.07025,70.0,288.0,0.021062723628564085
99,1752415589,5.0,0.0,5.0,0.0,5.0,0.076138,0.07025,70.0,288.0,0.019872456193627343
