,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752415094,1.0,0.0,1.0,0.14660914512079526,0.0,0.0,0.0,70.0,-111.0,0.026604640412224864
1,1752415099,5.0,0.0,5.0,0.14660914512079526,5.0,0.076028,0.230081,70.0,288.0,0.0307248183663436
2,1752415104,5.0,0.0,5.0,0.14660914512079526,5.0,0.076028,0.230081,70.0,288.0,0.05105685313870746
3,1752415109,5.0,0.0,5.0,0.0,5.0,0.076028,0.230081,70.0,288.0,0.06251435680711263
4,1752415114,5.0,0.0,5.0,0.0,5.0,0.076028,0.230081,70.0,288.0,0.07423464103946258
5,1752415119,5.0,0.0,5.0,0.0,5.0,0.076028,0.230081,70.0,288.0,0.08738562658543741
6,1752415124,5.0,0.0,5.0,0.0,5.0,0.076028,0.230081,70.0,288.0,0.10593886324299315
7,1752415129,5.0,0.0,5.0,0.0,5.0,0.25535,0.738313,70.0,288.0,0.12363471422254207
8,1752415134,5.0,0.0,5.0,0.0,5.0,0.25535,0.738313,70.0,288.0,0.14056637178894185
9,1752415139,5.0,0.0,5.0,0.0,5.0,0.25535,0.738313,70.0,288.0,0.1676313636700117
10,1752415144,5.0,0.0,5.0,0.0,5.0,0.25535,0.738313,70.0,288.0,0.1840791872383365
11,1752415149,5.0,0.0,5.0,0.0,5.0,0.25535,0.738313,70.0,288.0,0.1990513657486246
12,1752415154,5.0,0.0,5.0,0.0,5.0,0.25535,0.738313,70.0,288.0,0.231747203489496
13,1752415159,5.0,0.0,5.0,0.0,5.0,0.658338,1.23521,70.0,287.0,0.22530661531359755
14,1752415164,5.0,0.0,5.0,0.0,5.0,0.658338,1.23521,70.0,287.0,0.2444044577106485
15,1752415169,5.0,0.0,5.0,0.0,5.0,0.658338,1.23521,70.0,287.0,0.256872149634645
16,1752415174,5.0,0.0,5.0,0.0,5.0,0.658338,1.23521,70.0,287.0,0.26021909169670415
17,1752415179,5.0,0.0,5.0,0.0,5.0,0.658338,1.23521,70.0,287.0,0.2513246591380493
18,1752415184,5.0,0.0,5.0,0.0,5.0,0.658338,1.23521,70.0,287.0,0.2647385530742141
19,1752415189,5.0,0.0,5.0,0.0,5.0,0.918207,0.922352,70.0,288.0,0.25567724101542644
20,1752415194,5.0,0.0,5.0,0.0,5.0,0.918207,0.922352,70.0,288.0,0.24170817356744242
21,1752415199,5.0,0.0,5.0,0.0,5.0,0.918207,0.922352,70.0,288.0,0.25413169094815
22,1752415204,5.0,0.0,5.0,0.0,5.0,0.918207,0.922352,70.0,288.0,0.226847793521937
23,1752415209,5.0,0.0,5.0,0.0,5.0,0.918207,0.922352,70.0,288.0,0.23657206285322901
24,1752415214,5.0,0.0,5.0,0.0,5.0,0.918207,0.922352,70.0,288.0,0.22305701819720758
25,1752415219,5.0,0.0,5.0,0.0,5.0,0.89438,0.655287,70.0,288.0,0.2202816045885689
26,1752415224,5.0,0.0,5.0,0.0,5.0,0.89438,0.655287,70.0,288.0,0.19884573944153927
27,1752415229,5.0,0.0,5.0,0.0,5.0,0.89438,0.655287,70.0,288.0,0.19683979650074476
28,1752415234,5.0,0.0,5.0,0.0,5.0,0.89438,0.655287,70.0,288.0,0.19405473413001215
29,1752415239,5.0,0.0,5.0,0.0,5.0,0.89438,0.655287,70.0,288.0,0.17619766199765055
30,1752415244,5.0,0.0,5.0,0.0,5.0,0.89438,0.655287,70.0,288.0,0.17881472820007788
31,1752415249,5.0,0.0,5.0,0.0,5.0,0.703459,0.749575,70.0,288.0,0.177878808074574
32,1752415254,5.0,0.0,5.0,0.0,5.0,0.703459,0.749575,70.0,288.0,0.18517102780647393
33,1752415259,5.0,0.0,5.0,0.0,5.0,0.703459,0.749575,70.0,288.0,0.19973967725977643
34,1752415264,5.0,0.0,5.0,0.0,5.0,0.703459,0.749575,70.0,288.0,0.2011822980807714
35,1752415269,5.0,0.0,5.0,0.0,5.0,0.703459,0.749575,70.0,288.0,0.19013183019110869
36,1752415274,5.0,0.0,5.0,0.0,5.0,0.703459,0.749575,70.0,288.0,0.19265371185169322
37,1752415279,5.0,0.0,5.0,0.0,5.0,0.677924,0.71118,70.0,288.0,0.21250988667554366
38,1752415284,5.0,0.0,5.0,0.0,5.0,0.677924,0.71118,70.0,288.0,0.2242422890315766
39,1752415289,5.0,0.0,5.0,0.0,5.0,0.677924,0.71118,70.0,288.0,0.23137364996086668
40,1752415294,5.0,0.0,5.0,0.0,5.0,0.677924,0.71118,70.0,288.0,0.23180399383752823
41,1752415299,5.0,0.0,5.0,0.0,5.0,0.677924,0.71118,70.0,288.0,0.21896044251405047
