,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752415094,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,-211.0,0.15081964466127792
1,1752415099,5.0,0.0,5.0,1.0,5.0,0.393858,0.001902,70.0,288.0,0.1473005721731996
2,1752415104,5.0,0.0,5.0,1.0,5.0,0.393858,0.001902,70.0,288.0,0.10696819139667899
3,1752415109,5.0,0.0,5.0,0.0,5.0,0.393858,0.001902,70.0,288.0,0.11806946597031309
4,1752415114,5.0,0.0,5.0,0.0,5.0,0.393858,0.001902,70.0,288.0,0.12590204582277714
5,1752415119,5.0,0.0,5.0,0.0,5.0,0.393858,0.001902,70.0,288.0,0.11221316359353699
6,1752415124,5.0,0.0,5.0,0.0,5.0,0.393858,0.001902,70.0,288.0,0.11038765616854417
7,1752415129,5.0,0.0,5.0,0.0,5.0,0.17204,0.002186,70.0,288.0,0.11016863839972751
8,1752415134,5.0,0.0,5.0,0.0,5.0,0.17204,0.002186,70.0,288.0,0.1072073399043046
9,1752415139,5.0,0.0,5.0,0.0,5.0,0.17204,0.002186,70.0,288.0,0.003651255809960474
10,1752415144,5.0,0.0,5.0,0.0,5.0,0.17204,0.002186,70.0,288.0,0.0036528150809386705
11,1752415149,5.0,0.0,5.0,0.0,5.0,0.17204,0.002186,70.0,288.0,0.0034555613470030086
12,1752415154,5.0,0.0,5.0,0.0,5.0,0.17204,0.002186,70.0,288.0,0.003516028313708442
13,1752415159,5.0,0.0,5.0,0.0,5.0,0.003785,0.004381,70.0,288.0,0.0034501383979607114
14,1752415164,5.0,0.0,5.0,0.0,5.0,0.003785,0.004381,70.0,288.0,0.003250989734569426
15,1752415169,5.0,0.0,5.0,0.0,5.0,0.003785,0.004381,70.0,288.0,0.0031550462117770173
16,1752415174,5.0,0.0,5.0,0.0,5.0,0.003785,0.004381,70.0,288.0,0.0032549624109921103
17,1752415179,5.0,0.0,5.0,0.0,5.0,0.003785,0.004381,70.0,288.0,0.003183775168919758
18,1752415184,5.0,0.0,5.0,0.0,5.0,0.003785,0.004381,70.0,288.0,0.0031712225675997016
19,1752415189,5.0,0.0,5.0,0.0,5.0,0.00575,0.003601,70.0,288.0,0.0032663380257812197
20,1752415194,5.0,0.0,5.0,0.0,5.0,0.00575,0.003601,70.0,288.0,0.0031813981487105207
21,1752415199,5.0,0.0,5.0,0.0,5.0,0.00575,0.003601,70.0,288.0,0.0032908488660535785
22,1752415204,5.0,0.0,5.0,0.0,5.0,0.00575,0.003601,70.0,288.0,0.003881411144361183
23,1752415209,5.0,0.0,5.0,0.0,5.0,0.00575,0.003601,70.0,288.0,0.004834821405011648
24,1752415214,5.0,0.0,5.0,0.0,5.0,0.00575,0.003601,70.0,288.0,0.005074837283377593
25,1752415219,5.0,0.0,5.0,0.0,5.0,0.004157,0.002533,70.0,288.0,0.004831202078140414
26,1752415224,5.0,0.0,5.0,0.0,5.0,0.004157,0.002533,70.0,288.0,0.005213728681615416
27,1752415229,5.0,0.0,5.0,0.0,5.0,0.004157,0.002533,70.0,288.0,0.005276685219702943
28,1752415234,5.0,0.0,5.0,0.0,5.0,0.004157,0.002533,70.0,288.0,0.005176144287043196
29,1752415239,5.0,0.0,5.0,0.0,5.0,0.004157,0.002533,70.0,288.0,0.005238904223036462
30,1752415244,5.0,0.0,5.0,0.0,5.0,0.004157,0.002533,70.0,288.0,0.00467288431719915
31,1752415249,5.0,0.0,5.0,0.0,5.0,0.003153,0.003817,70.0,288.0,0.004387026452147982
32,1752415254,5.0,0.0,5.0,0.0,5.0,0.003153,0.003817,70.0,288.0,0.004194343410544427
33,1752415259,5.0,0.0,5.0,0.0,5.0,0.003153,0.003817,70.0,288.0,0.003663241142567076
34,1752415264,5.0,0.0,5.0,0.0,5.0,0.003153,0.003817,70.0,288.0,0.003274216681630715
35,1752415269,5.0,0.0,5.0,0.0,5.0,0.003153,0.003817,70.0,288.0,0.003283515475883708
36,1752415274,5.0,0.0,5.0,0.0,5.0,0.003153,0.003817,70.0,288.0,0.003310971622228498
37,1752415279,5.0,0.0,5.0,0.0,5.0,0.003856,0.004816,70.0,288.0,0.003306292521968425
38,1752415284,5.0,0.0,5.0,0.0,5.0,0.003856,0.004816,70.0,288.0,0.0032341510071544513
39,1752415289,5.0,0.0,5.0,0.0,5.0,0.003856,0.004816,70.0,288.0,0.003206719390235508
40,1752415294,5.0,0.0,5.0,0.0,5.0,0.003856,0.004816,70.0,288.0,0.003160210015719086
41,1752415299,5.0,0.0,5.0,0.0,5.0,0.003856,0.004816,70.0,288.0,0.0035594713796897543
42,1752415304,5.0,0.0,5.0,0.0,5.0,0.003856,0.004816,70.0,288.0,0.0036021326048446822
43,1752415309,5.0,0.0,5.0,0.0,5.0,0.003881,0.004709,70.0,288.0,0.0034567646543941454
44,1752415314,5.0,0.0,5.0,0.0,5.0,0.003881,0.004709,70.0,288.0,0.003287612504370167
45,1752415319,5.0,0.0,5.0,0.0,5.0,0.003881,0.004709,70.0,288.0,0.0033964511865335945
46,1752415324,5.0,0.0,5.0,0.0,5.0,0.003881,0.004709,70.0,288.0,0.0034833670079116
47,1752415329,5.0,0.0,5.0,0.0,5.0,0.003881,0.004709,70.0,288.0,0.0037754659626897473
48,1752415334,5.0,0.0,5.0,0.0,5.0,0.003881,0.004709,70.0,288.0,0.003780197717608712
49,1752415339,5.0,0.0,5.0,0.0,5.0,0.004395,0.002836,70.0,288.0,0.0035528526760193325
50,1752415344,5.0,0.0,5.0,0.0,5.0,0.004395,0.002836,70.0,288.0,0.0033043597353600703
51,1752415349,5.0,0.0,5.0,0.0,5.0,0.004395,0.002836,70.0,288.0,0.0033097937205808503
52,1752415354,5.0,0.0,5.0,0.0,5.0,0.004395,0.002836,70.0,288.0,0.0032799950131768042
53,1752415359,5.0,0.0,5.0,0.0,5.0,0.004395,0.002836,70.0,288.0,0.0032517834701470687
54,1752415364,5.0,0.0,5.0,0.0,5.0,0.004395,0.002836,70.0,288.0,0.00298914911816039
55,1752415369,5.0,0.0,5.0,0.0,5.0,0.004085,0.002774,70.0,288.0,0.002983208993531806
56,1752415374,5.0,0.0,5.0,0.0,5.0,0.004085,0.002774,70.0,288.0,0.0030721247969545556
57,1752415379,5.0,0.0,5.0,0.0,5.0,0.004085,0.002774,70.0,288.0,0.003086110406661415
