,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752400127,5.0,1.0,5.0,,5.0,0.051083,0.04932,70.0,288.0,0.006168482741477865
1,1752400132,5.0,1.0,5.0,,5.0,0.051083,0.04932,70.0,288.0,0.01394210311532956
2,1752400137,5.0,1.0,5.0,0.0,5.0,0.051083,0.04932,70.0,288.0,0.015775527266636353
3,1752400142,5.0,1.0,5.0,0.0,5.0,0.051083,0.04932,70.0,288.0,0.02971266985238064
4,1752400147,5.0,1.0,5.0,0.0,5.0,0.051083,0.04932,70.0,288.0,0.04891088524574839
5,1752400152,5.0,1.0,5.0,0.0,5.0,0.051083,0.04932,70.0,288.0,0.06551511795883992
6,1752400157,5.0,0.0,5.0,0.0,5.0,0.321854,0.570864,70.0,288.0,0.07561691969573746
7,1752400162,5.0,0.0,5.0,0.0,5.0,0.321854,0.570864,70.0,288.0,0.08988584478978318
8,1752400167,5.0,0.0,5.0,0.0,5.0,0.321854,0.570864,70.0,288.0,0.1110053949069289
9,1752400172,5.0,0.0,5.0,0.0,5.0,0.321854,0.570864,70.0,288.0,0.13803578979665115
10,1752400177,5.0,0.0,5.0,0.0,5.0,0.321854,0.570864,70.0,288.0,0.15966277578115007
11,1752400182,5.0,0.0,5.0,0.0,5.0,0.321854,0.570864,70.0,288.0,0.18028594321838703
12,1752400187,5.0,0.0,5.0,0.0,5.0,0.715502,0.806414,70.0,288.0,0.2023096501357658
13,1752400192,5.0,0.0,5.0,0.0,5.0,0.715502,0.806414,70.0,288.0,0.20519120949024924
14,1752400197,5.0,0.0,5.0,0.0,5.0,0.715502,0.806414,70.0,288.0,0.2201970721288663
15,1752400202,5.0,0.0,5.0,0.0,5.0,0.715502,0.806414,70.0,288.0,0.2166867248729519
16,1752400207,5.0,0.0,5.0,0.0,5.0,0.715502,0.806414,70.0,288.0,0.22140552592528737
17,1752400212,5.0,0.0,5.0,0.0,5.0,0.715502,0.806414,70.0,288.0,0.21322945680600924
18,1752400217,5.0,0.0,5.0,0.0,5.0,0.75332,0.749015,70.0,288.0,0.21743686298135773
19,1752400222,5.0,0.0,5.0,0.0,5.0,0.75332,0.749015,70.0,288.0,0.20772258334507515
20,1752400227,5.0,0.0,5.0,0.0,5.0,0.75332,0.749015,70.0,288.0,0.20266926639871544
21,1752400232,5.0,0.0,5.0,0.0,5.0,0.75332,0.749015,70.0,288.0,0.1765511213055665
22,1752400237,5.0,0.0,5.0,0.0,5.0,0.75332,0.749015,70.0,288.0,0.17878221454608778
