,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752486775,5.0,0.0,5.0,,5.0,1.50005,0.014775,70.0,288.0,0.034554345977503696
1,1752486780,5.0,0.0,5.0,0.0,5.0,1.50005,0.014775,70.0,288.0,0.03631633497240308
2,1752486785,5.0,0.0,5.0,0.0,5.0,1.50005,0.014775,70.0,288.0,0.035796382764128706
3,1752486790,5.0,0.0,5.0,0.0,5.0,1.50005,0.014775,70.0,288.0,0.036594813915867705
4,1752486795,5.0,0.0,5.0,0.0,5.0,1.50005,0.014775,70.0,288.0,0.036439566371244514
5,1752486800,5.0,0.0,5.0,0.0,5.0,0.582028,0.035294,70.0,288.0,0.038531230418513925
6,1752486805,5.0,0.0,5.0,0.0,5.0,0.582028,0.035294,70.0,288.0,0.040418851708331635
7,1752486810,5.0,0.0,5.0,0.0,5.0,0.582028,0.035294,70.0,288.0,0.013116000125208766
8,1752486815,5.0,0.0,5.0,0.0,5.0,0.582028,0.035294,70.0,288.0,0.01534944111024595
9,1752486820,5.0,0.0,5.0,0.0,5.0,0.582028,0.035294,70.0,288.0,0.015135899003110109
10,1752486825,5.0,0.0,5.0,0.0,5.0,0.582028,0.035294,70.0,288.0,0.015998370208140995
11,1752486830,5.0,0.0,5.0,0.0,5.0,0.034611,0.031564,70.0,288.0,0.01597114946754065
12,1752486835,5.0,0.0,5.0,0.0,5.0,0.034611,0.031564,70.0,288.0,0.01646772729391195
13,1752486840,5.0,0.0,5.0,0.0,5.0,0.034611,0.031564,70.0,288.0,0.016711928312198143
14,1752486845,5.0,0.0,5.0,0.0,5.0,0.034611,0.031564,70.0,288.0,0.016967550922714108
15,1752486850,5.0,0.0,5.0,0.0,5.0,0.034611,0.031564,70.0,288.0,0.016171599742026175
16,1752486855,5.0,0.0,5.0,0.0,5.0,0.034611,0.031564,70.0,288.0,0.016734178806122612
17,1752486860,5.0,0.0,5.0,0.0,5.0,0.038638,0.045104,70.0,288.0,0.017314392835198814
18,1752486865,5.0,0.0,5.0,0.0,5.0,0.038638,0.045104,70.0,288.0,0.0172312248438615
