,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752400956,0.0,0.0,0.0,0.08429649772971258,0.0,0.0,0.0,70.0,-211.0,0.013458153405299617
1,1752400961,0.0,0.0,0.0,0.08429649772971258,0.0,0.0,0.0,70.0,-211.0,0.026896532822523123
2,1752400966,5.0,0.0,5.0,0.08429649772971258,5.0,0.628817,0.391216,70.0,288.0,0.047125843037087
3,1752400971,5.0,0.0,5.0,0.08429649772971258,5.0,0.628817,0.391216,70.0,288.0,0.06266562328194375
4,1752400976,5.0,0.0,5.0,0.0,5.0,0.628817,0.391216,70.0,288.0,0.08352627931182417
5,1752400981,5.0,0.0,5.0,0.0,5.0,0.628817,0.391216,70.0,288.0,0.09104603278272158
6,1752400986,5.0,0.0,5.0,0.0,5.0,0.628817,0.391216,70.0,288.0,0.11440782605452685
7,1752400991,5.0,0.0,5.0,0.0,5.0,0.628817,0.391216,70.0,288.0,0.1321344459794073
8,1752400996,5.0,0.0,5.0,0.0,5.0,0.617339,0.458803,70.0,288.0,0.1445575437424907
9,1752401001,5.0,0.0,5.0,0.0,5.0,0.617339,0.458803,70.0,288.0,0.15700145561766374
10,1752401006,5.0,0.0,5.0,0.0,5.0,0.617339,0.458803,70.0,288.0,0.16809313558101294
11,1752401011,5.0,0.0,5.0,0.0,5.0,0.617339,0.458803,70.0,288.0,0.18139828004245864
12,1752401016,5.0,0.0,5.0,0.0,5.0,0.617339,0.458803,70.0,288.0,0.1698596606452829
13,1752401021,5.0,0.0,5.0,0.0,5.0,0.617339,0.458803,70.0,288.0,0.16755817891017527
14,1752401026,5.0,0.0,5.0,0.0,5.0,0.477313,0.261489,70.0,288.0,0.16103583659335854
15,1752401031,5.0,0.0,5.0,0.0,5.0,0.477313,0.261489,70.0,288.0,0.16324337052656943
16,1752401036,5.0,0.0,5.0,0.0,5.0,0.477313,0.261489,70.0,288.0,0.15104193448331324
17,1752401041,5.0,0.0,5.0,0.0,5.0,0.477313,0.261489,70.0,288.0,0.1520487429003091
18,1752401046,5.0,0.0,5.0,0.0,5.0,0.477313,0.261489,70.0,288.0,0.14287708196863116
19,1752401051,5.0,0.0,5.0,0.0,5.0,0.477313,0.261489,70.0,288.0,0.15470398523249138
20,1752401056,5.0,0.0,5.0,0.0,5.0,0.469119,0.753878,70.0,288.0,0.16363364335337927
21,1752401061,5.0,0.0,5.0,0.0,5.0,0.469119,0.753878,70.0,288.0,0.1724888784811092
22,1752401066,5.0,0.0,5.0,0.0,5.0,0.469119,0.753878,70.0,288.0,0.17444702211848448
23,1752401071,5.0,0.0,5.0,0.0,5.0,0.469119,0.753878,70.0,288.0,0.17447236662177504
24,1752401076,5.0,0.0,5.0,0.0,5.0,0.469119,0.753878,70.0,288.0,0.18500765729490753
25,1752401081,5.0,0.0,5.0,0.0,5.0,0.469119,0.753878,70.0,288.0,0.1800397418805944
26,1752401086,5.0,0.0,5.0,0.0,5.0,0.601718,0.425301,70.0,288.0,0.18649491827502584
