,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752503947,5.0,0.0,1.0,0.09675493298223944,5.0,8.086704,8.086704,70.0,-220.0,0.050577775099579926
1,1752503952,5.0,0.0,1.0,0.09675493298223944,5.0,8.086704,8.086704,70.0,-220.0,0.04306482960077728
2,1752503957,5.0,0.0,5.0,0.09675493298223944,5.0,1.400837,0.067258,70.0,288.0,0.05064058417901809
3,1752503962,5.0,0.0,5.0,0.09675493298223944,5.0,1.400837,0.067258,70.0,288.0,0.047197228193969064
4,1752503967,5.0,0.0,5.0,0.0,5.0,1.400837,0.067258,70.0,288.0,0.04465655063351369
5,1752503972,5.0,0.0,5.0,0.0,5.0,1.400837,0.067258,70.0,288.0,0.0497536040070142
6,1752503977,5.0,0.0,5.0,0.0,5.0,1.400837,0.067258,70.0,288.0,0.04854655951091714
7,1752503982,5.0,0.0,5.0,0.0,5.0,1.400837,0.067258,70.0,288.0,0.049042388420738256
8,1752503987,5.0,0.0,5.0,0.0,5.0,0.279605,0.061492,70.0,288.0,0.01804384325006921
9,1752503992,5.0,0.0,5.0,0.0,5.0,0.279605,0.061492,70.0,288.0,0.018208365307981544
10,1752503997,5.0,0.0,5.0,0.0,5.0,0.279605,0.061492,70.0,288.0,0.017691995736420156
11,1752504002,5.0,0.0,5.0,0.0,5.0,0.279605,0.061492,70.0,288.0,0.01798787047696561
12,1752504007,5.0,0.0,5.0,0.0,5.0,0.279605,0.061492,70.0,288.0,0.018074610666486742
13,1752504012,5.0,0.0,5.0,0.0,5.0,0.279605,0.061492,70.0,288.0,0.018517458758498383
14,1752504017,5.0,0.0,5.0,0.0,5.0,0.053649,0.041898,70.0,288.0,0.01832089992278112
15,1752504022,5.0,0.0,5.0,0.0,5.0,0.053649,0.041898,70.0,288.0,0.018041840391878915
16,1752504027,5.0,0.0,5.0,0.0,5.0,0.053649,0.041898,70.0,288.0,0.01780552529105499
17,1752504032,5.0,0.0,5.0,0.0,5.0,0.053649,0.041898,70.0,288.0,0.017451704794785958
18,1752504037,5.0,0.0,5.0,0.0,5.0,0.053649,0.041898,70.0,288.0,0.017604145946248848
19,1752504042,5.0,0.0,5.0,0.0,5.0,0.053649,0.041898,70.0,288.0,0.016936620648105232
20,1752504047,5.0,0.0,5.0,0.0,5.0,0.043239,0.036412,70.0,288.0,0.01661532788770867
21,1752504052,5.0,0.0,5.0,0.0,5.0,0.043239,0.036412,70.0,288.0,0.01565406997812093
22,1752504057,5.0,0.0,5.0,0.0,5.0,0.043239,0.036412,70.0,288.0,0.016276625074118565
23,1752504062,5.0,0.0,5.0,0.0,5.0,0.043239,0.036412,70.0,288.0,0.016831113557986194
24,1752504067,5.0,0.0,5.0,0.0,5.0,0.043239,0.036412,70.0,288.0,0.016739184241135654
25,1752504072,5.0,0.0,5.0,0.0,5.0,0.043239,0.036412,70.0,288.0,0.017605074570311754
26,1752504077,5.0,0.0,5.0,0.0,5.0,0.043371,0.054997,70.0,288.0,0.01737548415318623
27,1752504082,5.0,0.0,5.0,0.0,5.0,0.043371,0.054997,70.0,288.0,0.018046187787639632
28,1752504087,5.0,0.0,5.0,0.0,5.0,0.043371,0.054997,70.0,288.0,0.018520932738028198
29,1752504092,5.0,0.0,5.0,0.0,5.0,0.043371,0.054997,70.0,288.0,0.01794179358257275
30,1752504097,5.0,0.0,5.0,0.0,5.0,0.043371,0.054997,70.0,288.0,0.019515174587707143
31,1752504102,5.0,0.0,5.0,0.0,5.0,0.043371,0.054997,70.0,288.0,0.020082152944821907
32,1752504107,5.0,0.0,5.0,0.0,5.0,0.055163,0.060717,70.0,288.0,0.020366973404838045
33,1752504112,5.0,0.0,5.0,0.0,5.0,0.055163,0.060717,70.0,288.0,0.018629175832092462
