,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752504707,5.0,0.0,5.0,0.0,5.0,53.343104,50.685327,70.0,238.0,0.01902750210438457
1,1752504712,5.0,0.0,5.0,0.0,5.0,53.343104,50.685327,70.0,238.0,0.055065349707216944
2,1752504717,5.0,0.0,5.0,0.0,5.0,53.343104,50.685327,70.0,238.0,0.18229896807940796
3,1752504722,5.0,0.0,5.0,0.0,5.0,53.343104,50.685327,70.0,238.0,0.3995400938392304
4,1752504727,5.0,0.0,5.0,0.0,5.0,53.343104,50.685327,70.0,238.0,0.6227369141899377
5,1752504732,5.0,0.0,5.0,0.0,5.0,53.343104,50.685327,70.0,238.0,0.8866982716466908
6,1752504737,5.0,0.0,5.0,0.0,5.0,31.708121,3.330114,70.0,285.0,1.253761837977735
7,1752504742,5.0,0.0,5.0,0.0,5.0,31.708121,3.330114,70.0,285.0,1.5649945801907272
8,1752504747,5.0,0.0,5.0,0.0,5.0,31.708121,3.330114,70.0,285.0,1.7530332731858214
9,1752504752,5.0,0.0,5.0,0.0,5.0,31.708121,3.330114,70.0,285.0,2.069440707570379
10,1752504757,5.0,0.0,5.0,0.0,5.0,31.708121,3.330114,70.0,285.0,2.2073872549516764
11,1752504762,5.0,0.0,5.0,0.0,5.0,31.708121,3.330114,70.0,285.0,2.487422306078792
12,1752504767,5.0,0.0,5.0,0.0,5.0,9.804216,5.283043,70.0,283.0,2.7056901292907063
13,1752504772,5.0,0.0,5.0,0.0,5.0,9.804216,5.283043,70.0,283.0,2.742823267801253
14,1752504777,5.0,0.0,5.0,0.0,5.0,9.804216,5.283043,70.0,283.0,2.856796737558178
15,1752504782,5.0,0.0,5.0,0.0,5.0,9.804216,5.283043,70.0,283.0,2.9645823162373217
16,1752504787,5.0,0.0,5.0,0.0,5.0,9.804216,5.283043,70.0,283.0,3.0291847369526193
17,1752504792,5.0,0.0,5.0,0.0,5.0,9.804216,5.283043,70.0,283.0,3.0277708705069495
18,1752504797,5.0,0.0,5.0,0.0,5.0,5.428621,6.361754,70.0,282.0,3.1867123618686057
19,1752504802,5.0,0.0,5.0,0.0,5.0,5.428621,6.361754,70.0,282.0,3.20953231231822
20,1752504807,5.0,0.0,5.0,0.0,5.0,5.428621,6.361754,70.0,282.0,2.959810855565781
21,1752504812,5.0,0.0,5.0,0.0,5.0,5.428621,6.361754,70.0,282.0,3.107379076822249
22,1752504817,5.0,0.0,5.0,0.0,5.0,5.428621,6.361754,70.0,282.0,3.1093028174091075
23,1752504822,5.0,0.0,5.0,0.0,5.0,5.428621,6.361754,70.0,282.0,3.0937160478046257
24,1752504827,5.0,0.0,5.0,0.0,5.0,5.147797,3.262822,70.0,285.0,2.902756321467639
25,1752504832,5.0,0.0,5.0,0.0,5.0,5.147797,3.262822,70.0,285.0,2.856908148008867
26,1752504837,5.0,0.0,5.0,0.0,5.0,5.147797,3.262822,70.0,285.0,2.774090832299599
27,1752504842,5.0,0.0,5.0,0.0,5.0,5.147797,3.262822,70.0,285.0,2.8280599309448466
28,1752504847,5.0,0.0,5.0,0.0,5.0,5.147797,3.262822,70.0,285.0,2.771321778476548
29,1752504852,5.0,0.0,5.0,0.0,5.0,5.147797,3.262822,70.0,285.0,2.712316071530291
30,1752504857,5.0,0.0,5.0,0.0,5.0,4.359267,5.394028,70.0,283.0,2.727581617793076
31,1752504862,5.0,0.0,5.0,0.0,5.0,4.359267,5.394028,70.0,283.0,2.7984667573443582
32,1752504867,5.0,0.0,5.0,0.0,5.0,4.359267,5.394028,70.0,283.0,2.7632681839612405
33,1752504872,5.0,0.0,5.0,0.0,5.0,4.359267,5.394028,70.0,283.0,2.9245990816173677
34,1752504877,5.0,0.0,5.0,0.0,5.0,4.359267,5.394028,70.0,283.0,2.859506714863438
35,1752504882,5.0,0.0,5.0,0.0,5.0,4.359267,5.394028,70.0,283.0,3.053714149322495
36,1752504887,5.0,0.0,5.0,0.0,5.0,6.410875,12.645954,70.0,276.0,3.0823005729853117
37,1752504892,5.0,0.0,5.0,0.0,5.0,6.410875,12.645954,70.0,276.0,3.436556504533973
38,1752504897,5.0,0.0,5.0,0.0,5.0,6.410875,12.645954,70.0,276.0,3.5886280759118616
39,1752504902,5.0,0.0,5.0,0.0,5.0,6.410875,12.645954,70.0,276.0,3.648570397864295
40,1752504907,5.0,0.0,5.0,0.0,5.0,6.410875,12.645954,70.0,276.0,3.669556266720477
41,1752504912,5.0,0.0,5.0,0.0,5.0,6.410875,12.645954,70.0,276.0,3.477253099474858
42,1752504917,5.0,0.0,5.0,0.0,5.0,9.091206,5.314277,70.0,283.0,3.718890579490162
43,1752504922,5.0,0.0,5.0,0.0,5.0,9.091206,5.314277,70.0,283.0,3.830393205127954
44,1752504927,5.0,0.0,5.0,0.0,5.0,9.091206,5.314277,70.0,283.0,3.629998129916406
45,1752504932,5.0,0.0,5.0,0.0,5.0,9.091206,5.314277,70.0,283.0,3.506727725820297
46,1752504937,5.0,0.0,5.0,0.0,5.0,9.091206,5.314277,70.0,283.0,3.5277692026412155
47,1752504942,5.0,0.0,5.0,0.0,5.0,9.091206,5.314277,70.0,283.0,3.246995986773426
48,1752504947,5.0,0.0,5.0,0.0,5.0,7.048459,4.907808,70.0,284.0,3.337992435315385
49,1752504952,5.0,0.0,5.0,0.0,5.0,7.048459,4.907808,70.0,284.0,3.12874077157994
50,1752504957,5.0,0.0,5.0,0.0,5.0,7.048459,4.907808,70.0,284.0,3.1408189308620535
51,1752504962,5.0,0.0,5.0,0.0,5.0,7.048459,4.907808,70.0,284.0,3.0182276325601274
52,1752504967,5.0,0.0,5.0,0.0,5.0,7.048459,4.907808,70.0,284.0,3.097863365520356
53,1752504972,5.0,0.0,5.0,0.0,5.0,7.048459,4.907808,70.0,284.0,3.156611077295321
54,1752504977,5.0,0.0,5.0,0.0,5.0,5.79189,8.596149,70.0,280.0,3.210946987805406
55,1752504982,5.0,0.0,5.0,0.0,5.0,5.79189,8.596149,70.0,280.0,3.289826072938535
56,1752504987,5.0,0.0,5.0,0.0,5.0,5.79189,8.596149,70.0,280.0,3.144742421381986
57,1752504992,5.0,0.0,5.0,0.0,5.0,5.79189,8.596149,70.0,280.0,3.5055647315846317
58,1752504997,5.0,0.0,5.0,0.0,5.0,5.79189,8.596149,70.0,280.0,3.6372557744332257
59,1752505002,5.0,0.0,5.0,0.0,5.0,5.79189,8.596149,70.0,280.0,3.699332155108324
60,1752505007,5.0,0.0,5.0,0.0,5.0,8.136788,5.613192,70.0,283.0,3.8128576099950218
61,1752505012,5.0,0.0,5.0,0.0,5.0,8.136788,5.613192,70.0,283.0,3.7183643673979745
62,1752505017,5.0,0.0,5.0,0.0,5.0,8.136788,5.613192,70.0,283.0,3.6854434629361092
63,1752505022,5.0,0.0,5.0,0.0,5.0,8.136788,5.613192,70.0,283.0,3.5809256851283124
64,1752505027,5.0,0.0,5.0,0.0,5.0,8.136788,5.613192,70.0,283.0,3.6885330220748966
65,1752505032,5.0,0.0,5.0,0.0,5.0,8.136788,5.613192,70.0,283.0,3.640923614266316
66,1752505037,5.0,0.0,5.0,0.0,5.0,8.345369,8.155659,70.0,280.0,3.3122162253793355
67,1752505042,5.0,0.0,5.0,0.0,5.0,8.345369,8.155659,70.0,280.0,3.406606881914097
68,1752505047,5.0,0.0,5.0,0.0,5.0,8.345369,8.155659,70.0,280.0,3.443071660614345
69,1752505052,5.0,0.0,5.0,0.0,5.0,8.345369,8.155659,70.0,280.0,3.547291287867676
70,1752505057,5.0,0.0,5.0,0.0,5.0,8.345369,8.155659,70.0,280.0,3.587338986943616
71,1752505062,5.0,0.0,5.0,0.0,5.0,8.345369,8.155659,70.0,280.0,3.502947716720281
72,1752505067,5.0,0.0,5.0,0.0,5.0,7.428362,6.753147,70.0,282.0,3.650687536006401
73,1752505072,5.0,0.0,5.0,0.0,5.0,7.428362,6.753147,70.0,282.0,3.6912166670192397
74,1752505077,5.0,0.0,5.0,0.0,5.0,7.428362,6.753147,70.0,282.0,3.709686788056918
75,1752505082,5.0,0.0,5.0,0.0,5.0,7.428362,6.753147,70.0,282.0,3.540990623309778
76,1752505087,5.0,0.0,5.0,0.0,5.0,7.428362,6.753147,70.0,282.0,3.7580799959713613
77,1752505092,5.0,0.0,5.0,0.0,5.0,7.428362,6.753147,70.0,282.0,3.8038736380751925
78,1752505097,5.0,0.0,5.0,0.0,5.0,16.215457,67.713605,70.0,221.0,3.887901780814749
