,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752402158,5.0,1.0,2.0,0.0,5.0,0.101021,1.192059,70.0,-213.0,0.03732405206216611
1,1752402163,5.0,1.0,2.0,0.0,5.0,0.101021,1.192059,70.0,-213.0,0.04061917407556805
2,1752402168,5.0,0.0,5.0,0.0,5.0,0.477987,0.01422,70.0,288.0,0.04035671181573575
3,1752402173,5.0,0.0,5.0,0.0,5.0,0.477987,0.01422,70.0,288.0,0.03575708447729295
4,1752402178,5.0,0.0,5.0,0.0,5.0,0.477987,0.01422,70.0,288.0,0.03822357693152994
5,1752402183,5.0,0.0,5.0,0.0,5.0,0.477987,0.01422,70.0,288.0,0.041187188234438794
6,1752402188,5.0,0.0,5.0,0.0,5.0,0.477987,0.01422,70.0,288.0,0.04045689502182866
7,1752402193,5.0,0.0,5.0,0.0,5.0,0.477987,0.01422,70.0,288.0,0.04405469484886934
8,1752402198,5.0,0.0,5.0,0.0,5.0,0.169022,0.038418,70.0,288.0,0.015998999675956034
9,1752402203,5.0,0.0,5.0,0.0,5.0,0.169022,0.038418,70.0,288.0,0.017750661427729512
10,1752402208,5.0,0.0,5.0,0.0,5.0,0.169022,0.038418,70.0,288.0,0.01748220550725762
11,1752402213,5.0,0.0,5.0,0.0,5.0,0.169022,0.038418,70.0,288.0,0.01847933665303162
12,1752402218,5.0,0.0,5.0,0.0,5.0,0.169022,0.038418,70.0,288.0,0.019101412251831793
13,1752402223,5.0,0.0,5.0,0.0,5.0,0.169022,0.038418,70.0,288.0,0.019703902340440706
14,1752402228,5.0,0.0,5.0,0.0,5.0,0.049349,0.03474,70.0,288.0,0.020515394956250377
15,1752402233,5.0,0.0,5.0,0.0,5.0,0.049349,0.03474,70.0,288.0,0.021034047050736228
16,1752402238,5.0,0.0,5.0,0.0,5.0,0.049349,0.03474,70.0,288.0,0.021200094524988874
17,1752402243,5.0,0.0,5.0,0.0,5.0,0.049349,0.03474,70.0,288.0,0.021008427967154936
18,1752402248,5.0,0.0,5.0,0.0,5.0,0.049349,0.03474,70.0,288.0,0.021590992771047434
19,1752402253,5.0,0.0,5.0,0.0,5.0,0.049349,0.03474,70.0,288.0,0.022469018288357047
20,1752402258,5.0,0.0,5.0,0.0,5.0,0.0474,0.062075,70.0,288.0,0.023391437336822696
21,1752402263,5.0,0.0,5.0,0.0,5.0,0.0474,0.062075,70.0,288.0,0.02502941723429726
22,1752402268,5.0,0.0,5.0,0.0,5.0,0.0474,0.062075,70.0,288.0,0.026011125990880575
23,1752402273,5.0,0.0,5.0,0.0,5.0,0.0474,0.062075,70.0,288.0,0.023948220692563176
24,1752402278,5.0,0.0,5.0,0.0,5.0,0.0474,0.062075,70.0,288.0,0.02487976571700436
25,1752402283,5.0,0.0,5.0,0.0,5.0,0.0474,0.062075,70.0,288.0,0.023891392251873568
26,1752402288,5.0,0.0,5.0,0.0,5.0,0.038928,0.035149,70.0,288.0,0.023791733511049
27,1752402293,5.0,0.0,5.0,0.0,5.0,0.038928,0.035149,70.0,288.0,0.024441817762144373
28,1752402298,5.0,0.0,5.0,0.0,5.0,0.038928,0.035149,70.0,288.0,0.024448458616727946
29,1752402303,5.0,0.0,5.0,0.0,5.0,0.038928,0.035149,70.0,288.0,0.021360588549069342
30,1752402308,5.0,0.0,5.0,0.0,5.0,0.038928,0.035149,70.0,288.0,0.01754588236458677
31,1752402313,5.0,0.0,5.0,0.0,5.0,0.038928,0.035149,70.0,288.0,0.017791092739870173
32,1752402318,5.0,0.0,5.0,0.0,5.0,0.03112,0.044087,70.0,288.0,0.018383801620007145
33,1752402323,5.0,0.0,5.0,0.0,5.0,0.03112,0.044087,70.0,288.0,0.01813331590275521
34,1752402328,5.0,0.0,5.0,0.0,5.0,0.03112,0.044087,70.0,288.0,0.017752496596202403
35,1752402333,5.0,0.0,5.0,0.0,5.0,0.03112,0.044087,70.0,288.0,0.017629925146769643
36,1752402338,5.0,0.0,5.0,0.0,5.0,0.03112,0.044087,70.0,288.0,0.019003595683803665
37,1752402343,5.0,0.0,5.0,0.0,5.0,0.03112,0.044087,70.0,288.0,0.018651016189144616
38,1752402348,5.0,0.0,5.0,0.0,5.0,0.05059,0.067509,70.0,288.0,0.01976414238154613
39,1752402353,5.0,0.0,5.0,0.0,5.0,0.05059,0.067509,70.0,288.0,0.021199604097699373
40,1752402358,5.0,0.0,5.0,0.0,5.0,0.05059,0.067509,70.0,288.0,0.021911803975587004
41,1752402363,5.0,0.0,5.0,0.0,5.0,0.05059,0.067509,70.0,288.0,0.020614257161699956
42,1752402368,5.0,0.0,5.0,0.0,5.0,0.05059,0.067509,70.0,288.0,0.021237530224543253
43,1752402373,5.0,0.0,5.0,0.0,5.0,0.05059,0.067509,70.0,288.0,0.02103135912910486
44,1752402378,5.0,0.0,5.0,0.0,5.0,0.058669,0.035483,70.0,288.0,0.020001768202056444
45,1752402383,5.0,0.0,5.0,0.0,5.0,0.058669,0.035483,70.0,288.0,0.02124537552448901
46,1752402388,5.0,0.0,5.0,0.0,5.0,0.058669,0.035483,70.0,288.0,0.022154803707428696
47,1752402393,5.0,0.0,5.0,0.0,5.0,0.058669,0.035483,70.0,288.0,0.022402576954386903
48,1752402398,5.0,0.0,5.0,0.0,5.0,0.058669,0.035483,70.0,288.0,0.021843980290711038
49,1752402403,5.0,0.0,5.0,0.0,5.0,0.058669,0.035483,70.0,288.0,0.021843980290711038
50,1752402408,5.0,0.0,5.0,0.0,5.0,0.032114,0.0,70.0,289.0,0.019923574353630756
51,1752402413,5.0,0.0,5.0,0.0,5.0,0.032114,0.0,70.0,289.0,0.017885662222847494
52,1752402418,5.0,0.0,5.0,0.0,5.0,0.032114,0.0,70.0,289.0,0.014621903091365407
53,1752402423,5.0,0.0,5.0,0.0,5.0,0.032114,0.0,70.0,289.0,0.0109778893998763
54,1752402428,5.0,0.0,5.0,0.0,5.0,0.032114,0.0,70.0,289.0,0.008973901226737694
55,1752402433,5.0,0.0,5.0,0.0,5.0,0.032114,0.0,70.0,289.0,0.007020251050719038
