,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752402158,0.0,4.0,1.0,57.723902462434104,0.0,0.0,0.0,70.0,-111.0,0.005672063999885922
1,1752402163,0.0,4.0,1.0,57.723902462434104,0.0,0.0,0.0,70.0,-111.0,0.005526316879925595
2,1752402168,5.0,1.0,5.0,57.723902462434104,5.0,55.637715,160.539848,70.0,128.0,0.007115105883113459
3,1752402173,5.0,1.0,5.0,57.723902462434104,5.0,55.637715,160.539848,70.0,128.0,0.010090486001238168
4,1752402178,5.0,1.0,5.0,0.0,5.0,55.637715,160.539848,70.0,128.0,0.020116721410103035
5,1752402183,5.0,1.0,5.0,0.0,5.0,55.637715,160.539848,70.0,128.0,0.038875631872536676
6,1752402188,5.0,1.0,5.0,0.0,5.0,55.637715,160.539848,70.0,128.0,0.0542605085942252
7,1752402193,5.0,1.0,5.0,0.0,5.0,55.637715,160.539848,70.0,128.0,0.06798470790895479
8,1752402198,5.0,0.0,5.0,0.0,5.0,63.149653,0.656177,70.0,288.0,0.08669350381959143
9,1752402203,5.0,0.0,5.0,0.0,5.0,63.149653,0.656177,70.0,288.0,0.11563193202424747
10,1752402208,5.0,0.0,5.0,0.0,5.0,63.149653,0.656177,70.0,288.0,0.12502523097438736
11,1752402213,5.0,0.0,5.0,0.0,5.0,63.149653,0.656177,70.0,288.0,0.1471202937329634
12,1752402218,5.0,0.0,5.0,0.0,5.0,63.149653,0.656177,70.0,288.0,0.16551642892563198
13,1752402223,5.0,0.0,5.0,0.0,5.0,63.149653,0.656177,70.0,288.0,0.17021267733657083
14,1752402228,5.0,0.0,5.0,0.0,5.0,5.145307,0.149072,70.0,288.0,0.14981084164379077
15,1752402233,5.0,0.0,5.0,0.0,5.0,5.145307,0.149072,70.0,288.0,0.15357411334038792
16,1752402238,5.0,0.0,5.0,0.0,5.0,5.145307,0.149072,70.0,288.0,0.12789238896155627
17,1752402243,5.0,0.0,5.0,0.0,5.0,5.145307,0.149072,70.0,288.0,0.10288248353188686
18,1752402248,5.0,0.0,5.0,0.0,5.0,5.145307,0.149072,70.0,288.0,0.1021115400326689
19,1752402253,5.0,0.0,5.0,0.0,5.0,5.145307,0.149072,70.0,288.0,0.09081802850242371
20,1752402258,5.0,0.0,5.0,0.0,5.0,0.517857,0.073595,70.0,288.0,0.07597215107687906
21,1752402263,5.0,0.0,5.0,0.0,5.0,0.517857,0.073595,70.0,288.0,0.058492494880236265
22,1752402268,5.0,0.0,5.0,0.0,5.0,0.517857,0.073595,70.0,288.0,0.05138076867820348
23,1752402273,5.0,0.0,5.0,0.0,5.0,0.517857,0.073595,70.0,288.0,0.05361624752241342
24,1752402278,5.0,0.0,5.0,0.0,5.0,0.517857,0.073595,70.0,288.0,0.05531611410616307
25,1752402283,5.0,0.0,5.0,0.0,5.0,0.517857,0.073595,70.0,288.0,0.054988275651679124
26,1752402288,5.0,0.0,5.0,0.0,5.0,0.317808,0.107351,70.0,288.0,0.05066988682640498
27,1752402293,5.0,0.0,5.0,0.0,5.0,0.317808,0.107351,70.0,288.0,0.04385251685166556
28,1752402298,5.0,0.0,5.0,0.0,5.0,0.317808,0.107351,70.0,288.0,0.036646368569384385
29,1752402303,5.0,0.0,5.0,0.0,5.0,0.317808,0.107351,70.0,288.0,0.03347966644534203
30,1752402308,5.0,0.0,5.0,0.0,5.0,0.317808,0.107351,70.0,288.0,0.031171140917023134
31,1752402313,5.0,0.0,5.0,0.0,5.0,0.317808,0.107351,70.0,288.0,0.061328715988753904
32,1752402318,5.0,0.0,5.0,0.0,5.0,0.26266,0.570156,70.0,288.0,0.08863786785337553
33,1752402323,5.0,0.0,5.0,0.0,5.0,0.26266,0.570156,70.0,288.0,0.10027690855452899
34,1752402328,5.0,0.0,5.0,0.0,5.0,0.26266,0.570156,70.0,288.0,0.14544121222126613
35,1752402333,5.0,0.0,5.0,0.0,5.0,0.26266,0.570156,70.0,288.0,0.14687414530387224
36,1752402338,5.0,0.0,5.0,0.0,5.0,0.26266,0.570156,70.0,288.0,0.1921024286457335
37,1752402343,5.0,0.0,5.0,0.0,5.0,0.26266,0.570156,70.0,288.0,0.22849301277776898
