,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752507755,5.0,0.0,1.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.1349636726034601
1,1752507760,5.0,0.0,1.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.168230675569764
2,1752507765,5.0,0.0,1.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.13612828546031583
3,1752507770,5.0,0.0,5.0,0.0,5.0,0.32412,0.003641,70.0,288.0,0.12515594910064326
4,1752507775,5.0,0.0,5.0,0.0,5.0,0.32412,0.003641,70.0,288.0,0.1349852111689198
5,1752507780,5.0,0.0,5.0,0.0,5.0,0.32412,0.003641,70.0,288.0,0.13331297975988968
6,1752507785,5.0,0.0,5.0,0.0,5.0,0.32412,0.003641,70.0,288.0,0.12087310287423113
7,1752507790,5.0,0.0,5.0,0.0,5.0,0.32412,0.003641,70.0,288.0,0.11629898251856148
8,1752507795,5.0,0.0,5.0,0.0,5.0,0.32412,0.003641,70.0,288.0,0.0035980589756701114
9,1752507800,5.0,0.0,5.0,0.0,5.0,0.130722,0.00284,70.0,288.0,0.0036304008476497284
10,1752507805,5.0,0.0,5.0,0.0,5.0,0.130722,0.00284,70.0,288.0,0.0034055611728427905
11,1752507810,5.0,0.0,5.0,0.0,5.0,0.130722,0.00284,70.0,288.0,0.003656697307243731
12,1752507815,5.0,0.0,5.0,0.0,5.0,0.130722,0.00284,70.0,288.0,0.0034632269831538732
13,1752507820,5.0,0.0,5.0,0.0,5.0,0.130722,0.00284,70.0,288.0,0.003444458661150108
14,1752507825,5.0,0.0,5.0,0.0,5.0,0.130722,0.00284,70.0,288.0,0.003359580310494073
15,1752507830,5.0,0.0,5.0,0.0,5.0,0.002198,0.004271,70.0,288.0,0.0033892214584269227
16,1752507835,5.0,0.0,5.0,0.0,5.0,0.002198,0.004271,70.0,288.0,0.0035396224016415825
17,1752507840,5.0,0.0,5.0,0.0,5.0,0.002198,0.004271,70.0,288.0,0.0036039774992125337
18,1752507845,5.0,0.0,5.0,0.0,5.0,0.002198,0.004271,70.0,288.0,0.00350479614294238
19,1752507850,5.0,0.0,5.0,0.0,5.0,0.002198,0.004271,70.0,288.0,0.0036550269191027995
20,1752507855,5.0,0.0,5.0,0.0,5.0,0.002198,0.004271,70.0,288.0,0.0036802371951498653
21,1752507860,5.0,0.0,5.0,0.0,5.0,0.003053,0.001704,70.0,288.0,0.00411160473281541
22,1752507865,5.0,0.0,5.0,0.0,5.0,0.003053,0.001704,70.0,288.0,0.004381901821185811
23,1752507870,5.0,0.0,5.0,0.0,5.0,0.003053,0.001704,70.0,288.0,0.004802757972036843
24,1752507875,5.0,0.0,5.0,0.0,5.0,0.003053,0.001704,70.0,288.0,0.004581534810817782
25,1752507880,5.0,0.0,5.0,0.0,5.0,0.003053,0.001704,70.0,288.0,0.005493038112851677
26,1752507885,5.0,0.0,5.0,0.0,5.0,0.003053,0.001704,70.0,288.0,0.0053800423974749755
27,1752507890,5.0,0.0,5.0,0.0,5.0,0.003084,0.001119,70.0,288.0,0.005462507825235359
