,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752402949,5.0,0.0,5.0,0.0,5.0,4.050341,0.065337,70.0,288.0,0.025384065427353445
1,1752402954,5.0,0.0,5.0,0.0,5.0,4.050341,0.065337,70.0,288.0,0.03101858785665682
2,1752402959,5.0,0.0,5.0,0.0,5.0,4.050341,0.065337,70.0,288.0,0.02911926177268261
3,1752402964,5.0,0.0,5.0,0.0,5.0,4.050341,0.065337,70.0,288.0,0.029046017873776742
4,1752402969,5.0,0.0,5.0,0.0,5.0,4.050341,0.065337,70.0,288.0,0.03286379285185312
5,1752402974,5.0,0.0,5.0,0.0,5.0,4.050341,0.065337,70.0,288.0,0.03647639677705044
6,1752402979,5.0,0.0,5.0,0.0,5.0,1.658966,0.093471,70.0,288.0,0.03774358563868681
7,1752402984,5.0,0.0,5.0,0.0,5.0,1.658966,0.093471,70.0,288.0,0.039608069960778106
8,1752402989,5.0,0.0,5.0,0.0,5.0,1.658966,0.093471,70.0,288.0,0.027000843163813144
9,1752402994,5.0,0.0,5.0,0.0,5.0,1.658966,0.093471,70.0,288.0,0.028286762938192857
10,1752402999,5.0,0.0,5.0,0.0,5.0,1.658966,0.093471,70.0,288.0,0.02829206578816304
11,1752403004,5.0,0.0,5.0,0.0,5.0,1.658966,0.093471,70.0,288.0,0.028787978249034445
12,1752403009,5.0,0.0,5.0,0.0,5.0,0.066092,0.090267,70.0,288.0,0.029334870748449322
13,1752403014,5.0,0.0,5.0,0.0,5.0,0.066092,0.090267,70.0,288.0,0.030323960084868824
14,1752403019,5.0,0.0,5.0,0.0,5.0,0.066092,0.090267,70.0,288.0,0.029032982662244487
15,1752403024,5.0,0.0,5.0,0.0,5.0,0.066092,0.090267,70.0,288.0,0.02945223491799339
16,1752403029,5.0,0.0,5.0,0.0,5.0,0.066092,0.090267,70.0,288.0,0.028392874271363014
17,1752403034,5.0,0.0,5.0,0.0,5.0,0.066092,0.090267,70.0,288.0,0.029411125507675395
18,1752403039,5.0,0.0,5.0,0.0,5.0,0.065201,0.053652,70.0,288.0,0.030658263594997168
19,1752403044,5.0,0.0,5.0,0.0,5.0,0.065201,0.053652,70.0,288.0,0.030078051352854587
20,1752403049,5.0,0.0,5.0,0.0,5.0,0.065201,0.053652,70.0,288.0,0.029565797483425145
21,1752403054,5.0,0.0,5.0,0.0,5.0,0.065201,0.053652,70.0,288.0,0.029243162278583777
22,1752403059,5.0,0.0,5.0,0.0,5.0,0.065201,0.053652,70.0,288.0,0.026017502743270002
23,1752403064,5.0,0.0,5.0,0.0,5.0,0.065201,0.053652,70.0,288.0,0.028182633608846257
24,1752403069,5.0,0.0,5.0,0.0,5.0,0.062206,0.067285,70.0,288.0,0.02828834479320337
25,1752403074,5.0,0.0,5.0,0.0,5.0,0.062206,0.067285,70.0,288.0,0.025309716136507704
26,1752403079,5.0,0.0,5.0,0.0,5.0,0.062206,0.067285,70.0,288.0,0.028473049096286944
27,1752403084,5.0,0.0,5.0,0.0,5.0,0.062206,0.067285,70.0,288.0,0.02867254177535695
28,1752403089,5.0,0.0,5.0,0.0,5.0,0.062206,0.067285,70.0,288.0,0.028986859406871134
29,1752403094,5.0,0.0,5.0,0.0,5.0,0.062206,0.067285,70.0,288.0,0.029241289622708184
30,1752403099,5.0,0.0,5.0,0.0,5.0,0.073082,0.081668,70.0,288.0,0.031556554669141756
31,1752403104,5.0,0.0,5.0,0.0,5.0,0.073082,0.081668,70.0,288.0,0.02904991193278613
32,1752403109,5.0,0.0,5.0,0.0,5.0,0.073082,0.081668,70.0,288.0,0.03200919486602479
33,1752403114,5.0,0.0,5.0,0.0,5.0,0.073082,0.081668,70.0,288.0,0.03164286656930755
34,1752403119,5.0,0.0,5.0,0.0,5.0,0.073082,0.081668,70.0,288.0,0.03208214693757181
