,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752178213,0.0,4.0,1.0,7.0,0.0,0.0,0.0,70.0,-111.0,0.017498001565109177
1,1752178218,5.0,1.0,5.0,7.0,5.0,2.963847,7.020577,70.0,281.0,0.016467387229914428
2,1752178223,5.0,1.0,5.0,7.0,5.0,2.963847,7.020577,70.0,281.0,0.016447367377195776
3,1752178228,5.0,1.0,5.0,0.0,5.0,2.963847,7.020577,70.0,281.0,0.01675645112628003
4,1752178233,5.0,1.0,5.0,0.0,5.0,2.963847,7.020577,70.0,281.0,0.019568372241280035
5,1752178238,5.0,1.0,5.0,0.0,5.0,2.963847,7.020577,70.0,281.0,0.022388306301168844
6,1752178243,5.0,1.0,5.0,0.0,5.0,2.963847,7.020577,70.0,281.0,0.024663550613112355
7,1752178248,5.0,0.0,5.0,0.0,5.0,3.57083,0.135176,70.0,288.0,0.02615543060792812
8,1752178253,5.0,0.0,5.0,0.0,5.0,3.57083,0.135176,70.0,288.0,0.023161589030736927
9,1752178258,5.0,0.0,5.0,0.0,5.0,3.57083,0.135176,70.0,288.0,0.02467962782527229
10,1752178263,5.0,0.0,5.0,0.0,5.0,3.57083,0.135176,70.0,288.0,0.027083154000936985
11,1752178268,5.0,0.0,5.0,0.0,5.0,3.57083,0.135176,70.0,288.0,0.031064880067874945
12,1752178273,5.0,0.0,5.0,0.0,5.0,3.57083,0.135176,70.0,288.0,0.03150066550621459
13,1752178278,5.0,0.0,5.0,0.0,5.0,0.546409,0.088104,70.0,288.0,0.03133314453250754
14,1752178283,5.0,0.0,5.0,0.0,5.0,0.546409,0.088104,70.0,288.0,0.030359828923905766
15,1752178288,5.0,0.0,5.0,0.0,5.0,0.546409,0.088104,70.0,288.0,0.0313869592145779
16,1752178293,5.0,0.0,5.0,0.0,5.0,0.546409,0.088104,70.0,288.0,0.029338265454111296
17,1752178298,5.0,0.0,5.0,0.0,5.0,0.546409,0.088104,70.0,288.0,0.03142104150789694
18,1752178303,5.0,0.0,5.0,0.0,5.0,0.546409,0.088104,70.0,288.0,0.029979670095703577
19,1752178308,5.0,0.0,5.0,0.0,5.0,0.121029,0.127634,70.0,288.0,0.031177645989442927
20,1752178313,5.0,0.0,5.0,0.0,5.0,0.121029,0.127634,70.0,288.0,0.031355426711938875
21,1752178318,5.0,0.0,5.0,0.0,5.0,0.121029,0.127634,70.0,288.0,0.03062726265070068
22,1752178323,5.0,0.0,5.0,0.0,5.0,0.121029,0.127634,70.0,288.0,0.031621689425137746
23,1752178328,5.0,0.0,5.0,0.0,5.0,0.121029,0.127634,70.0,288.0,0.03139642201829935
24,1752178333,5.0,0.0,5.0,0.0,5.0,0.121029,0.127634,70.0,288.0,0.032613024106592364
25,1752178338,5.0,0.0,5.0,0.0,5.0,0.141553,0.173747,70.0,288.0,0.03470733849375935
26,1752178343,5.0,0.0,5.0,0.0,5.0,0.141553,0.173747,70.0,288.0,0.03533217053649649
27,1752178348,5.0,0.0,5.0,0.0,5.0,0.141553,0.173747,70.0,288.0,0.03521172978634273
28,1752178353,5.0,0.0,5.0,0.0,5.0,0.141553,0.173747,70.0,288.0,0.035291960733402364
29,1752178358,5.0,0.0,5.0,0.0,5.0,0.141553,0.173747,70.0,288.0,0.03435528552138883
30,1752178363,5.0,0.0,5.0,0.0,5.0,0.141553,0.173747,70.0,288.0,0.035553797973651324
31,1752178368,5.0,0.0,5.0,0.0,5.0,0.160465,0.180649,70.0,288.0,0.03444463342728537
32,1752178373,5.0,0.0,5.0,0.0,5.0,0.160465,0.180649,70.0,288.0,0.03411597318951809
33,1752178378,5.0,0.0,5.0,0.0,5.0,0.160465,0.180649,70.0,288.0,0.03384307622639963
34,1752178383,5.0,0.0,5.0,0.0,5.0,0.160465,0.180649,70.0,288.0,0.035096606348885985
35,1752178388,5.0,0.0,5.0,0.0,5.0,0.160465,0.180649,70.0,288.0,0.03570150740695939
36,1752178393,5.0,0.0,5.0,0.0,5.0,0.160465,0.180649,70.0,288.0,0.03537008280963495
37,1752178398,5.0,0.0,5.0,0.0,5.0,0.172033,0.160516,70.0,288.0,0.035748679530300205
38,1752178403,5.0,0.0,5.0,0.0,5.0,0.172033,0.160516,70.0,288.0,0.033273831356662
39,1752178408,5.0,0.0,5.0,0.0,5.0,0.172033,0.160516,70.0,288.0,0.036162475791504604
40,1752178413,5.0,0.0,5.0,0.0,5.0,0.172033,0.160516,70.0,288.0,0.036229337372805724
41,1752178418,5.0,0.0,5.0,0.0,5.0,0.172033,0.160516,70.0,288.0,0.03537947090999264
42,1752178423,5.0,0.0,5.0,0.0,5.0,0.172033,0.160516,70.0,288.0,0.03716386451201756
43,1752178428,5.0,0.0,5.0,0.0,5.0,0.180839,0.212793,70.0,288.0,0.03640182524377971
44,1752178433,5.0,0.0,5.0,0.0,5.0,0.180839,0.212793,70.0,288.0,0.03938324572798396
45,1752178438,5.0,0.0,5.0,0.0,5.0,0.180839,0.212793,70.0,288.0,0.0395985886875415
46,1752178443,5.0,0.0,5.0,0.0,5.0,0.180839,0.212793,70.0,288.0,0.04037595554404929
47,1752178448,5.0,0.0,5.0,0.0,5.0,0.180839,0.212793,70.0,288.0,0.039223182430415726
48,1752178453,5.0,0.0,5.0,0.0,5.0,0.180839,0.212793,70.0,288.0,0.040671836667042334
49,1752178458,5.0,0.0,5.0,0.0,5.0,0.194228,0.190166,70.0,288.0,0.03981840204753536
50,1752178463,5.0,0.0,5.0,0.0,5.0,0.194228,0.190166,70.0,288.0,0.04053337007537441
51,1752178468,5.0,0.0,5.0,0.0,5.0,0.194228,0.190166,70.0,288.0,0.03967349170226218
52,1752178473,5.0,0.0,5.0,0.0,5.0,0.194228,0.190166,70.0,288.0,0.04180737012649274
53,1752178478,5.0,0.0,5.0,0.0,5.0,0.194228,0.190166,70.0,288.0,0.0410804450893932
