,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752179262,5.0,0.0,1.0,0.0,5.0,3.360988,1.456634,70.0,-113.0,0.037064855612601706
1,1752179267,5.0,0.0,5.0,0.0,5.0,0.903728,0.03732,70.0,288.0,0.03740334744607535
2,1752179272,5.0,0.0,5.0,0.0,5.0,0.903728,0.03732,70.0,288.0,0.039828758761736395
3,1752179277,5.0,0.0,5.0,0.0,5.0,0.903728,0.03732,70.0,288.0,0.04026981353093116
4,1752179282,5.0,0.0,5.0,0.0,5.0,0.903728,0.03732,70.0,288.0,0.039265466099975985
5,1752179287,5.0,0.0,5.0,0.0,5.0,0.903728,0.03732,70.0,288.0,0.04256310680157106
6,1752179292,5.0,0.0,5.0,0.0,5.0,0.903728,0.03732,70.0,288.0,0.01623580672556878
7,1752179297,5.0,0.0,5.0,0.0,5.0,0.044562,0.039907,70.0,288.0,0.016685293956125696
8,1752179302,5.0,0.0,5.0,0.0,5.0,0.044562,0.039907,70.0,288.0,0.016850755744823323
9,1752179307,5.0,0.0,5.0,0.0,5.0,0.044562,0.039907,70.0,288.0,0.01628961747659004
10,1752179312,5.0,0.0,5.0,0.0,5.0,0.044562,0.039907,70.0,288.0,0.01689744397769238
11,1752179317,5.0,0.0,5.0,0.0,5.0,0.044562,0.039907,70.0,288.0,0.016634068395372813
12,1752179322,5.0,0.0,5.0,0.0,5.0,0.044562,0.039907,70.0,288.0,0.0171962872414518
13,1752179327,5.0,0.0,5.0,0.0,5.0,0.041793,0.060286,70.0,288.0,0.017895305885006523
14,1752179332,5.0,0.0,5.0,0.0,5.0,0.041793,0.060286,70.0,288.0,0.01822604510362279
15,1752179337,5.0,0.0,5.0,0.0,5.0,0.041793,0.060286,70.0,288.0,0.017905139595142023
16,1752179342,5.0,0.0,5.0,0.0,5.0,0.041793,0.060286,70.0,288.0,0.019226605500796246
17,1752179347,5.0,0.0,5.0,0.0,5.0,0.041793,0.060286,70.0,288.0,0.019279485894111506
18,1752179352,5.0,0.0,5.0,0.0,5.0,0.041793,0.060286,70.0,288.0,0.01695571769772963
19,1752179357,5.0,0.0,5.0,0.0,5.0,0.057552,0.062737,70.0,288.0,0.01811090811503395
20,1752179362,5.0,0.0,5.0,0.0,5.0,0.057552,0.062737,70.0,288.0,0.018706073308549377
21,1752179367,5.0,0.0,5.0,0.0,5.0,0.057552,0.062737,70.0,288.0,0.020092437253709444
22,1752179372,5.0,0.0,5.0,0.0,5.0,0.057552,0.062737,70.0,288.0,0.02047684258262369
23,1752179377,5.0,0.0,5.0,0.0,5.0,0.057552,0.062737,70.0,288.0,0.019555672469412075
24,1752179382,5.0,0.0,5.0,0.0,5.0,0.057552,0.062737,70.0,288.0,0.019707840797659564
25,1752179387,5.0,0.0,5.0,0.0,5.0,0.063081,0.052615,70.0,288.0,0.019975105573778757
26,1752179392,5.0,0.0,5.0,0.0,5.0,0.063081,0.052615,70.0,288.0,0.02061166515668015
27,1752179397,5.0,0.0,5.0,0.0,5.0,0.063081,0.052615,70.0,288.0,0.020209243563476524
28,1752179402,5.0,0.0,5.0,0.0,5.0,0.063081,0.052615,70.0,288.0,0.020772443589041057
29,1752179407,5.0,0.0,5.0,0.0,5.0,0.063081,0.052615,70.0,288.0,0.021879783047503376
30,1752179412,5.0,0.0,5.0,0.0,5.0,0.063081,0.052615,70.0,288.0,0.020912941269685223
31,1752179417,5.0,0.0,5.0,0.0,5.0,0.075886,0.103865,70.0,288.0,0.021390905461784526
32,1752179422,5.0,0.0,5.0,0.0,5.0,0.075886,0.103865,70.0,288.0,0.023032744776225786
33,1752179427,5.0,0.0,5.0,0.0,5.0,0.075886,0.103865,70.0,288.0,0.02340607917187803
34,1752179432,5.0,0.0,5.0,0.0,5.0,0.075886,0.103865,70.0,288.0,0.023493640550915774
35,1752179437,5.0,0.0,5.0,0.0,5.0,0.075886,0.103865,70.0,288.0,0.02339295646576054
36,1752179442,5.0,0.0,5.0,0.0,5.0,0.075886,0.103865,70.0,288.0,0.023504004444378696
37,1752179447,5.0,0.0,5.0,0.0,5.0,0.089561,0.081358,70.0,288.0,0.02370646250310904
38,1752179452,5.0,0.0,5.0,0.0,5.0,0.089561,0.081358,70.0,288.0,0.02318502774240319
39,1752179457,5.0,0.0,5.0,0.0,5.0,0.089561,0.081358,70.0,288.0,0.02185186414907705
40,1752179462,5.0,0.0,5.0,0.0,5.0,0.089561,0.081358,70.0,288.0,0.02192946300326584
41,1752179467,5.0,0.0,5.0,0.0,5.0,0.089561,0.081358,70.0,288.0,0.022782198896956568
42,1752179472,5.0,0.0,5.0,0.0,5.0,0.089561,0.081358,70.0,288.0,0.022653646233232436
43,1752179477,5.0,0.0,5.0,0.0,5.0,0.094888,0.11964,70.0,288.0,0.02280092305507695
44,1752179482,5.0,0.0,5.0,0.0,5.0,0.094888,0.11964,70.0,288.0,0.02217185011113995
45,1752179487,5.0,0.0,5.0,0.0,5.0,0.094888,0.11964,70.0,288.0,0.023195791907307983
46,1752179492,5.0,0.0,5.0,0.0,5.0,0.094888,0.11964,70.0,288.0,0.024157951375773968
47,1752179497,5.0,0.0,5.0,0.0,5.0,0.094888,0.11964,70.0,288.0,0.025065442364655362
48,1752179502,5.0,0.0,5.0,0.0,5.0,0.094888,0.11964,70.0,288.0,0.025913771869093116
49,1752179507,5.0,0.0,5.0,0.0,5.0,0.095371,0.091598,70.0,288.0,0.025913771869093116
50,1752179512,5.0,0.0,5.0,0.0,5.0,0.095371,0.091598,70.0,288.0,0.026073129623087846
51,1752179517,5.0,0.0,5.0,0.0,5.0,0.095371,0.091598,70.0,288.0,0.02562538547060011
52,1752179522,5.0,0.0,5.0,0.0,5.0,0.095371,0.091598,70.0,288.0,0.026383097313501618
53,1752179527,5.0,0.0,5.0,0.0,5.0,0.095371,0.091598,70.0,288.0,0.02685091572339203
54,1752179532,5.0,0.0,5.0,0.0,5.0,0.095371,0.091598,70.0,288.0,0.025098022057289966
55,1752179537,5.0,0.0,5.0,0.0,5.0,0.087436,0.117891,70.0,288.0,0.023980983152526315
56,1752179542,5.0,0.0,5.0,0.0,5.0,0.087436,0.117891,70.0,288.0,0.02347584898247036
57,1752179547,5.0,0.0,5.0,0.0,5.0,0.087436,0.117891,70.0,288.0,0.023678834669024044
58,1752179552,5.0,0.0,5.0,0.0,5.0,0.087436,0.117891,70.0,288.0,0.021110563848368184
59,1752179557,5.0,0.0,5.0,0.0,5.0,0.087436,0.117891,70.0,288.0,0.022892483547233177
60,1752179562,5.0,0.0,5.0,0.0,5.0,0.087436,0.117891,70.0,288.0,0.022277093149520602
