,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752179262,5.0,0.0,2.0,0.0770995750142622,5.0,1.999989,1.999989,70.0,-13.0,0.05390125242543873
1,1752179267,5.0,0.0,5.0,0.0770995750142622,5.0,0.861381,0.550302,70.0,288.0,0.07215159001593782
2,1752179272,5.0,0.0,5.0,0.0770995750142622,5.0,0.861381,0.550302,70.0,288.0,0.08449648450754543
3,1752179277,5.0,0.0,5.0,0.0,5.0,0.861381,0.550302,70.0,288.0,0.10339943084774561
4,1752179282,5.0,0.0,5.0,0.0,5.0,0.861381,0.550302,70.0,288.0,0.11813634812406408
5,1752179287,5.0,0.0,5.0,0.0,5.0,0.861381,0.550302,70.0,288.0,0.13239165545397708
6,1752179292,5.0,0.0,5.0,0.0,5.0,0.861381,0.550302,70.0,288.0,0.14610438743429494
7,1752179297,5.0,0.0,5.0,0.0,5.0,0.570423,0.533764,70.0,288.0,0.16054481948134716
8,1752179302,5.0,0.0,5.0,0.0,5.0,0.570423,0.533764,70.0,288.0,0.17338678680500683
9,1752179307,5.0,0.0,5.0,0.0,5.0,0.570423,0.533764,70.0,288.0,0.16306394986229722
10,1752179312,5.0,0.0,5.0,0.0,5.0,0.570423,0.533764,70.0,288.0,0.16808204839648697
11,1752179317,5.0,0.0,5.0,0.0,5.0,0.570423,0.533764,70.0,288.0,0.17121660428315338
12,1752179322,5.0,0.0,5.0,0.0,5.0,0.570423,0.533764,70.0,288.0,0.16818181103019345
13,1752179327,5.0,0.0,5.0,0.0,5.0,0.606107,0.984533,70.0,288.0,0.17028628760121498
14,1752179332,5.0,0.0,5.0,0.0,5.0,0.606107,0.984533,70.0,288.0,0.17654506601077155
15,1752179337,5.0,0.0,5.0,0.0,5.0,0.606107,0.984533,70.0,288.0,0.18771311883020386
16,1752179342,5.0,0.0,5.0,0.0,5.0,0.606107,0.984533,70.0,288.0,0.19261682233587762
17,1752179347,5.0,0.0,5.0,0.0,5.0,0.606107,0.984533,70.0,288.0,0.19734015952595207
18,1752179352,5.0,0.0,5.0,0.0,5.0,0.606107,0.984533,70.0,288.0,0.192518641661524
19,1752179357,5.0,0.0,5.0,0.0,5.0,0.751136,0.739033,70.0,288.0,0.20775627768418997
20,1752179362,5.0,0.0,5.0,0.0,5.0,0.751136,0.739033,70.0,288.0,0.1994209912283526
21,1752179367,5.0,0.0,5.0,0.0,5.0,0.751136,0.739033,70.0,288.0,0.21551081086080584
22,1752179372,5.0,0.0,5.0,0.0,5.0,0.751136,0.739033,70.0,288.0,0.21599337164151744
23,1752179377,5.0,0.0,5.0,0.0,5.0,0.751136,0.739033,70.0,288.0,0.2138773552823164
24,1752179382,5.0,0.0,5.0,0.0,5.0,0.751136,0.739033,70.0,288.0,0.222376294289112
25,1752179387,5.0,0.0,5.0,0.0,5.0,0.751983,0.75343,70.0,288.0,0.22285328488054257
26,1752179392,5.0,0.0,5.0,0.0,5.0,0.751983,0.75343,70.0,288.0,0.20785029775147687
27,1752179397,5.0,0.0,5.0,0.0,5.0,0.751983,0.75343,70.0,288.0,0.22326229338619963
28,1752179402,5.0,0.0,5.0,0.0,5.0,0.751983,0.75343,70.0,288.0,0.22167582126718244
29,1752179407,5.0,0.0,5.0,0.0,5.0,0.751983,0.75343,70.0,288.0,0.21812413953176524
30,1752179412,5.0,0.0,5.0,0.0,5.0,0.751983,0.75343,70.0,288.0,0.22705702137603517
31,1752179417,5.0,0.0,5.0,0.0,5.0,0.984393,1.481667,70.0,287.0,0.23061156075951034
32,1752179422,5.0,0.0,5.0,0.0,5.0,0.984393,1.481667,70.0,287.0,0.2389773608196719
33,1752179427,5.0,0.0,5.0,0.0,5.0,0.984393,1.481667,70.0,287.0,0.2290816698377197
34,1752179432,5.0,0.0,5.0,0.0,5.0,0.984393,1.481667,70.0,287.0,0.24198592834443772
35,1752179437,5.0,0.0,5.0,0.0,5.0,0.984393,1.481667,70.0,287.0,0.24637962326270646
36,1752179442,5.0,0.0,5.0,0.0,5.0,0.984393,1.481667,70.0,287.0,0.2570933127863746
37,1752179447,5.0,0.0,5.0,0.0,5.0,1.176636,1.063276,70.0,287.0,0.24482811260703569
38,1752179452,5.0,0.0,5.0,0.0,5.0,1.176636,1.063276,70.0,287.0,0.24142136800431233
39,1752179457,5.0,0.0,5.0,0.0,5.0,1.176636,1.063276,70.0,287.0,0.25764486462188985
