,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752179788,5.0,0.0,2.0,0.0,5.0,0.5,0.5,70.0,-112.0,0.0006535516684266102
1,1752179793,5.0,0.0,2.0,0.0,5.0,0.5,0.5,70.0,-112.0,0.005650607476065546
2,1752179798,5.0,0.0,2.0,0.0,5.0,0.5,0.5,70.0,-112.0,0.0067916762760178466
3,1752179803,5.0,0.0,2.0,0.0,5.0,0.5,0.5,70.0,-112.0,0.010869675168989556
4,1752179808,5.0,0.0,5.0,0.0,5.0,0.285256,0.456158,70.0,288.0,0.032783833737334366
5,1752179813,5.0,0.0,5.0,0.0,5.0,0.285256,0.456158,70.0,288.0,0.045766089759549836
6,1752179818,5.0,0.0,5.0,0.0,5.0,0.285256,0.456158,70.0,288.0,0.06343805091004855
7,1752179823,5.0,0.0,5.0,0.0,5.0,0.285256,0.456158,70.0,288.0,0.0866534502272948
8,1752179828,5.0,0.0,5.0,0.0,5.0,0.285256,0.456158,70.0,288.0,0.10952177756287802
9,1752179833,5.0,0.0,5.0,0.0,5.0,0.285256,0.456158,70.0,288.0,0.13669261319527864
10,1752179838,5.0,0.0,5.0,0.0,5.0,0.522783,1.00421,70.0,287.0,0.15418280350732388
11,1752179843,5.0,0.0,5.0,0.0,5.0,0.522783,1.00421,70.0,287.0,0.18239375606869127
12,1752179848,5.0,0.0,5.0,0.0,5.0,0.522783,1.00421,70.0,287.0,0.19915195754139495
13,1752179853,5.0,0.0,5.0,0.0,5.0,0.522783,1.00421,70.0,287.0,0.22087763388170475
14,1752179858,5.0,0.0,5.0,0.0,5.0,0.522783,1.00421,70.0,287.0,0.22523331823724962
15,1752179863,5.0,0.0,5.0,0.0,5.0,0.522783,1.00421,70.0,287.0,0.2279483634961507
16,1752179868,5.0,0.0,5.0,0.0,5.0,0.890665,1.021134,70.0,287.0,0.23280962514382275
17,1752179873,5.0,0.0,5.0,0.0,5.0,0.890665,1.021134,70.0,287.0,0.2262198018636515
18,1752179878,5.0,0.0,5.0,0.0,5.0,0.890665,1.021134,70.0,287.0,0.22816723276463688
19,1752179883,5.0,0.0,5.0,0.0,5.0,0.890665,1.021134,70.0,287.0,0.22561646201318897
20,1752179888,5.0,0.0,5.0,0.0,5.0,0.890665,1.021134,70.0,287.0,0.22849131504764406
21,1752179893,5.0,0.0,5.0,0.0,5.0,0.890665,1.021134,70.0,287.0,0.22866847489761793
22,1752179898,5.0,0.0,5.0,0.0,5.0,0.908912,0.969168,70.0,288.0,0.22779359738010738
23,1752179903,5.0,0.0,5.0,0.0,5.0,0.908912,0.969168,70.0,288.0,0.23285271271266783
24,1752179908,5.0,0.0,5.0,0.0,5.0,0.908912,0.969168,70.0,288.0,0.22500425572756932
25,1752179913,5.0,0.0,5.0,0.0,5.0,0.908912,0.969168,70.0,288.0,0.22167101683540452
26,1752179918,5.0,0.0,5.0,0.0,5.0,0.908912,0.969168,70.0,288.0,0.22145842342890282
27,1752179923,5.0,0.0,5.0,0.0,5.0,0.908912,0.969168,70.0,288.0,0.21192275731445961
28,1752179928,5.0,0.0,5.0,0.0,5.0,0.938674,1.252478,70.0,287.0,0.23675279530682664
29,1752179933,5.0,0.0,5.0,0.0,5.0,0.938674,1.252478,70.0,287.0,0.2398763383554168
30,1752179938,5.0,0.0,5.0,0.0,5.0,0.938674,1.252478,70.0,287.0,0.24499542784433131
31,1752179943,5.0,0.0,5.0,0.0,5.0,0.938674,1.252478,70.0,287.0,0.2540569836591327
32,1752179948,5.0,0.0,5.0,0.0,5.0,0.938674,1.252478,70.0,287.0,0.2556156741658646
33,1752179953,5.0,0.0,5.0,0.0,5.0,0.938674,1.252478,70.0,287.0,0.25563053118215434
34,1752179958,5.0,0.0,5.0,0.0,5.0,1.225055,1.361843,70.0,287.0,0.25496433103100524
35,1752179963,5.0,0.0,5.0,0.0,5.0,1.225055,1.361843,70.0,287.0,0.24662464094987435
36,1752179968,5.0,0.0,5.0,0.0,5.0,1.225055,1.361843,70.0,287.0,0.23113666942625857
37,1752179973,5.0,0.0,5.0,0.0,5.0,1.225055,1.361843,70.0,287.0,0.25167859361434686
38,1752179978,5.0,0.0,5.0,0.0,5.0,1.225055,1.361843,70.0,287.0,0.24814188136082876
39,1752179983,5.0,0.0,5.0,0.0,5.0,1.225055,1.361843,70.0,287.0,0.2457841174273505
40,1752179988,5.0,0.0,5.0,0.0,5.0,1.188166,0.791616,70.0,288.0,0.23190833978846234
41,1752179993,5.0,0.0,5.0,0.0,5.0,1.188166,0.791616,70.0,288.0,0.23861022838264392
42,1752179998,5.0,0.0,5.0,0.0,5.0,1.188166,0.791616,70.0,288.0,0.23669809010363352
43,1752180003,5.0,0.0,5.0,0.0,5.0,1.188166,0.791616,70.0,288.0,0.22846540549007568
44,1752180008,5.0,0.0,5.0,0.0,5.0,1.188166,0.791616,70.0,288.0,0.23398706500711175
45,1752180013,5.0,0.0,5.0,0.0,5.0,1.188166,0.791616,70.0,288.0,0.23845351122674735
