,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752180426,5.0,0.0,2.0,0.0,5.0,2.732414,0.01028,70.0,-12.0,0.027242875655183817
1,1752180431,5.0,0.0,2.0,0.0,5.0,2.732414,0.01028,70.0,-12.0,0.029499745948922237
2,1752180436,5.0,0.0,2.0,0.0,5.0,2.732414,0.01028,70.0,-12.0,0.03302397886244389
3,1752180441,5.0,0.0,5.0,0.0,5.0,0.783363,0.043755,70.0,288.0,0.029589980366154244
4,1752180446,5.0,0.0,5.0,0.0,5.0,0.783363,0.043755,70.0,288.0,0.03215636880039338
5,1752180451,5.0,0.0,5.0,0.0,5.0,0.783363,0.043755,70.0,288.0,0.035584299531167096
6,1752180456,5.0,0.0,5.0,0.0,5.0,0.783363,0.043755,70.0,288.0,0.03470014320410998
7,1752180461,5.0,0.0,5.0,0.0,5.0,0.783363,0.043755,70.0,288.0,0.018843906086203482
8,1752180466,5.0,0.0,5.0,0.0,5.0,0.783363,0.043755,70.0,288.0,0.018810801729316356
9,1752180471,5.0,0.0,5.0,0.0,5.0,0.053152,0.06312,70.0,288.0,0.01815071224791842
10,1752180476,5.0,0.0,5.0,0.0,5.0,0.053152,0.06312,70.0,288.0,0.018909235696514388
11,1752180481,5.0,0.0,5.0,0.0,5.0,0.053152,0.06312,70.0,288.0,0.018864706499584608
12,1752180486,5.0,0.0,5.0,0.0,5.0,0.053152,0.06312,70.0,288.0,0.01748076772812259
13,1752180491,5.0,0.0,5.0,0.0,5.0,0.053152,0.06312,70.0,288.0,0.018564290809429698
14,1752180496,5.0,0.0,5.0,0.0,5.0,0.053152,0.06312,70.0,288.0,0.01830114054330988
15,1752180501,5.0,0.0,5.0,0.0,5.0,0.055396,0.039966,70.0,288.0,0.015944380649689532
16,1752180506,5.0,0.0,5.0,0.0,5.0,0.055396,0.039966,70.0,288.0,0.01797219606373083
17,1752180511,5.0,0.0,5.0,0.0,5.0,0.055396,0.039966,70.0,288.0,0.017831266455399817
18,1752180516,5.0,0.0,5.0,0.0,5.0,0.055396,0.039966,70.0,288.0,0.018940802395745387
19,1752180521,5.0,0.0,5.0,0.0,5.0,0.055396,0.039966,70.0,288.0,0.01827027675372126
20,1752180526,5.0,0.0,5.0,0.0,5.0,0.055396,0.039966,70.0,288.0,0.019325014072823183
21,1752180531,5.0,0.0,5.0,0.0,5.0,0.057111,0.062527,70.0,288.0,0.019363746317152146
22,1752180536,5.0,0.0,5.0,0.0,5.0,0.057111,0.062527,70.0,288.0,0.019860379706991473
23,1752180541,5.0,0.0,5.0,0.0,5.0,0.057111,0.062527,70.0,288.0,0.020061273071452557
24,1752180546,5.0,0.0,5.0,0.0,5.0,0.057111,0.062527,70.0,288.0,0.01991771431312142
25,1752180551,5.0,0.0,5.0,0.0,5.0,0.057111,0.062527,70.0,288.0,0.0189027005536098
26,1752180556,5.0,0.0,5.0,0.0,5.0,0.057111,0.062527,70.0,288.0,0.0198368343466978
27,1752180561,5.0,0.0,5.0,0.0,5.0,0.068827,0.062849,70.0,288.0,0.020815793361602997
28,1752180566,5.0,0.0,5.0,0.0,5.0,0.068827,0.062849,70.0,288.0,0.02088644130572429
29,1752180571,5.0,0.0,5.0,0.0,5.0,0.068827,0.062849,70.0,288.0,0.020418374056156076
30,1752180576,5.0,0.0,5.0,0.0,5.0,0.068827,0.062849,70.0,288.0,0.02111594449782415
31,1752180581,5.0,0.0,5.0,0.0,5.0,0.068827,0.062849,70.0,288.0,0.021165283384996604
32,1752180586,5.0,0.0,5.0,0.0,5.0,0.068827,0.062849,70.0,288.0,0.01966687071675216
33,1752180591,5.0,0.0,5.0,0.0,5.0,0.074784,0.09307,70.0,288.0,0.019625124211194285
34,1752180596,5.0,0.0,5.0,0.0,5.0,0.074784,0.09307,70.0,288.0,0.020250377239009375
35,1752180601,5.0,0.0,5.0,0.0,5.0,0.074784,0.09307,70.0,288.0,0.021251707288165722
36,1752180606,5.0,0.0,5.0,0.0,5.0,0.074784,0.09307,70.0,288.0,0.02122986777241342
37,1752180611,5.0,0.0,5.0,0.0,5.0,0.074784,0.09307,70.0,288.0,0.02122986777241342
38,1752180616,5.0,0.0,5.0,0.0,5.0,0.074784,0.09307,70.0,288.0,0.0222140367656061
39,1752180621,5.0,0.0,5.0,0.0,5.0,0.085648,0.089526,70.0,288.0,0.022271980071725733
40,1752180626,5.0,0.0,5.0,0.0,5.0,0.085648,0.089526,70.0,288.0,0.021583461309804243
41,1752180631,5.0,0.0,5.0,0.0,5.0,0.085648,0.089526,70.0,288.0,0.021226745377947314
42,1752180636,5.0,0.0,5.0,0.0,5.0,0.085648,0.089526,70.0,288.0,0.022405072151966722
43,1752180641,5.0,0.0,5.0,0.0,5.0,0.085648,0.089526,70.0,288.0,0.022361968375095645
44,1752180646,5.0,0.0,5.0,0.0,5.0,0.085648,0.089526,70.0,288.0,0.022368753894404826
