Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752180417,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752180418,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752180419,13,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752180420,26,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752180421,39,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752180422,52,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752180423,65,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,125.46109699906083,125.46109699906083,125.46109699906083,125.46109699906083,64.0
1752180424,78,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,125.46109699906083,125.46109699906083,125.46109699906083,125.46109699906083,64.0
1752180425,91,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,125.46109699906083,125.46109699906083,125.46109699906083,125.46109699906083,64.0
1752180426,104,,Aggregated,0.200000,0.000000,3800,3900,4900,5900,5900,6900,7000,7000,7000,7000,7000,35,0,3800.0,3310.684502628075,120.80281600356102,6963.292813998123,423.85714285714283
1752180427,117,,Aggregated,0.200000,0.000000,3800,3900,4900,5900,5900,6900,7000,7000,7000,7000,7000,35,0,3800.0,3310.684502628075,120.80281600356102,6963.292813998123,423.85714285714283
1752180428,130,,Aggregated,0.200000,0.000000,3800,3900,4900,5900,5900,6900,7000,7000,7000,7000,7000,35,0,3800.0,3310.684502628075,120.80281600356102,6963.292813998123,423.85714285714283
1752180429,143,,Aggregated,4.444444,0.000000,2000,3900,4900,5900,7100,10000,10000,10000,10000,10000,10000,100,0,2000.0,2903.040901219574,40.49109599873191,10132.914728994365,251.19
1752180430,156,,Aggregated,4.444444,0.000000,2000,3900,4900,5900,7100,10000,10000,10000,10000,10000,10000,100,0,2000.0,2903.040901219574,40.49109599873191,10132.914728994365,251.19
1752180431,169,,Aggregated,4.444444,0.000000,2000,3900,4900,5900,7100,10000,10000,10000,10000,10000,10000,100,0,2000.0,2903.040901219574,40.49109599873191,10132.914728994365,251.19
1752180432,182,,Aggregated,11.200000,0.000000,1200,3900,5900,6200,9100,11000,12000,12000,12000,12000,12000,236,81,1200.0,3126.3725637035036,24.727288000576664,12130.37427800009,239.61864406779662
1752180433,195,,Aggregated,11.200000,0.000000,1200,3900,5900,6200,9100,11000,12000,12000,12000,12000,12000,236,81,1200.0,3126.3725637035036,24.727288000576664,12130.37427800009,239.61864406779662
1752180434,208,,Aggregated,11.200000,0.000000,1200,3900,5900,6200,9100,11000,12000,12000,12000,12000,12000,236,81,1200.0,3126.3725637035036,24.727288000576664,12130.37427800009,239.61864406779662
1752180435,221,,Aggregated,25.900000,8.100000,230,1200,3200,4100,8100,10000,11000,12000,12000,12000,12000,365,81,230.0,2139.913876306893,21.373438998125494,12130.37427800009,253.27671232876713
1752180436,234,,Aggregated,25.900000,8.100000,230,1200,3200,4100,8100,10000,11000,12000,12000,12000,12000,365,81,230.0,2139.913876306893,21.373438998125494,12130.37427800009,253.27671232876713
1752180437,247,,Aggregated,25.900000,8.100000,230,1200,3200,4100,8100,10000,11000,12000,12000,12000,12000,365,81,230.0,2139.913876306893,21.373438998125494,12130.37427800009,253.27671232876713
1752180438,260,,Aggregated,36.200000,8.100000,180,720,1700,2100,5900,8100,11000,12000,12000,12000,12000,581,219,180.0,1538.684791283942,20.79661999596283,12130.37427800009,254.18244406196214
1752180439,273,,Aggregated,36.200000,8.100000,180,720,1700,2100,5900,8100,11000,12000,12000,12000,12000,581,219,180.0,1538.684791283942,20.79661999596283,12130.37427800009,254.18244406196214
1752180440,286,,Aggregated,36.200000,8.100000,180,720,1700,2100,5900,8100,11000,12000,12000,12000,12000,581,219,180.0,1538.684791283942,20.79661999596283,12130.37427800009,254.18244406196214
1752180441,299,,Aggregated,52.600000,24.600000,140,260,570,1200,3900,7100,10000,11000,12000,12000,12000,818,299,140.0,1122.7664860121338,19.316655001603067,12130.37427800009,269.26039119804403
1752180442,312,,Aggregated,52.600000,24.600000,140,260,570,1200,3900,7100,10000,11000,12000,12000,12000,818,299,140.0,1122.7664860121338,19.316655001603067,12130.37427800009,269.26039119804403
1752180443,327,,Aggregated,52.600000,24.600000,140,260,570,1200,3900,7100,10000,11000,12000,12000,12000,818,299,140.0,1122.7664860121338,19.316655001603067,12130.37427800009,269.26039119804403
1752180444,338,,Aggregated,63.200000,21.800000,130,210,400,570,2600,6100,10000,11000,12000,12000,12000,1049,299,130.0,913.4067579037328,19.316655001603067,12130.37427800009,300.67111534795043
1752180445,344,,Aggregated,63.200000,21.800000,130,210,400,570,2600,6100,10000,11000,12000,12000,12000,1049,299,130.0,913.4067579037328,19.316655001603067,12130.37427800009,300.67111534795043
1752180446,345,,Aggregated,63.200000,21.800000,130,210,400,570,2600,6100,10000,11000,12000,12000,12000,1049,299,130.0,913.4067579037328,19.316655001603067,12130.37427800009,300.67111534795043
1752180447,346,,Aggregated,75.400000,21.800000,120,210,370,510,2000,5100,9000,11000,12000,12000,12000,1297,299,120.0,778.3222210401788,19.316655001603067,12130.37427800009,325.0277563608327
