,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752175639,5.0,0.0,5.0,,5.0,3.122615,0.20898,70.0,-12.0,0.0016046465915737834
1,1752175644,5.0,0.0,5.0,,5.0,3.122615,0.20898,70.0,-12.0,0.010846413439766986
2,1752175649,5.0,0.0,5.0,0.0,5.0,3.122615,0.20898,70.0,-12.0,0.014196850485403104
3,1752175654,5.0,0.0,5.0,0.0,5.0,3.122615,0.20898,70.0,-12.0,0.01737081743095531
4,1752175659,5.0,0.0,5.0,0.0,5.0,3.122615,0.20898,70.0,-12.0,0.019897551402023803
5,1752175664,5.0,0.0,5.0,0.0,5.0,3.122615,0.20898,70.0,-12.0,0.026337977622084462
6,1752175669,5.0,0.0,5.0,0.0,5.0,1.041753,0.159044,70.0,288.0,0.029731317926423514
7,1752175674,5.0,0.0,5.0,0.0,5.0,1.041753,0.159044,70.0,288.0,0.03378945522356422
8,1752175679,5.0,0.0,5.0,0.0,5.0,1.041753,0.159044,70.0,288.0,0.03638957079305833
9,1752175684,5.0,0.0,5.0,0.0,5.0,1.041753,0.159044,70.0,288.0,0.03690809608606586
10,1752175689,5.0,0.0,5.0,0.0,5.0,1.041753,0.159044,70.0,288.0,0.041050782277673614
11,1752175694,5.0,0.0,5.0,0.0,5.0,1.041753,0.159044,70.0,288.0,0.04414409421586428
12,1752175699,5.0,0.0,5.0,0.0,5.0,0.15592,0.258302,70.0,288.0,0.04414271891076515
13,1752175704,5.0,0.0,5.0,0.0,5.0,0.15592,0.258302,70.0,288.0,0.04803272460354463
14,1752175709,5.0,0.0,5.0,0.0,5.0,0.15592,0.258302,70.0,288.0,0.04898198700014745
15,1752175714,5.0,0.0,5.0,0.0,5.0,0.15592,0.258302,70.0,288.0,0.049638616783278425
16,1752175719,5.0,0.0,5.0,0.0,5.0,0.15592,0.258302,70.0,288.0,0.05006962347413535
17,1752175724,5.0,0.0,5.0,0.0,5.0,0.15592,0.258302,70.0,288.0,0.04774355997418128
18,1752175729,5.0,0.0,5.0,0.0,5.0,0.215552,0.271239,70.0,288.0,0.050051131668990376
19,1752175734,5.0,0.0,5.0,0.0,5.0,0.215552,0.271239,70.0,288.0,0.05134550918310293
20,1752175739,5.0,0.0,5.0,0.0,5.0,0.215552,0.271239,70.0,288.0,0.0538609045279275
21,1752175744,5.0,0.0,5.0,0.0,5.0,0.215552,0.271239,70.0,288.0,0.054095799162681424
22,1752175749,5.0,0.0,5.0,0.0,5.0,0.215552,0.271239,70.0,288.0,0.05479395714992889
23,1752175754,5.0,0.0,5.0,0.0,5.0,0.215552,0.271239,70.0,288.0,0.05558954853201008
24,1752175759,5.0,0.0,5.0,0.0,5.0,0.297042,0.374778,70.0,288.0,0.05666126295066212
25,1752175764,5.0,0.0,5.0,0.0,5.0,0.297042,0.374778,70.0,288.0,0.05813324773390007
26,1752175769,5.0,0.0,5.0,0.0,5.0,0.297042,0.374778,70.0,288.0,0.058888681718671974
27,1752175774,5.0,0.0,5.0,0.0,5.0,0.297042,0.374778,70.0,288.0,0.058680801353415774
28,1752175779,5.0,0.0,5.0,0.0,5.0,0.297042,0.374778,70.0,288.0,0.05964347748850831
29,1752175784,5.0,0.0,5.0,0.0,5.0,0.297042,0.374778,70.0,288.0,0.060020392724629
30,1752175789,5.0,0.0,5.0,0.0,5.0,0.375178,0.374545,70.0,288.0,0.06344609926976619
31,1752175794,5.0,0.0,5.0,0.0,5.0,0.375178,0.374545,70.0,288.0,0.06364929661268331
32,1752175799,5.0,0.0,5.0,0.0,5.0,0.375178,0.374545,70.0,288.0,0.06406890928922465
33,1752175804,5.0,0.0,5.0,0.0,5.0,0.375178,0.374545,70.0,288.0,0.06492896694924456
34,1752175809,5.0,0.0,5.0,0.0,5.0,0.375178,0.374545,70.0,288.0,0.06568691200746934
35,1752175814,5.0,0.0,5.0,0.0,5.0,0.375178,0.374545,70.0,288.0,0.06087996383175537
36,1752175819,5.0,0.0,5.0,0.0,5.0,0.436345,0.549929,70.0,288.0,0.06667326474505673
37,1752175824,5.0,0.0,5.0,0.0,5.0,0.436345,0.549929,70.0,288.0,0.06886692056936447
38,1752175829,5.0,0.0,5.0,0.0,5.0,0.436345,0.549929,70.0,288.0,0.06907329658968304
39,1752175834,5.0,0.0,5.0,0.0,5.0,0.436345,0.549929,70.0,288.0,0.07079940985407562
40,1752175839,5.0,0.0,5.0,0.0,5.0,0.436345,0.549929,70.0,288.0,0.07116378139278337
41,1752175844,5.0,0.0,5.0,0.0,5.0,0.436345,0.549929,70.0,288.0,0.07207779566520192
42,1752175849,5.0,0.0,5.0,0.0,5.0,0.488761,0.548453,70.0,288.0,0.06988291110012551
43,1752175854,5.0,0.0,5.0,0.0,5.0,0.488761,0.548453,70.0,288.0,0.07400467390693195
44,1752175859,5.0,0.0,5.0,0.0,5.0,0.488761,0.548453,70.0,288.0,0.07201279796681015
45,1752175864,5.0,0.0,5.0,0.0,5.0,0.488761,0.548453,70.0,288.0,0.07201558912552024
46,1752175869,5.0,0.0,5.0,0.0,5.0,0.488761,0.548453,70.0,288.0,0.07285625969620436
47,1752175874,5.0,0.0,5.0,0.0,5.0,0.488761,0.548453,70.0,288.0,0.0754999284235725
48,1752175879,5.0,0.0,5.0,0.0,5.0,0.547799,0.488304,70.0,288.0,0.07545200222276222
49,1752175884,5.0,0.0,5.0,0.0,5.0,0.547799,0.488304,70.0,288.0,0.07565411934499601
50,1752175889,5.0,0.0,5.0,0.0,5.0,0.547799,0.488304,70.0,288.0,0.07571214176359226
51,1752175894,5.0,0.0,5.0,0.0,5.0,0.547799,0.488304,70.0,288.0,0.0720163176409472
52,1752175899,5.0,0.0,5.0,0.0,5.0,0.547799,0.488304,70.0,288.0,0.0741533809130154
53,1752175904,5.0,0.0,5.0,0.0,5.0,0.547799,0.488304,70.0,288.0,0.07356469441452194
54,1752175909,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.06976441843551719
55,1752175914,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.06632379078332626
56,1752175919,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.068815663640951
57,1752175924,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.06469171880233181
58,1752175929,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.05852321906478199
59,1752175934,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.053542138367127325
60,1752175939,5.0,0.0,5.0,0.0,5.0,0.552745,0.475279,70.0,288.0,0.040194039587923176
