,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752777469,5.0,0.0,5.0,0.0,5.0,2.350377,0.064779,140.0,788.0,0.00984344378056859
1,1752777474,5.0,0.0,5.0,0.0,5.0,2.350377,0.064779,140.0,788.0,0.011796891162370128
2,1752777479,5.0,0.0,5.0,0.0,5.0,2.350377,0.064779,140.0,788.0,0.0184700511365817
3,1752777484,5.0,0.0,5.0,0.0,5.0,2.350377,0.064779,140.0,788.0,0.02147374603797164
4,1752777489,5.0,0.0,5.0,0.0,5.0,2.350377,0.064779,140.0,788.0,0.025433737967897524
5,1752777494,5.0,0.0,5.0,0.0,5.0,2.350377,0.064779,140.0,788.0,0.0295633826130864
6,1752777499,5.0,0.0,5.0,0.0,5.0,2.438801,0.283125,140.0,788.0,0.03429749907108974
7,1752777504,5.0,0.0,5.0,0.0,5.0,2.438801,0.283125,140.0,788.0,0.039260557395761425
8,1752777509,5.0,0.0,5.0,0.0,5.0,2.438801,0.283125,140.0,788.0,0.04590556332537086
9,1752777514,5.0,0.0,5.0,0.0,5.0,2.438801,0.283125,140.0,788.0,0.049444298168725
10,1752777519,5.0,0.0,5.0,0.0,5.0,2.438801,0.283125,140.0,788.0,0.052406561649173754
11,1752777524,5.0,0.0,5.0,0.0,5.0,2.438801,0.283125,140.0,788.0,0.05630805786896012
12,1752777529,5.0,0.0,5.0,0.0,5.0,0.248239,0.258903,140.0,788.0,0.05749796873792122
13,1752777534,5.0,0.0,5.0,0.0,5.0,0.248239,0.258903,140.0,788.0,0.0553378014399737
14,1752777539,5.0,0.0,5.0,0.0,5.0,0.248239,0.258903,140.0,788.0,0.057600638054025405
15,1752777544,5.0,0.0,5.0,0.0,5.0,0.248239,0.258903,140.0,788.0,0.05681977422613909
16,1752777549,5.0,0.0,5.0,0.0,5.0,0.248239,0.258903,140.0,788.0,0.055892519059504105
17,1752777554,5.0,0.0,5.0,0.0,5.0,0.248239,0.258903,140.0,788.0,0.053102589329691384
18,1752777559,5.0,0.0,5.0,0.0,5.0,0.211121,0.077133,140.0,788.0,0.05316241106436803
19,1752777564,5.0,0.0,5.0,0.0,5.0,0.211121,0.077133,140.0,788.0,0.04753168289947135
20,1752777569,5.0,0.0,5.0,0.0,5.0,0.211121,0.077133,140.0,788.0,0.04929942247188193
21,1752777574,5.0,0.0,5.0,0.0,5.0,0.211121,0.077133,140.0,788.0,0.04779837787468741
22,1752777579,5.0,0.0,5.0,0.0,5.0,0.211121,0.077133,140.0,788.0,0.04692713676462834
23,1752777584,5.0,0.0,5.0,0.0,5.0,0.211121,0.077133,140.0,788.0,0.049197106552570924
24,1752777589,5.0,0.0,5.0,0.0,5.0,0.091568,0.081341,140.0,788.0,0.05105334282747099
25,1752777594,5.0,0.0,5.0,0.0,5.0,0.091568,0.081341,140.0,788.0,0.05262151061120711
26,1752777599,5.0,0.0,5.0,0.0,5.0,0.091568,0.081341,140.0,788.0,0.05286263024919625
27,1752777604,5.0,0.0,5.0,0.0,5.0,0.091568,0.081341,140.0,788.0,0.0547326324992829
28,1752777609,5.0,0.0,5.0,0.0,5.0,0.091568,0.081341,140.0,788.0,0.05442214372336742
29,1752777614,5.0,0.0,5.0,0.0,5.0,0.091568,0.081341,140.0,788.0,0.05663171907125203
30,1752777619,5.0,0.0,5.0,0.0,5.0,0.09434,0.136671,140.0,788.0,0.05499238837128975
31,1752777624,5.0,0.0,5.0,0.0,5.0,0.09434,0.136671,140.0,788.0,0.06330691143092498
32,1752777629,5.0,0.0,5.0,0.0,5.0,0.09434,0.136671,140.0,788.0,0.06214972701951926
33,1752777634,5.0,0.0,5.0,0.0,5.0,0.09434,0.136671,140.0,788.0,0.06688772196977921
34,1752777639,5.0,0.0,5.0,0.0,5.0,0.09434,0.136671,140.0,788.0,0.06699427827195861
35,1752777644,5.0,0.0,5.0,0.0,5.0,0.09434,0.136671,140.0,788.0,0.06819889395714965
36,1752777649,5.0,0.0,5.0,0.0,5.0,0.126301,0.178416,140.0,788.0,0.06991458031175939
37,1752777654,5.0,0.0,5.0,0.0,5.0,0.126301,0.178416,140.0,788.0,0.07657296261766282
38,1752777659,5.0,0.0,5.0,0.0,5.0,0.126301,0.178416,140.0,788.0,0.0770206808739447
39,1752777664,5.0,0.0,5.0,0.0,5.0,0.126301,0.178416,140.0,788.0,0.07704817336343245
40,1752777669,5.0,0.0,5.0,0.0,5.0,0.126301,0.178416,140.0,788.0,0.07701538639963905
41,1752777674,5.0,0.0,5.0,0.0,5.0,0.126301,0.178416,140.0,788.0,0.07257678754252822
42,1752777679,5.0,0.0,5.0,0.0,5.0,0.133518,0.112001,140.0,788.0,0.07025875450501658
43,1752777684,5.0,0.0,5.0,0.0,5.0,0.133518,0.112001,140.0,788.0,0.06789422792677878
44,1752777689,5.0,0.0,5.0,0.0,5.0,0.133518,0.112001,140.0,788.0,0.07119996995674878
45,1752777694,5.0,0.0,5.0,0.0,5.0,0.133518,0.112001,140.0,788.0,0.06684487330297184
46,1752777699,5.0,0.0,5.0,0.0,5.0,0.133518,0.112001,140.0,788.0,0.06700718307089713
47,1752777704,5.0,0.0,5.0,0.0,5.0,0.133518,0.112001,140.0,788.0,0.06925328772242177
48,1752777709,5.0,0.0,5.0,0.0,5.0,0.120882,0.120469,140.0,788.0,0.06708928886446096
49,1752777714,5.0,0.0,5.0,0.0,5.0,0.120882,0.120469,140.0,788.0,0.06951289230180976
