,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752778597,5.0,0.0,0.0,451.9420851831348,5.0,34.369912,34.369912,140.0,-246.0,0.00475843248801337
1,1752778602,5.0,0.0,0.0,451.9420851831348,5.0,34.369912,34.369912,140.0,-246.0,0.017245957051829235
2,1752778607,5.0,0.0,5.0,451.9420851831348,5.0,243.550175,11.021046,140.0,777.0,0.039574236804480446
3,1752778612,5.0,0.0,5.0,451.9420851831348,5.0,243.550175,11.021046,140.0,777.0,0.04509845672659246
4,1752778617,5.0,0.0,5.0,0.0,5.0,243.550175,11.021046,140.0,777.0,0.2173759224640712
5,1752778622,5.0,0.0,5.0,0.0,5.0,243.550175,11.021046,140.0,777.0,0.297357441797708
6,1752778627,5.0,0.0,5.0,0.0,5.0,243.550175,11.021046,140.0,777.0,0.3271337714392659
7,1752778632,5.0,0.0,5.0,0.0,5.0,243.550175,11.021046,140.0,777.0,0.4055365731878955
8,1752778637,5.0,0.0,5.0,0.0,5.0,144.809786,6.60302,140.0,782.0,0.504721183448827
9,1752778642,5.0,0.0,5.0,0.0,5.0,144.809786,6.60302,140.0,782.0,0.5755988165008054
10,1752778647,5.0,0.0,5.0,0.0,5.0,144.809786,6.60302,140.0,782.0,0.6820560875837391
11,1752778652,5.0,0.0,5.0,0.0,5.0,144.809786,6.60302,140.0,782.0,0.7559246990058672
12,1752778657,5.0,0.0,5.0,0.0,5.0,144.809786,6.60302,140.0,782.0,0.8212218949792336
13,1752778662,5.0,0.0,5.0,0.0,5.0,144.809786,6.60302,140.0,782.0,0.8535054091930528
14,1752778667,5.0,0.0,5.0,0.0,5.0,13.703929,31.328029,140.0,757.0,0.8275823465045787
15,1752778672,5.0,0.0,5.0,0.0,5.0,13.703929,31.328029,140.0,757.0,0.7283075424153899
16,1752778677,5.0,0.0,5.0,0.0,5.0,13.703929,31.328029,140.0,757.0,0.6231009412416697
17,1752778682,5.0,0.0,5.0,0.0,5.0,13.703929,31.328029,140.0,757.0,0.6463928485734678
18,1752778687,5.0,0.0,5.0,0.0,5.0,13.703929,31.328029,140.0,757.0,0.5534740063144569
19,1752778692,5.0,0.0,5.0,0.0,5.0,13.703929,31.328029,140.0,757.0,0.4709415606951953
20,1752778697,5.0,0.0,5.0,0.0,5.0,12.408369,0.869905,140.0,788.0,0.4138287385252648
21,1752778702,5.0,0.0,5.0,0.0,5.0,12.408369,0.869905,140.0,788.0,0.36301319077160643
22,1752778707,5.0,0.0,5.0,0.0,5.0,12.408369,0.869905,140.0,788.0,0.24041828076738253
23,1752778712,5.0,0.0,5.0,0.0,5.0,12.408369,0.869905,140.0,788.0,0.2149441504341393
24,1752778717,5.0,0.0,5.0,0.0,5.0,12.408369,0.869905,140.0,788.0,0.15426912687869013
25,1752778722,5.0,0.0,5.0,0.0,5.0,12.408369,0.869905,140.0,788.0,0.15736598839690744
26,1752778727,5.0,0.0,5.0,0.0,5.0,5.514488,0.937184,140.0,788.0,0.15288311385541123
27,1752778732,5.0,0.0,5.0,0.0,5.0,5.514488,0.937184,140.0,788.0,0.16186461764348656
28,1752778737,5.0,0.0,5.0,0.0,5.0,5.514488,0.937184,140.0,788.0,0.15357749582253719
29,1752778742,5.0,0.0,5.0,0.0,5.0,5.514488,0.937184,140.0,788.0,0.15965220270296296
30,1752778747,5.0,0.0,5.0,0.0,5.0,5.514488,0.937184,140.0,788.0,0.16038117194356072
