,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752779801,5.0,0.0,1.0,95.38103989919726,5.0,7.657906,7.657906,140.0,-219.0,0.009817264462421833
1,1752779806,5.0,0.0,5.0,95.38103989919726,5.0,55.577079,0.426925,140.0,788.0,0.010381454845140449
2,1752779811,5.0,0.0,5.0,95.38103989919726,5.0,55.577079,0.426925,140.0,788.0,0.0433795439653833
3,1752779816,5.0,0.0,5.0,0.0,5.0,55.577079,0.426925,140.0,788.0,0.049151059666546926
4,1752779821,5.0,0.0,5.0,0.0,5.0,55.577079,0.426925,140.0,788.0,0.060310309634804896
5,1752779826,5.0,0.0,5.0,0.0,5.0,55.577079,0.426925,140.0,788.0,0.09922221597654893
6,1752779831,5.0,0.0,5.0,0.0,5.0,55.577079,0.426925,140.0,788.0,0.11016686631744838
7,1752779836,5.0,0.0,5.0,0.0,5.0,31.857583,0.432195,140.0,788.0,0.12888089265688726
8,1752779841,5.0,0.0,5.0,0.0,5.0,31.857583,0.432195,140.0,788.0,0.13144881641106765
9,1752779846,5.0,0.0,5.0,0.0,5.0,31.857583,0.432195,140.0,788.0,0.13923135004962622
10,1752779851,5.0,0.0,5.0,0.0,5.0,31.857583,0.432195,140.0,788.0,0.14398135914879712
11,1752779856,5.0,0.0,5.0,0.0,5.0,31.857583,0.432195,140.0,788.0,0.16576695159200883
12,1752779861,5.0,0.0,5.0,0.0,5.0,31.857583,0.432195,140.0,788.0,0.16920845782157018
13,1752779866,5.0,0.0,5.0,0.0,5.0,7.414491,0.53315,140.0,788.0,0.20165567569150614
14,1752779871,5.0,0.0,5.0,0.0,5.0,7.414491,0.53315,140.0,788.0,0.19631898777600063
