Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752784380,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752784381,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752784382,13,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752784383,26,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752784384,39,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752784385,52,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752784386,65,,Aggregated,0.000000,0.000000,390,390,1400,1400,1400,1400,1400,1400,1400,1400,1400,4,0,360.0,552.2902457505552,95.43017100077122,1365.1106329998584,555.5
1752784387,78,,Aggregated,0.000000,0.000000,360,1400,1400,1400,2400,2400,2400,2400,2400,2400,2400,26,0,360.0,813.4705149241199,90.171112002281,2385.2520090003964,554.6923076923077
1752784388,91,,Aggregated,0.000000,0.000000,360,1400,1400,1400,2400,2400,2400,2400,2400,2400,2400,26,0,360.0,813.4705149241199,90.171112002281,2385.2520090003964,554.6923076923077
1752784389,104,,Aggregated,5.200000,0.000000,360,1400,1400,1400,2400,2400,2400,2400,2400,2400,2400,29,0,360.0,741.7559412770688,38.14678900380386,2385.2520090003964,518.6896551724138
1752784390,117,,Aggregated,5.833333,0.000000,140,280,360,1400,1400,2400,2400,2400,2400,2400,2400,50,0,140.0,476.97428812040016,25.935981997463387,2385.2520090003964,510.28
1752784391,130,,Aggregated,5.833333,0.000000,140,280,360,1400,1400,2400,2400,2400,2400,2400,2400,50,0,140.0,476.97428812040016,25.935981997463387,2385.2520090003964,510.28
1752784392,143,,Aggregated,6.125000,0.000000,140,180,360,390,1400,2400,2400,2400,2400,2400,2400,58,0,140.0,426.21076731051414,25.935981997463387,2385.2520090003964,480.2413793103448
1752784393,156,,Aggregated,6.333333,0.000000,140,160,180,360,1400,2400,2400,2400,2400,2400,2400,77,0,140.0,349.66580662366107,23.360336999758147,2385.2520090003964,456.5844155844156
1752784394,169,,Aggregated,6.333333,0.000000,140,160,180,360,1400,2400,2400,2400,2400,2400,2400,77,0,140.0,349.66580662366107,23.360336999758147,2385.2520090003964,456.5844155844156
1752784395,182,,Aggregated,7.600000,0.000000,140,160,180,360,1400,2400,2400,9100,9100,9100,9100,85,0,140.0,431.40202308260245,23.360336999758147,9140.568977003568,431.0470588235294
1752784396,195,,Aggregated,8.600000,0.000000,140,160,180,240,1400,2400,5100,8100,9100,9100,9100,108,0,140.0,504.82940479654377,23.360336999758147,9140.568977003568,415.8333333333333
1752784398,208,,Aggregated,8.600000,0.000000,140,160,180,240,1400,2400,5100,8100,9100,9100,9100,108,0,140.0,504.82940479654377,23.360336999758147,9140.568977003568,415.8333333333333
1752784399,221,,Aggregated,8.400000,0.000000,140,170,360,1400,5100,12000,15000,15000,15000,15000,15000,138,0,140.0,1450.4074995364635,23.360336999758147,15497.248327003035,356.7391304347826
1752784400,234,,Aggregated,9.300000,0.000000,160,2400,5100,7400,12000,15000,16000,16000,16000,16000,16000,226,0,160.0,3044.788303212704,23.360336999758147,15895.283629004552,271.9159292035398
1752784401,247,,Aggregated,9.300000,0.000000,160,2400,5100,7400,12000,15000,16000,16000,16000,16000,16000,226,0,160.0,3044.788303212704,23.360336999758147,15895.283629004552,271.9159292035398
1752784402,260,,Aggregated,18.000000,0.000000,170,2500,6500,7500,12000,15000,16000,16000,17000,17000,17000,271,27,170.0,3338.3833338009867,21.933405005256645,17492.12168899976,268.1955719557196
1752784403,273,,Aggregated,29.200000,10.000000,280,3500,6500,7900,12000,14000,16000,16000,18000,18000,18000,414,103,260.0,3463.921932702984,20.59503900090931,17520.454710000195,256.34299516908214
1752784404,286,,Aggregated,29.200000,10.000000,280,3500,6500,7900,12000,14000,16000,16000,18000,18000,18000,414,103,260.0,3463.921932702984,20.59503900090931,17520.454710000195,256.34299516908214
1752784405,299,,Aggregated,34.300000,10.300000,360,2400,5500,7000,10000,14000,16000,16000,18000,18000,18000,484,150,350.0,3114.92975144015,19.759563998377416,17520.454710000195,256.2623966942149
1752784406,312,,Aggregated,37.500000,10.300000,340,1400,2700,3900,9200,13000,15000,16000,18000,18000,18000,678,249,340.0,2453.69322088936,19.759563998377416,17520.454710000195,253.62094395280235
1752784407,325,,Aggregated,37.500000,10.300000,340,1400,2700,3900,9200,13000,15000,16000,18000,18000,18000,678,249,340.0,2453.69322088936,19.759563998377416,17520.454710000195,253.62094395280235
1752784408,338,,Aggregated,56.900000,24.400000,260,1200,2500,3600,8800,12000,15000,16000,18000,18000,18000,717,273,260.0,2323.5349464058027,19.759563998377416,17520.454710000195,254.00139470013946
1752784409,342,,Aggregated,61.700000,27.800000,150,610,1500,2500,7500,11000,15000,16000,18000,18000,18000,870,369,150.0,1925.1878195862002,18.635153996001463,17520.454710000195,253.88850574712643
1752784410,335,,Aggregated,61.700000,27.800000,150,610,1500,2500,7500,11000,15000,16000,18000,18000,18000,870,369,150.0,1925.1878195862002,18.635153996001463,17520.454710000195,253.88850574712643
1752784411,328,,Aggregated,64.800000,36.100000,140,470,1400,2400,7500,11000,15000,16000,18000,18000,18000,936,408,140.0,1792.9228520726185,17.970041997614317,17520.454710000195,258.866452991453
1752784412,321,,Aggregated,74.800000,43.400000,110,190,730,1400,5500,9700,14000,15000,17000,18000,18000,1128,526,110.0,1497.4449255735801,17.88393300375901,17520.454710000195,262.08687943262413
1752784413,314,,Aggregated,74.800000,43.400000,110,190,730,1400,5500,9700,14000,15000,17000,18000,18000,1128,526,110.0,1497.4449255735801,17.88393300375901,17520.454710000195,262.08687943262413
1752784414,307,,Aggregated,75.600000,41.700000,93,170,570,1300,5500,9500,14000,15000,17000,18000,18000,1195,570,93,1415.1353567020708,17.88393300375901,17520.454710000195,260.12887029288703
1752784415,300,,Aggregated,79.000000,47.100000,57,150,290,750,3700,8900,13000,15000,17000,18000,18000,1396,688,56,1215.723222616757,17.88393300375901,17520.454710000195,260.7958452722063
1752784416,293,,Aggregated,79.000000,47.100000,57,150,290,750,3700,8900,13000,15000,17000,18000,18000,1396,688,56,1215.723222616757,17.88393300375901,17520.454710000195,260.7958452722063
