,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752775059,5.0,0.0,1.0,0.2713363940684955,5.0,0.024536,0.260086,70.0,-112.0,0.018282260088394408
1,1752775064,5.0,0.0,1.0,0.2713363940684955,5.0,0.024536,0.260086,70.0,-112.0,0.02097780368708736
2,1752775069,5.0,0.0,1.0,0.2713363940684955,5.0,0.13726,0.245157,70.0,-112.0,0.02247287581059107
3,1752775074,5.0,0.0,1.0,0.2713363940684955,5.0,0.13726,0.245157,70.0,-112.0,0.021865290494694566
4,1752775079,5.0,0.0,1.0,0.2104930658297126,5.0,0.13726,0.245157,70.0,-112.0,0.02385919676309351
5,1752775084,5.0,0.0,1.0,0.2104930658297126,5.0,0.13726,0.245157,70.0,-112.0,0.02235531843297557
6,1752775089,5.0,0.0,1.0,0.2104930658297126,5.0,0.13726,0.245157,70.0,-112.0,0.02343696260647188
7,1752775094,5.0,0.0,1.0,0.2104930658297126,5.0,0.13726,0.245157,70.0,-112.0,0.02004919567907428
8,1752775099,5.0,0.0,1.0,0.2104930658297126,5.0,0.368125,0.199999,70.0,-112.0,0.01123495997934418
9,1752775104,5.0,0.0,1.0,0.2104930658297126,5.0,0.368125,0.199999,70.0,-112.0,0.01123495997934418
10,1752775109,5.0,0.0,1.0,6.520096880554951,5.0,0.368125,0.199999,70.0,-112.0,0.004818229065159484
11,1752775114,5.0,0.0,1.0,6.520096880554951,5.0,0.368125,0.199999,70.0,-112.0,0.004818229065159484
12,1752775119,5.0,0.0,1.0,6.520096880554951,5.0,0.368125,0.199999,70.0,-112.0,0.004818229065159484
13,1752775124,5.0,0.0,1.0,6.520096880554951,5.0,0.368125,0.199999,70.0,-112.0,0.003895053938530431
14,1752775129,5.0,0.0,1.0,6.520096880554951,5.0,0.504904,0.199999,70.0,-112.0,0.003895053938530431
15,1752775134,5.0,0.0,1.0,6.520096880554951,5.0,0.504904,0.199999,70.0,-112.0,0.003552027151464131
16,1752775139,5.0,0.0,1.0,0.0,5.0,0.504904,0.199999,70.0,-112.0,0.003218308068459658
17,1752775144,5.0,0.0,1.0,0.0,5.0,0.504904,0.199999,70.0,-112.0,0.0031587204762834257
18,1752775149,5.0,0.0,1.0,0.0,5.0,0.504904,0.199999,70.0,-112.0,0.0031587204762834257
19,1752775154,5.0,0.0,1.0,0.0,5.0,0.504904,0.199999,70.0,-112.0,0.0031929006471259993
20,1752775159,5.0,0.0,1.0,0.0,5.0,0.886491,0.464208,70.0,-112.0,0.0031929006471259993
21,1752775164,5.0,0.0,1.0,0.0,5.0,0.886491,0.464208,70.0,-112.0,0.0031929006471259993
22,1752775169,5.0,0.0,1.0,0.0,5.0,0.886491,0.464208,70.0,-112.0,0.0035236261399612524
23,1752775174,5.0,0.0,1.0,0.0,5.0,0.886491,0.464208,70.0,-112.0,0.0035236261399612524
24,1752775179,5.0,0.0,1.0,0.0,5.0,0.886491,0.464208,70.0,-112.0,0.0035236261399612524
25,1752775184,5.0,0.0,1.0,0.0,5.0,0.886491,0.464208,70.0,-112.0,0.002786451232168659
26,1752775189,5.0,0.0,1.0,0.0,5.0,0.646171,-1e-06,70.0,-111.0,0.002786451232168659
27,1752775194,5.0,0.0,1.0,0.0,5.0,0.646171,-1e-06,70.0,-111.0,0.002786451232168659
28,1752775199,5.0,0.0,1.0,0.0,5.0,0.646171,-1e-06,70.0,-111.0,0.002373429245813197
29,1752775204,5.0,0.0,1.0,0.0,5.0,0.646171,-1e-06,70.0,-111.0,0.002373429245813197
30,1752775209,5.0,0.0,1.0,0.0,5.0,0.646171,-1e-06,70.0,-111.0,0.0022038143105496005
31,1752775214,5.0,0.0,1.0,0.0,5.0,0.646171,-1e-06,70.0,-111.0,0.0015118671248568148
32,1752775219,5.0,0.0,1.0,0.0,5.0,0.107864,-1e-06,70.0,-111.0,0.0014655305253889028
33,1752775224,5.0,0.0,1.0,0.0,5.0,0.107864,-1e-06,70.0,-111.0,0.0014655305253889028
34,1752775229,5.0,0.0,1.0,0.0,5.0,0.107864,-1e-06,70.0,-111.0,0.001530995053642171
35,1752775234,5.0,0.0,1.0,0.0,5.0,0.107864,-1e-06,70.0,-111.0,0.0015022468026270317
36,1752775239,5.0,0.0,1.0,0.0,5.0,0.107864,-1e-06,70.0,-111.0,0.0015022468026270317
37,1752775244,5.0,0.0,1.0,0.0,5.0,0.107864,-1e-06,70.0,-111.0,0.0010437639896170206
38,1752775249,5.0,0.0,1.0,0.0,5.0,0.43089,4.255446,70.0,-116.0,0.0023959578817448974
39,1752775254,5.0,0.0,1.0,0.0,5.0,0.43089,4.255446,70.0,-116.0,0.0023959578817448974
40,1752775259,5.0,0.0,1.0,0.0,5.0,0.43089,4.255446,70.0,-116.0,0.002661654725171274
41,1752775264,5.0,0.0,1.0,0.0,5.0,0.43089,4.255446,70.0,-116.0,0.0021440811768910243
42,1752775269,5.0,0.0,1.0,0.0,5.0,0.43089,4.255446,70.0,-116.0,0.004175116388331272
43,1752775274,5.0,0.0,1.0,0.0,5.0,0.43089,4.255446,70.0,-116.0,0.004175116388331272
44,1752775279,5.0,0.0,1.0,0.0,5.0,0.445591,-1e-06,70.0,-111.0,0.005368660838862154
