,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1752775059,1.0,0.0,1.0,0.0,0.0,-1e-06,-1e-06,70.0,-111.0,0.0009387589536586402,0.0009387589536586402
1,1752775064,1.0,0.0,1.0,0.0,0.0,-1e-06,-1e-06,70.0,-111.0,0.0009387589536586402,0.0009387589536586402
2,1752775069,5.0,0.0,1.0,0.0,5.0,0.10221,0.40069,70.0,-112.0,0.0009257445612908425,0.0009257445612908425
3,1752775074,5.0,0.0,1.0,0.0,5.0,0.10221,0.40069,70.0,-112.0,0.0011006673650719699,0.0011006673650719699
4,1752775079,5.0,0.0,1.0,0.0,5.0,0.10221,0.40069,70.0,-112.0,0.0011006673650719699,0.0011006673650719699
5,1752775084,5.0,0.0,1.0,0.0,5.0,0.10221,0.40069,70.0,-112.0,0.0011603527512110247,0.0011603527512110247
6,1752775089,5.0,0.0,1.0,0.0,5.0,0.10221,0.40069,70.0,-112.0,0.0014706190746646836,0.0014706190746646836
7,1752775094,5.0,0.0,1.0,0.0,5.0,0.10221,0.40069,70.0,-112.0,0.0014706190746646836,0.0014706190746646836
8,1752775099,5.0,0.0,1.0,0.0,5.0,0.21832,0.166666,70.0,-112.0,0.0014706190746646836,0.0014706190746646836
9,1752775104,5.0,0.0,1.0,0.0,5.0,0.21832,0.166666,70.0,-112.0,0.0015173297886109931,0.0015173297886109931
10,1752775109,5.0,0.0,1.0,0.0,5.0,0.21832,0.166666,70.0,-112.0,0.0016404938377085237,0.0016404938377085237
11,1752775114,5.0,0.0,1.0,0.0,5.0,0.21832,0.166666,70.0,-112.0,0.0016404938377085237,0.0016404938377085237
12,1752775119,5.0,0.0,1.0,0.0,5.0,0.21832,0.166666,70.0,-112.0,0.0016746522884627248,0.0016746522884627248
