,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752768388,0.0,0.0,0.0,115.98304054189659,0.0,0.0,0.0,70.0,-211.0,
1,1752768393,0.0,0.0,0.0,115.98304054189659,0.0,0.0,0.0,70.0,-211.0,
2,1752768398,0.0,0.0,0.0,115.98304054189659,0.0,0.0,0.0,70.0,-211.0,0.13884827230696042
3,1752768403,0.0,0.0,0.0,115.98304054189659,0.0,0.0,0.0,70.0,-211.0,0.18448638071239556
4,1752768408,3.0,0.0,2.0,115.98304054189659,3.0,101.486497,103.436235,70.0,-215.0,0.15395905
5,1752768413,3.0,0.0,2.0,115.98304054189659,3.0,101.486497,103.436235,70.0,-215.0,0.15395905
6,1752768418,3.0,0.0,2.0,198.00999669061537,3.0,101.486497,103.436235,70.0,-215.0,0.15395905
7,1752768423,3.0,0.0,2.0,198.00999669061537,3.0,101.486497,103.436235,70.0,-215.0,0.15395905
8,1752768428,3.0,0.0,2.0,198.00999669061537,3.0,101.486497,103.436235,70.0,-215.0,0.15395905
9,1752768433,3.0,0.0,2.0,198.00999669061537,3.0,101.486497,103.436235,70.0,-215.0,0.15395905
10,1752768438,3.0,0.0,0.0,198.00999669061537,3.0,111.977539,187.245456,70.0,-399.0,0.15395905
11,1752768443,3.0,0.0,0.0,198.00999669061537,3.0,111.977539,187.245456,70.0,-399.0,
12,1752768448,3.0,0.0,0.0,366.77173577974713,3.0,111.977539,187.245456,70.0,-399.0,
13,1752768453,3.0,0.0,0.0,366.77173577974713,3.0,111.977539,187.245456,70.0,-399.0,
14,1752768458,3.0,0.0,0.0,366.77173577974713,3.0,111.977539,187.245456,70.0,-399.0,
15,1752768463,3.0,0.0,0.0,366.77173577974713,3.0,111.977539,187.245456,70.0,-399.0,
