Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752793847,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752793848,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752793849,17,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752793850,34,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752793851,51,,Aggregated,0.000000,0.000000,200,210,220,430,630,670,670,670,670,670,670,34,0,190.0,271.0232848538212,149.05736000218894,673.6466119982651,385.70588235294116
1752793852,68,,Aggregated,0.000000,0.000000,200,210,220,430,630,670,670,670,670,670,670,34,0,190.0,271.0232848538212,149.05736000218894,673.6466119982651,385.70588235294116
1752793853,85,,Aggregated,17.000000,0.000000,190,210,220,220,540,670,670,740,740,740,740,51,0,190.0,242.44517629495914,25.80508300161455,741.0432289980236,393.15686274509807
1752793854,102,,Aggregated,16.333333,0.000000,180,190,220,300,640,730,780,850,850,850,850,95,0,180.0,247.79084361101636,25.80508300161455,847.4409530026605,369.57894736842104
1752793855,119,,Aggregated,16.333333,0.000000,180,190,220,300,640,730,780,850,850,850,850,95,0,180.0,247.79084361101636,25.80508300161455,847.4409530026605,369.57894736842104
1752793856,136,,Aggregated,16.833333,0.000000,190,210,230,370,640,780,1200,1600,1700,1700,1700,116,0,180.0,280.1297837159554,22.834395997051615,1652.7422869985458,369.6551724137931
1752793857,153,,Aggregated,19.666667,0.000000,190,220,340,470,780,1400,1800,2400,2700,2700,2700,192,0,190.0,355.11664166692,22.618684997723904,2680.3851570002735,364.0104166666667
1752793858,170,,Aggregated,19.666667,0.000000,190,220,340,470,780,1400,1800,2400,2700,2700,2700,192,0,190.0,355.11664166692,22.618684997723904,2680.3851570002735,364.0104166666667
1752793859,187,,Aggregated,23.750000,0.000000,190,260,380,500,990,1600,2000,2500,2700,2700,2700,223,0,190.0,382.6539116010611,22.618684997723904,2680.3851570002735,361.4529147982063
1752793860,204,,Aggregated,24.666667,0.000000,190,320,410,500,1200,2000,2500,2700,3400,3400,3400,303,0,190.0,425.25466986492995,22.618684997723904,3360.86659799912,367.48514851485146
1752793861,221,,Aggregated,24.666667,0.000000,190,320,410,500,1200,2000,2500,2700,3400,3400,3400,303,0,190.0,425.25466986492995,22.618684997723904,3360.86659799912,367.48514851485146
1752793862,238,,Aggregated,28.100000,0.000000,190,320,410,500,1200,2000,2700,3100,6400,6400,6400,326,0,190.0,435.84287282533154,22.618684997723904,6383.063745997788,367.5644171779141
1752793863,255,,Aggregated,28.500000,0.000000,190,330,460,560,1200,2000,3300,4200,6400,6400,6400,396,0,190.0,474.52526102299294,22.618684997723904,6383.063745997788,367.2676767676768
1752793864,272,,Aggregated,28.500000,0.000000,190,330,460,560,1200,2000,3300,4200,6400,6400,6400,396,0,190.0,474.52526102299294,22.618684997723904,6383.063745997788,367.2676767676768
1752793865,289,,Aggregated,32.600000,0.000000,200,360,540,730,1700,2700,4200,6300,7100,7100,7100,458,36,200.0,610.6990370657489,19.984635997388978,7087.794990002294,354.5524017467249
1752793866,306,,Aggregated,33.100000,0.000000,220,470,960,1400,3100,5000,6100,6500,7200,7200,7200,643,158,220.0,930.0636279814805,19.984635997388978,7211.188527006016,319.7309486780715
1752793867,323,,Aggregated,33.100000,0.000000,220,470,960,1400,3100,5000,6100,6500,7200,7200,7200,643,158,220.0,930.0636279814805,19.984635997388978,7211.188527006016,319.7309486780715
1752793868,340,,Aggregated,45.800000,15.800000,210,440,770,1300,3100,5000,6100,6500,7200,7200,7200,672,158,210.0,893.9037658810887,19.984635997388978,7211.188527006016,327.0550595238095
1752793869,357,,Aggregated,47.100000,15.800000,190,380,630,1100,2700,4500,6000,6400,7200,7200,7200,760,158,190.0,799.9438423501585,19.984635997388978,7211.188527006016,335.07894736842104
