,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752791669,5.0,0.0,1.0,0.0,5.0,0.58586,0.200371,70.0,-112.0,0.1640457800613407
1,1752791674,5.0,0.0,1.0,0.0,5.0,0.58586,0.200371,70.0,-112.0,0.17753310865721486
2,1752791679,5.0,0.0,1.0,0.0,5.0,0.58586,0.200371,70.0,-112.0,0.13525256742004801
3,1752791684,5.0,0.0,1.0,0.0,5.0,0.58586,0.200371,70.0,-112.0,0.1323764818175735
4,1752791689,5.0,0.0,5.0,0.0,5.0,0.159196,0.004963,70.0,288.0,0.13127315770133763
5,1752791694,5.0,0.0,5.0,0.0,5.0,0.159196,0.004963,70.0,288.0,0.13305275011423434
6,1752791699,5.0,0.0,5.0,0.0,5.0,0.159196,0.004963,70.0,288.0,0.12320795497041986
7,1752791704,5.0,0.0,5.0,0.0,5.0,0.159196,0.004963,70.0,288.0,0.1233793210991061
8,1752791709,5.0,0.0,5.0,0.0,5.0,0.159196,0.004963,70.0,288.0,0.005628005972484039
9,1752791714,5.0,0.0,5.0,0.0,5.0,0.159196,0.004963,70.0,288.0,0.005805727484513697
10,1752791719,5.0,0.0,5.0,0.0,5.0,0.002417,0.003761,70.0,288.0,0.0056666472058160494
11,1752791724,5.0,0.0,5.0,0.0,5.0,0.002417,0.003761,70.0,288.0,0.006167382846693921
12,1752791729,5.0,0.0,5.0,0.0,5.0,0.002417,0.003761,70.0,288.0,0.005736573680796601
13,1752791734,5.0,0.0,5.0,0.0,5.0,0.002417,0.003761,70.0,288.0,0.005817840001598515
14,1752791739,5.0,0.0,5.0,0.0,5.0,0.002417,0.003761,70.0,288.0,0.005726800129375167
15,1752791744,5.0,0.0,5.0,0.0,5.0,0.002417,0.003761,70.0,288.0,0.005779402118177899
16,1752791749,5.0,0.0,5.0,0.0,5.0,0.003006,0.00727,70.0,288.0,0.006181141918931489
17,1752791754,5.0,0.0,5.0,0.0,5.0,0.003006,0.00727,70.0,288.0,0.006168490452222715
18,1752791759,5.0,0.0,5.0,0.0,5.0,0.003006,0.00727,70.0,288.0,0.006206801022617436
19,1752791764,5.0,0.0,5.0,0.0,5.0,0.003006,0.00727,70.0,288.0,0.00613376816789817
20,1752791769,5.0,0.0,5.0,0.0,5.0,0.003006,0.00727,70.0,288.0,0.006116719329344444
21,1752791774,5.0,0.0,5.0,0.0,5.0,0.003006,0.00727,70.0,288.0,0.006440411800259761
22,1752791779,5.0,0.0,5.0,0.0,5.0,0.003437,0.000862,70.0,288.0,0.007178308996508484
23,1752791784,5.0,0.0,5.0,0.0,5.0,0.003437,0.000862,70.0,288.0,0.009322627840436694
24,1752791789,5.0,0.0,5.0,0.0,5.0,0.003437,0.000862,70.0,288.0,0.010077108616546265
25,1752791794,5.0,0.0,5.0,0.0,5.0,0.003437,0.000862,70.0,288.0,0.010481749899094651
26,1752791799,5.0,0.0,5.0,0.0,5.0,0.003437,0.000862,70.0,288.0,0.010312824690942865
27,1752791804,5.0,0.0,5.0,0.0,5.0,0.003437,0.000862,70.0,288.0,0.010429070207887213
28,1752791809,5.0,0.0,5.0,0.0,5.0,0.00338,0.004397,70.0,288.0,0.010334108439962955
29,1752791814,5.0,0.0,5.0,0.0,5.0,0.00338,0.004397,70.0,288.0,0.01008925102321569
30,1752791819,5.0,0.0,5.0,0.0,5.0,0.00338,0.004397,70.0,288.0,0.010080552634931572
31,1752791824,5.0,0.0,5.0,0.0,5.0,0.00338,0.004397,70.0,288.0,0.007678268743999593
32,1752791829,5.0,0.0,5.0,0.0,5.0,0.00338,0.004397,70.0,288.0,0.007005144079526969
33,1752791834,5.0,0.0,5.0,0.0,5.0,0.00338,0.004397,70.0,288.0,0.006555685670277994
34,1752791839,5.0,0.0,5.0,0.0,5.0,0.003581,0.003479,70.0,288.0,0.006229162081970564
35,1752791844,5.0,0.0,5.0,0.0,5.0,0.003581,0.003479,70.0,288.0,0.006523611421069099
36,1752791849,5.0,0.0,5.0,0.0,5.0,0.003581,0.003479,70.0,288.0,0.006137128079189988
37,1752791854,5.0,0.0,5.0,0.0,5.0,0.003581,0.003479,70.0,288.0,0.006390148618119793
38,1752791859,5.0,0.0,5.0,0.0,5.0,0.003581,0.003479,70.0,288.0,0.005858533354639406
39,1752791864,5.0,0.0,5.0,0.0,5.0,0.003581,0.003479,70.0,288.0,0.0062702549188439925
40,1752791869,5.0,0.0,5.0,0.0,5.0,0.003912,0.003651,70.0,288.0,0.006301284765594318
41,1752791874,5.0,0.0,5.0,0.0,5.0,0.003912,0.003651,70.0,288.0,0.006503214294352292
42,1752791879,5.0,0.0,5.0,0.0,5.0,0.003912,0.003651,70.0,288.0,0.006599989606545017
43,1752791884,5.0,0.0,5.0,0.0,5.0,0.003912,0.003651,70.0,288.0,0.0058010646467406
44,1752791889,5.0,0.0,5.0,0.0,5.0,0.003912,0.003651,70.0,288.0,0.007248595503863272
45,1752791894,5.0,0.0,5.0,0.0,5.0,0.003912,0.003651,70.0,288.0,0.007391123601284751
46,1752791899,5.0,0.0,5.0,0.0,5.0,0.004698,0.00461,70.0,288.0,0.007892380984130443
47,1752791904,5.0,0.0,5.0,0.0,5.0,0.004698,0.00461,70.0,288.0,0.007831248008147785
48,1752791909,5.0,0.0,5.0,0.0,5.0,0.004698,0.00461,70.0,288.0,0.00818766508067334
49,1752791914,5.0,0.0,5.0,0.0,5.0,0.004698,0.00461,70.0,288.0,0.008677275297427695
50,1752791919,5.0,0.0,5.0,0.0,5.0,0.004698,0.00461,70.0,288.0,0.008251071023381377
51,1752791924,5.0,0.0,5.0,0.0,5.0,0.004698,0.00461,70.0,288.0,0.00777274564347924
52,1752791929,5.0,0.0,5.0,0.0,5.0,0.004193,0.001346,70.0,288.0,0.007344500353491487
53,1752791934,5.0,0.0,5.0,0.0,5.0,0.004193,0.001346,70.0,288.0,0.007111192461061275
54,1752791939,5.0,0.0,5.0,0.0,5.0,0.004193,0.001346,70.0,288.0,0.007260389220277693
55,1752791944,5.0,0.0,5.0,0.0,5.0,0.004193,0.001346,70.0,288.0,0.007009975484846085
56,1752791949,5.0,0.0,5.0,0.0,5.0,0.004193,0.001346,70.0,288.0,0.005549849071503061
57,1752791954,5.0,0.0,5.0,0.0,5.0,0.004193,0.001346,70.0,288.0,0.006212904161399781
58,1752791959,5.0,0.0,5.0,0.0,5.0,0.003253,0.001922,70.0,288.0,0.006169357558954043
59,1752791964,5.0,0.0,5.0,0.0,5.0,0.003253,0.001922,70.0,288.0,0.006136547755339169
60,1752791969,5.0,0.0,5.0,0.0,5.0,0.003253,0.001922,70.0,288.0,0.005658289242319193
