,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752788659,5.0,0.0,5.0,8.833296696336264,5.0,1.770121,0.32618,70.0,288.0,0.008282261520849815
1,1752788664,5.0,0.0,5.0,8.833296696336264,5.0,1.770121,0.32618,70.0,288.0,0.011038538028298323
2,1752788669,5.0,0.0,5.0,0.0,5.0,1.770121,0.32618,70.0,288.0,0.02153121545022975
3,1752788674,5.0,0.0,5.0,0.0,5.0,1.770121,0.32618,70.0,288.0,0.045567468430616445
4,1752788679,5.0,0.0,5.0,0.0,5.0,1.770121,0.32618,70.0,288.0,0.05375795065900463
5,1752788684,5.0,0.0,5.0,0.0,5.0,1.770121,0.32618,70.0,288.0,0.06558342490934219
6,1752788689,5.0,0.0,5.0,0.0,5.0,1.090606,0.557652,70.0,288.0,0.09761697625184954
7,1752788694,5.0,0.0,5.0,0.0,5.0,1.090606,0.557652,70.0,288.0,0.10946974822564545
8,1752788699,5.0,0.0,5.0,0.0,5.0,1.090606,0.557652,70.0,288.0,0.11147775906051605
9,1752788704,5.0,0.0,5.0,0.0,5.0,1.090606,0.557652,70.0,288.0,0.15182423477942858
10,1752788709,5.0,0.0,5.0,0.0,5.0,1.090606,0.557652,70.0,288.0,0.18287632819574132
11,1752788714,5.0,0.0,5.0,0.0,5.0,1.090606,0.557652,70.0,288.0,0.20647206768332113
12,1752788719,5.0,0.0,5.0,0.0,5.0,0.733799,0.813384,70.0,288.0,0.21293616935351128
13,1752788724,5.0,0.0,5.0,0.0,5.0,0.733799,0.813384,70.0,288.0,0.2203125149013176
14,1752788729,5.0,0.0,5.0,0.0,5.0,0.733799,0.813384,70.0,288.0,0.22877933953348267
15,1752788734,5.0,0.0,5.0,0.0,5.0,0.733799,0.813384,70.0,288.0,0.19444882779284503
16,1752788739,5.0,0.0,5.0,0.0,5.0,0.733799,0.813384,70.0,288.0,0.161412225984272
17,1752788744,5.0,0.0,5.0,0.0,5.0,0.733799,0.813384,70.0,288.0,0.14623334106909475
18,1752788749,5.0,0.0,5.0,0.0,5.0,0.633144,0.146924,70.0,288.0,0.09399603976442783
19,1752788754,5.0,0.0,5.0,0.0,5.0,0.633144,0.146924,70.0,288.0,0.08078173210017363
20,1752788759,5.0,0.0,5.0,0.0,5.0,0.633144,0.146924,70.0,288.0,0.07682421717545307
21,1752788764,5.0,0.0,5.0,0.0,5.0,0.633144,0.146924,70.0,288.0,0.021688820311999393
22,1752788769,5.0,0.0,5.0,0.0,5.0,0.633144,0.146924,70.0,288.0,0.012618452944185543
