,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752798164,,,,20.042623866356458,,,,,,0.1029036554646899
1,1752798169,5.0,0.0,5.0,20.042623866356458,5.0,11.34919,19.452158,70.0,269.0,0.14345126602061964
2,1752798174,5.0,0.0,5.0,20.042623866356458,5.0,11.34919,19.452158,70.0,269.0,0.1894733715457915
3,1752798179,5.0,0.0,5.0,0.0,5.0,11.34919,19.452158,70.0,269.0,0.17974580893270653
4,1752798184,5.0,0.0,5.0,0.0,5.0,11.34919,19.452158,70.0,269.0,0.21132907520472874
5,1752798189,5.0,0.0,5.0,0.0,5.0,11.34919,19.452158,70.0,269.0,0.21667279917728954
6,1752798194,5.0,0.0,5.0,0.0,5.0,11.34919,19.452158,70.0,269.0,0.2384714418101253
7,1752798199,5.0,0.0,5.0,0.0,5.0,31.372783,36.324198,70.0,252.0,0.22910077817148075
8,1752798204,5.0,0.0,5.0,0.0,5.0,31.372783,36.324198,70.0,252.0,0.20135779106486193
9,1752798209,5.0,0.0,5.0,0.0,5.0,31.372783,36.324198,70.0,252.0,0.20245938912954314
10,1752798214,5.0,0.0,5.0,0.0,5.0,31.372783,36.324198,70.0,252.0,0.1803558059659803
11,1752798219,5.0,0.0,5.0,0.0,5.0,31.372783,36.324198,70.0,252.0,0.1261430544795361
12,1752798224,5.0,0.0,5.0,0.0,5.0,31.372783,36.324198,70.0,252.0,0.1250371707258071
13,1752798229,5.0,0.0,5.0,0.0,5.0,79.421762,280.901656,70.0,8.0,0.10929652080978246
14,1752798234,5.0,0.0,5.0,0.0,5.0,79.421762,280.901656,70.0,8.0,0.09067977785175033
15,1752798239,5.0,0.0,5.0,0.0,5.0,79.421762,280.901656,70.0,8.0,0.08529252195856543
16,1752798244,5.0,0.0,5.0,0.0,5.0,79.421762,280.901656,70.0,8.0,0.08550064189979334
17,1752798249,5.0,0.0,5.0,0.0,5.0,79.421762,280.901656,70.0,8.0,0.08074935571349057
18,1752798254,5.0,0.0,5.0,0.0,5.0,79.421762,280.901656,70.0,8.0,0.1403103673755261
19,1752798259,5.0,0.0,5.0,0.0,5.0,77.928686,83.288008,70.0,205.0,0.15111863271837508
20,1752798264,5.0,0.0,5.0,0.0,5.0,77.928686,83.288008,70.0,205.0,0.2854042433730177
21,1752798269,5.0,0.0,5.0,0.0,5.0,77.928686,83.288008,70.0,205.0,0.2984104177415737
22,1752798274,5.0,0.0,5.0,0.0,5.0,77.928686,83.288008,70.0,205.0,0.33272273082283116
23,1752798279,5.0,0.0,5.0,0.0,5.0,77.928686,83.288008,70.0,205.0,0.32346067185467864
24,1752798284,5.0,0.0,5.0,0.0,5.0,77.928686,83.288008,70.0,205.0,0.3533031115647685
25,1752798289,5.0,0.0,5.0,0.0,5.0,30.593863,4.569767,70.0,284.0,0.3554053167732788
26,1752798294,5.0,0.0,5.0,0.0,5.0,30.593863,4.569767,70.0,284.0,0.37408113371873525
27,1752798299,5.0,0.0,5.0,0.0,5.0,30.593863,4.569767,70.0,284.0,0.3679137574261592
28,1752798304,5.0,0.0,5.0,0.0,5.0,30.593863,4.569767,70.0,284.0,0.2570130056288511
29,1752798309,5.0,0.0,5.0,0.0,5.0,30.593863,4.569767,70.0,284.0,0.26204824329840914
30,1752798314,5.0,0.0,5.0,0.0,5.0,30.593863,4.569767,70.0,284.0,0.20747274714423075
31,1752798319,5.0,0.0,5.0,0.0,5.0,8.269793,0.59819,70.0,288.0,0.20192594713170348
32,1752798324,5.0,0.0,5.0,0.0,5.0,8.269793,0.59819,70.0,288.0,0.22180221019950203
33,1752798329,5.0,0.0,5.0,0.0,5.0,8.269793,0.59819,70.0,288.0,0.21022687017976205
34,1752798334,5.0,0.0,5.0,0.0,5.0,8.269793,0.59819,70.0,288.0,0.17955731561092
35,1752798339,5.0,0.0,5.0,0.0,5.0,8.269793,0.59819,70.0,288.0,0.151378763484856
36,1752798344,5.0,0.0,5.0,0.0,5.0,8.269793,0.59819,70.0,288.0,0.15137876348485596
37,1752798349,5.0,0.0,5.0,0.0,5.0,0.66689,0.70698,70.0,288.0,0.14491252061206683
38,1752798354,5.0,0.0,5.0,0.0,5.0,0.66689,0.70698,70.0,288.0,0.14602667539381425
39,1752798359,5.0,0.0,5.0,0.0,5.0,0.66689,0.70698,70.0,288.0,0.15198344807202335
40,1752798364,5.0,0.0,5.0,0.0,5.0,0.66689,0.70698,70.0,288.0,0.14764489324274035
41,1752798369,5.0,0.0,5.0,0.0,5.0,0.66689,0.70698,70.0,288.0,0.14950212805652716
42,1752798374,5.0,0.0,5.0,0.0,5.0,0.66689,0.70698,70.0,288.0,0.14909954847122672
