,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1752798169,5.0,0.0,0.0,,5.0,1.845317,2.385566,70.0,-214.0,0.04993029348959972,0.04993029348959972
1,1752798174,5.0,0.0,0.0,,5.0,1.845317,2.385566,70.0,-214.0,0.12278826021959546,0.12278826021959546
2,1752798179,5.0,0.0,0.0,0.0,5.0,1.845317,2.385566,70.0,-214.0,0.1667589264474906,0.1667589264474906
3,1752798184,5.0,0.0,0.0,0.0,5.0,1.845317,2.385566,70.0,-214.0,0.18422323099583088,0.18422323099583088
4,1752798189,5.0,0.0,0.0,0.0,5.0,1.845317,2.385566,70.0,-214.0,0.17717329160942097,0.17717329160942097
5,1752798194,5.0,0.0,0.0,0.0,5.0,1.845317,2.385566,70.0,-214.0,0.1363182786573867,0.1363182786573867
6,1752798199,5.0,0.0,5.0,0.0,5.0,1.270151,0.000398,70.0,288.0,0.1496499410100674,0.1496499410100674
7,1752798204,5.0,0.0,5.0,0.0,5.0,1.270151,0.000398,70.0,288.0,0.1346955309923887,0.1346955309923887
8,1752798209,5.0,0.0,5.0,0.0,5.0,1.270151,0.000398,70.0,288.0,0.1367028599610318,0.1367028599610318
9,1752798214,5.0,0.0,5.0,0.0,5.0,1.270151,0.000398,70.0,288.0,0.1427611473760112,0.1427611473760112
10,1752798219,5.0,0.0,5.0,0.0,5.0,1.270151,0.000398,70.0,288.0,0.00450983798919218,0.00450983798919218
11,1752798224,5.0,0.0,5.0,0.0,5.0,1.270151,0.000398,70.0,288.0,0.005011652914463506,0.005011652914463506
12,1752798229,5.0,0.0,5.0,0.0,5.0,0.492874,0.00324,70.0,288.0,0.004771070503138418,0.004771070503138418
13,1752798234,5.0,0.0,5.0,0.0,5.0,0.492874,0.00324,70.0,288.0,0.004941098900630738,0.004941098900630738
14,1752798239,5.0,0.0,5.0,0.0,5.0,0.492874,0.00324,70.0,288.0,0.005170337818016287,0.005170337818016287
15,1752798244,5.0,0.0,5.0,0.0,5.0,0.492874,0.00324,70.0,288.0,0.005054385565724141,0.005054385565724141
16,1752798249,5.0,0.0,5.0,0.0,5.0,0.492874,0.00324,70.0,288.0,0.004900643451693592,0.004900643451693592
