,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752799654,2.0,0.0,1.0,56.74260666786347,2.0,9.19762,91.809536,70.0,-203.0,0.12453794166666667
1,1752799659,2.0,0.0,1.0,56.74260666786347,2.0,9.19762,91.809536,70.0,-203.0,0.12453794166666667
2,1752799664,2.0,0.0,1.0,56.74260666786347,2.0,9.19762,91.809536,70.0,-203.0,0.12453794166666667
3,1752799669,4.0,0.0,2.0,56.74260666786347,4.0,72.736514,244.252659,70.0,-156.0,0.12453794166666667
4,1752799674,4.0,0.0,2.0,56.74260666786347,4.0,72.736514,244.252659,70.0,-156.0,0.24777577210076474
5,1752799679,4.0,0.0,2.0,42.63838695695526,4.0,72.736514,244.252659,70.0,-156.0,0.5041260668848584
6,1752799684,4.0,0.0,2.0,42.63838695695526,4.0,72.736514,244.252659,70.0,-156.0,0.4086628264374105
7,1752799689,4.0,0.0,2.0,42.63838695695526,4.0,72.736514,244.252659,70.0,-156.0,0.7163948669118996
8,1752799694,4.0,0.0,2.0,42.63838695695526,4.0,72.736514,244.252659,70.0,-156.0,0.6758533951183332
9,1752799699,4.0,0.0,3.0,42.63838695695526,4.0,84.134995,70.74765,70.0,18.0,0.9378101556173049
10,1752799704,4.0,0.0,3.0,42.63838695695526,4.0,84.134995,70.74765,70.0,18.0,1.246888674469325
11,1752799709,4.0,0.0,3.0,0.0,4.0,84.134995,70.74765,70.0,18.0,1.6306650203062412
12,1752799714,4.0,0.0,3.0,0.0,4.0,84.134995,70.74765,70.0,18.0,1.8509573960209966
13,1752799719,4.0,0.0,3.0,0.0,4.0,84.134995,70.74765,70.0,18.0,2.0868019014665853
14,1752799724,4.0,0.0,3.0,0.0,4.0,84.134995,70.74765,70.0,18.0,2.2816597075196237
15,1752799729,2.0,2.0,2.0,0.0,2.0,33.791189,4.892432,70.0,184.0,2.5493495482681765
16,1752799734,2.0,2.0,2.0,0.0,2.0,33.791189,4.892432,70.0,184.0,2.5498973902533284
17,1752799739,2.0,2.0,2.0,33.83832269216289,2.0,33.791189,4.892432,70.0,184.0,2.150741282789834
18,1752799744,2.0,2.0,2.0,33.83832269216289,2.0,33.791189,4.892432,70.0,184.0,2.058621353743792
19,1752799749,2.0,2.0,2.0,33.83832269216289,2.0,33.791189,4.892432,70.0,184.0,2.0193326138616206
20,1752799754,2.0,2.0,2.0,33.83832269216289,2.0,33.791189,4.892432,70.0,184.0,1.8056957778449556
21,1752799759,2.0,3.0,1.0,33.83832269216289,2.0,44.863249,84.909855,70.0,-296.0,1.5093892760830496
22,1752799764,2.0,3.0,1.0,33.83832269216289,2.0,44.863249,84.909855,70.0,-296.0,0.9104041584117347
23,1752799769,2.0,3.0,1.0,284.4690936425695,2.0,44.863249,84.909855,70.0,-296.0,0.40851036120258927
24,1752799774,2.0,3.0,1.0,284.4690936425695,2.0,44.863249,84.909855,70.0,-296.0,0.36398241621750294
25,1752799779,2.0,3.0,1.0,284.4690936425695,2.0,44.863249,84.909855,70.0,-296.0,0.15701762822172521
26,1752799784,2.0,3.0,1.0,284.4690936425695,2.0,44.863249,84.909855,70.0,-296.0,0.028607739718614796
