,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752800163,5.0,0.0,2.0,0.61478453514563,5.0,23.493117,23.493117,70.0,-35.0,0.01496093838881781
1,1752800168,5.0,0.0,2.0,0.61478453514563,5.0,23.493117,23.493117,70.0,-35.0,0.01801978969907794
2,1752800173,5.0,0.0,2.0,0.61478453514563,5.0,23.493117,23.493117,70.0,-35.0,0.0272775031424775
3,1752800178,5.0,0.0,5.0,0.61478453514563,5.0,4.407154,0.313572,70.0,288.0,0.031344321216271086
4,1752800183,5.0,0.0,5.0,0.61478453514563,5.0,4.407154,0.313572,70.0,288.0,0.03547637383128235
5,1752800188,5.0,0.0,5.0,0.0,5.0,4.407154,0.313572,70.0,288.0,0.03829833405614408
6,1752800193,5.0,0.0,5.0,0.0,5.0,4.407154,0.313572,70.0,288.0,0.04668723535604655
7,1752800198,5.0,0.0,5.0,0.0,5.0,4.407154,0.313572,70.0,288.0,0.051107470023356846
8,1752800203,5.0,0.0,5.0,0.0,5.0,4.407154,0.313572,70.0,288.0,0.04882804280533039
9,1752800208,5.0,0.0,5.0,0.0,5.0,0.369065,0.305357,70.0,288.0,0.05566951966400925
10,1752800213,5.0,0.0,5.0,0.0,5.0,0.369065,0.305357,70.0,288.0,0.05751304816867657
11,1752800218,5.0,0.0,5.0,0.0,5.0,0.369065,0.305357,70.0,288.0,0.05820873049701531
12,1752800223,5.0,0.0,5.0,0.0,5.0,0.369065,0.305357,70.0,288.0,0.05550710709843686
13,1752800228,5.0,0.0,5.0,0.0,5.0,0.369065,0.305357,70.0,288.0,0.056098800052401435
14,1752800233,5.0,0.0,5.0,0.0,5.0,0.369065,0.305357,70.0,288.0,0.051981543179237866
15,1752800238,5.0,0.0,5.0,0.0,5.0,0.221423,0.073401,70.0,288.0,0.05440330513741741
16,1752800243,5.0,0.0,5.0,0.0,5.0,0.221423,0.073401,70.0,288.0,0.052760245434572944
17,1752800248,5.0,0.0,5.0,0.0,5.0,0.221423,0.073401,70.0,288.0,0.05465742668311962
18,1752800253,5.0,0.0,5.0,0.0,5.0,0.221423,0.073401,70.0,288.0,0.05202381981776708
19,1752800258,5.0,0.0,5.0,0.0,5.0,0.221423,0.073401,70.0,288.0,0.05134003519140683
20,1752800263,5.0,0.0,5.0,0.0,5.0,0.221423,0.073401,70.0,288.0,0.053074831292451455
21,1752800268,5.0,0.0,5.0,0.0,5.0,0.130491,0.102181,70.0,288.0,0.05505464287661252
22,1752800273,5.0,0.0,5.0,0.0,5.0,0.130491,0.102181,70.0,288.0,0.05496005269583283
23,1752800278,5.0,0.0,5.0,0.0,5.0,0.130491,0.102181,70.0,288.0,0.05718718344015732
24,1752800283,5.0,0.0,5.0,0.0,5.0,0.130491,0.102181,70.0,288.0,0.058095299452841066
25,1752800288,5.0,0.0,5.0,0.0,5.0,0.130491,0.102181,70.0,288.0,0.05365319297352835
26,1752800293,5.0,0.0,5.0,0.0,5.0,0.130491,0.102181,70.0,288.0,0.05735330816846875
27,1752800298,5.0,0.0,5.0,0.0,5.0,0.094948,0.085882,70.0,288.0,0.057258853693790954
28,1752800303,5.0,0.0,5.0,0.0,5.0,0.094948,0.085882,70.0,288.0,0.05573137349585778
29,1752800308,5.0,0.0,5.0,0.0,5.0,0.094948,0.085882,70.0,288.0,0.0578618817405621
30,1752800313,5.0,0.0,5.0,0.0,5.0,0.094948,0.085882,70.0,288.0,0.05830224099149826
31,1752800318,5.0,0.0,5.0,0.0,5.0,0.094948,0.085882,70.0,288.0,0.05696756974828056
32,1752800323,5.0,0.0,5.0,0.0,5.0,0.094948,0.085882,70.0,288.0,0.056961510143653936
33,1752800328,5.0,0.0,5.0,0.0,5.0,0.098156,0.088221,70.0,288.0,0.058052794835186154
34,1752800333,5.0,0.0,5.0,0.0,5.0,0.098156,0.088221,70.0,288.0,0.058052794835186154
35,1752800338,5.0,0.0,5.0,0.0,5.0,0.098156,0.088221,70.0,288.0,0.059271476336670605
36,1752800343,5.0,0.0,5.0,0.0,5.0,0.098156,0.088221,70.0,288.0,0.05382358620813242
37,1752800348,5.0,0.0,5.0,0.0,5.0,0.098156,0.088221,70.0,288.0,0.05704227106047946
38,1752800353,5.0,0.0,5.0,0.0,5.0,0.098156,0.088221,70.0,288.0,0.05434703015139102
39,1752800358,5.0,0.0,5.0,0.0,5.0,0.090873,0.070597,70.0,288.0,0.05391179415285328
40,1752800363,5.0,0.0,5.0,0.0,5.0,0.090873,0.070597,70.0,288.0,0.05321342863892874
41,1752800368,5.0,0.0,5.0,0.0,5.0,0.090873,0.070597,70.0,288.0,0.05283260947472737
