,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752802103,5.0,0.0,5.0,23.24933106434614,5.0,3.496671,0.133906,7.0,-162.0,0.03083681943626405
1,1752802108,5.0,0.0,5.0,0.08144302429978757,5.0,3.496671,0.133906,7.0,-162.0,0.03160057969434821
2,1752802113,5.0,0.0,5.0,0.08144302429978757,5.0,3.496671,0.133906,7.0,-162.0,0.03439268623069203
3,1752802118,5.0,0.0,5.0,0.08144302429978757,5.0,3.496671,0.133906,7.0,-162.0,0.035691381257496116
4,1752802123,5.0,0.0,5.0,0.08144302429978757,5.0,3.496671,0.133906,7.0,-162.0,0.03951879907476155
5,1752802128,5.0,0.0,5.0,0.08144302429978757,5.0,1.636273,0.111922,7.0,-162.0,0.04010661814414168
6,1752802133,5.0,0.0,5.0,0.08144302429978757,5.0,1.636273,0.111922,7.0,-162.0,0.027868847733097207
7,1752802138,5.0,0.0,5.0,0.08439305663006788,5.0,1.636273,0.111922,7.0,-162.0,0.022551562229198102
8,1752802143,5.0,0.0,5.0,0.08439305663006788,5.0,1.636273,0.111922,7.0,-162.0,0.025882306041521006
9,1752802148,5.0,0.0,5.0,0.08439305663006788,5.0,1.636273,0.111922,7.0,-162.0,0.028449766465133905
10,1752802153,5.0,0.0,5.0,0.08439305663006788,5.0,1.636273,0.111922,7.0,-162.0,0.02871397729608146
11,1752802158,5.0,0.0,5.0,0.08439305663006788,5.0,0.091756,0.146961,7.0,-162.0,0.03125410566588066
12,1752802163,5.0,0.0,5.0,0.08439305663006788,5.0,0.091756,0.146961,7.0,-162.0,0.031015074284891253
13,1752802168,5.0,0.0,5.0,0.02792292582527733,5.0,0.091756,0.146961,7.0,-162.0,0.031119031391681717
14,1752802173,5.0,0.0,5.0,0.02792292582527733,5.0,0.091756,0.146961,7.0,-162.0,0.03100985777733589
15,1752802178,5.0,0.0,5.0,0.02792292582527733,5.0,0.091756,0.146961,7.0,-162.0,0.031155858619499478
16,1752802183,5.0,0.0,5.0,0.02792292582527733,5.0,0.091756,0.146961,7.0,-162.0,0.031155858619499478
17,1752802188,5.0,0.0,5.0,0.02792292582527733,5.0,0.098073,0.16769,7.0,-162.0,0.03226988785118243
18,1752802193,5.0,0.0,5.0,0.02792292582527733,5.0,0.098073,0.16769,7.0,-162.0,0.03218427700283948
19,1752802198,5.0,0.0,5.0,0.19603220295169554,5.0,0.098073,0.16769,7.0,-162.0,0.03231904626081234
20,1752802203,5.0,0.0,5.0,0.19603220295169554,5.0,0.098073,0.16769,7.0,-162.0,0.027700606458055874
21,1752802208,5.0,0.0,5.0,0.19603220295169554,5.0,0.098073,0.16769,7.0,-162.0,0.03786872868718027
22,1752802213,5.0,0.0,5.0,0.19603220295169554,5.0,0.098073,0.16769,7.0,-162.0,0.03795317153746163
23,1752802218,5.0,0.0,5.0,0.19603220295169554,5.0,0.183216,0.256272,7.0,-162.0,0.043371039915220094
24,1752802223,5.0,0.0,5.0,0.19603220295169554,5.0,0.183216,0.256272,7.0,-162.0,0.05008503942053699
