,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752806703,5.0,0.0,2.0,0.0,5.0,2.229468,0.088129,70.0,-12.0,0.05096240467636174
1,1752806708,5.0,0.0,2.0,0.0,5.0,2.229468,0.088129,70.0,-12.0,0.04211906648001005
2,1752806713,5.0,0.0,2.0,0.0,5.0,2.229468,0.088129,70.0,-12.0,0.04854186927490029
3,1752806718,5.0,0.0,5.0,0.0,5.0,0.674037,0.031804,70.0,288.0,0.04828480551882309
4,1752806723,5.0,0.0,5.0,0.0,5.0,0.674037,0.031804,70.0,288.0,0.051436406379760574
5,1752806728,5.0,0.0,5.0,0.0,5.0,0.674037,0.031804,70.0,288.0,0.05274798710380348
6,1752806733,5.0,0.0,5.0,0.0,5.0,0.674037,0.031804,70.0,288.0,0.05142236784004652
7,1752806738,5.0,0.0,5.0,0.0,5.0,0.674037,0.031804,70.0,288.0,0.02221516427793282
8,1752806743,5.0,0.0,5.0,0.0,5.0,0.674037,0.031804,70.0,288.0,0.022041957692245817
9,1752806748,5.0,0.0,5.0,0.0,5.0,0.039568,0.048899,70.0,288.0,0.01935785767287928
10,1752806753,5.0,0.0,5.0,0.0,5.0,0.039568,0.048899,70.0,288.0,0.02059438610492911
11,1752806758,5.0,0.0,5.0,0.0,5.0,0.039568,0.048899,70.0,288.0,0.021147352236012048
12,1752806763,5.0,0.0,5.0,0.0,5.0,0.039568,0.048899,70.0,288.0,0.019637844416710397
13,1752806768,5.0,0.0,5.0,0.0,5.0,0.039568,0.048899,70.0,288.0,0.021081501798116336
14,1752806773,5.0,0.0,5.0,0.0,5.0,0.039568,0.048899,70.0,288.0,0.022977558094648437
15,1752806778,5.0,0.0,5.0,0.0,5.0,0.038593,0.045501,70.0,288.0,0.024167481195406907
16,1752806783,5.0,0.0,5.0,0.0,5.0,0.038593,0.045501,70.0,288.0,0.024852915583016118
17,1752806788,5.0,0.0,5.0,0.0,5.0,0.038593,0.045501,70.0,288.0,0.0251013193209601
18,1752806793,5.0,0.0,5.0,0.0,5.0,0.038593,0.045501,70.0,288.0,0.0247793714612096
19,1752806798,5.0,0.0,5.0,0.0,5.0,0.038593,0.045501,70.0,288.0,0.023458549763691713
20,1752806803,5.0,0.0,5.0,0.0,5.0,0.038593,0.045501,70.0,288.0,0.02457887789595915
21,1752806808,5.0,0.0,5.0,0.0,5.0,0.042937,0.059659,70.0,288.0,0.023596238605470686
22,1752806813,5.0,0.0,5.0,0.0,5.0,0.042937,0.059659,70.0,288.0,0.022714061539830133
23,1752806818,5.0,0.0,5.0,0.0,5.0,0.042937,0.059659,70.0,288.0,0.02399992979564522
24,1752806823,5.0,0.0,5.0,0.0,5.0,0.042937,0.059659,70.0,288.0,0.02387805638090789
25,1752806828,5.0,0.0,5.0,0.0,5.0,0.042937,0.059659,70.0,288.0,0.022991243873956308
26,1752806833,5.0,0.0,5.0,0.0,5.0,0.042937,0.059659,70.0,288.0,0.023014199150345725
