,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752807203,5.0,0.0,4.0,0.0,5.0,101.33656,171.461008,70.0,-83.0,0.006457349234543001
1,1752807208,5.0,0.0,4.0,0.0,5.0,101.33656,171.461008,70.0,-83.0,0.007503094645998793
2,1752807213,5.0,0.0,4.0,0.0,5.0,101.33656,171.461008,70.0,-83.0,0.011999489760537135
3,1752807218,5.0,0.0,4.0,0.0,5.0,101.33656,171.461008,70.0,-83.0,0.02000353141493787
4,1752807223,5.0,0.0,4.0,0.0,5.0,101.33656,171.461008,70.0,-83.0,0.022803131964648882
5,1752807228,5.0,0.0,5.0,0.0,5.0,32.29555,0.0874,70.0,288.0,0.023348097279142176
6,1752807233,5.0,0.0,5.0,0.0,5.0,32.29555,0.0874,70.0,288.0,0.026706697049087118
7,1752807238,5.0,0.0,5.0,0.0,5.0,32.29555,0.0874,70.0,288.0,0.0296438948687313
8,1752807243,5.0,0.0,5.0,0.0,5.0,32.29555,0.0874,70.0,288.0,0.032537812310889334
9,1752807248,5.0,0.0,5.0,0.0,5.0,32.29555,0.0874,70.0,288.0,0.03524325293253475
10,1752807253,5.0,0.0,5.0,0.0,5.0,32.29555,0.0874,70.0,288.0,0.03665028920627654
11,1752807258,5.0,0.0,5.0,0.0,5.0,0.071862,0.021489,70.0,288.0,0.033254457258839736
12,1752807263,5.0,0.0,5.0,0.0,5.0,0.071862,0.021489,70.0,288.0,0.03022196057919481
13,1752807268,5.0,0.0,5.0,0.0,5.0,0.071862,0.021489,70.0,288.0,0.029868834422475024
14,1752807273,5.0,0.0,5.0,0.0,5.0,0.071862,0.021489,70.0,288.0,0.030078506063859478
15,1752807278,5.0,0.0,5.0,0.0,5.0,0.071862,0.021489,70.0,288.0,0.033095337606788004
16,1752807283,5.0,0.0,5.0,0.0,5.0,0.071862,0.021489,70.0,288.0,0.03542577025348573
17,1752807288,5.0,0.0,5.0,0.0,5.0,0.083454,0.109318,70.0,288.0,0.03645962371960118
18,1752807293,5.0,0.0,5.0,0.0,5.0,0.083454,0.109318,70.0,288.0,0.033914531735681035
19,1752807298,5.0,0.0,5.0,0.0,5.0,0.083454,0.109318,70.0,288.0,0.039206621719576784
20,1752807303,5.0,0.0,5.0,0.0,5.0,0.083454,0.109318,70.0,288.0,0.03836762885638803
21,1752807308,5.0,0.0,5.0,0.0,5.0,0.083454,0.109318,70.0,288.0,0.039829321105699596
22,1752807313,5.0,0.0,5.0,0.0,5.0,0.083454,0.109318,70.0,288.0,0.042665882980208514
23,1752807318,5.0,0.0,5.0,0.0,5.0,0.087155,0.113267,70.0,288.0,0.04102388339426567
24,1752807323,5.0,0.0,5.0,0.0,5.0,0.087155,0.113267,70.0,288.0,0.0439810814826425
25,1752807328,5.0,0.0,5.0,0.0,5.0,0.087155,0.113267,70.0,288.0,0.043902519909779114
26,1752807333,5.0,0.0,5.0,0.0,5.0,0.087155,0.113267,70.0,288.0,0.04617628980803505
