,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752807737,5.0,0.0,5.0,0.0,5.0,2.661821,0.266457,70.0,288.0,0.029000495030795027
1,1752807742,5.0,0.0,5.0,0.0,5.0,2.661821,0.266457,70.0,288.0,0.02713727764227873
2,1752807747,5.0,0.0,5.0,0.0,5.0,2.661821,0.266457,70.0,288.0,0.039556444632136825
3,1752807752,5.0,0.0,5.0,0.0,5.0,2.661821,0.266457,70.0,288.0,0.046247878649145605
4,1752807757,5.0,0.0,5.0,0.0,5.0,2.661821,0.266457,70.0,288.0,0.04875822739865466
5,1752807762,5.0,0.0,5.0,0.0,5.0,2.661821,0.266457,70.0,288.0,0.0812667102711399
6,1752807767,5.0,0.0,5.0,0.0,5.0,1.221365,0.53178,70.0,288.0,0.09525518188872717
7,1752807772,5.0,0.0,5.0,0.0,5.0,1.221365,0.53178,70.0,288.0,0.10466443133813147
8,1752807777,5.0,0.0,5.0,0.0,5.0,1.221365,0.53178,70.0,288.0,0.12102031230566081
9,1752807782,5.0,0.0,5.0,0.0,5.0,1.221365,0.53178,70.0,288.0,0.13452672591282133
10,1752807787,5.0,0.0,5.0,0.0,5.0,1.221365,0.53178,70.0,288.0,0.13521617556144971
11,1752807792,5.0,0.0,5.0,0.0,5.0,1.221365,0.53178,70.0,288.0,0.14787428795469498
12,1752807797,5.0,0.0,5.0,0.0,5.0,0.446816,0.389324,70.0,288.0,0.1501720186157393
13,1752807802,5.0,0.0,5.0,0.0,5.0,0.446816,0.389324,70.0,288.0,0.14289448857475587
14,1752807807,5.0,0.0,5.0,0.0,5.0,0.446816,0.389324,70.0,288.0,0.1451711984065963
15,1752807812,5.0,0.0,5.0,0.0,5.0,0.446816,0.389324,70.0,288.0,0.14879459404679257
16,1752807817,5.0,0.0,5.0,0.0,5.0,0.446816,0.389324,70.0,288.0,0.15752895713341816
17,1752807822,5.0,0.0,5.0,0.0,5.0,0.446816,0.389324,70.0,288.0,0.1617973564391825
18,1752807827,5.0,0.0,5.0,0.0,5.0,0.621601,1.048896,70.0,287.0,0.16222003051822995
19,1752807832,5.0,0.0,5.0,0.0,5.0,0.621601,1.048896,70.0,287.0,0.16506765493179495
20,1752807837,5.0,0.0,5.0,0.0,5.0,0.621601,1.048896,70.0,287.0,0.1786435302338264
21,1752807842,5.0,0.0,5.0,0.0,5.0,0.621601,1.048896,70.0,287.0,0.1994052051955055
22,1752807847,5.0,0.0,5.0,0.0,5.0,0.621601,1.048896,70.0,287.0,0.1914284761288458
23,1752807852,5.0,0.0,5.0,0.0,5.0,0.621601,1.048896,70.0,287.0,0.2099013844970239
24,1752807857,5.0,0.0,5.0,0.0,5.0,0.797105,0.756673,70.0,288.0,0.20696360513948003
25,1752807862,5.0,0.0,5.0,0.0,5.0,0.797105,0.756673,70.0,288.0,0.21210763319736656
26,1752807867,5.0,0.0,5.0,0.0,5.0,0.797105,0.756673,70.0,288.0,0.18323700387063782
27,1752807872,5.0,0.0,5.0,0.0,5.0,0.797105,0.756673,70.0,288.0,0.18176428682236553
28,1752807877,5.0,0.0,5.0,0.0,5.0,0.797105,0.756673,70.0,288.0,0.16245603280632148
29,1752807882,5.0,0.0,5.0,0.0,5.0,0.797105,0.756673,70.0,288.0,0.1498366130607797
30,1752807887,5.0,0.0,5.0,0.0,5.0,0.577733,0.308358,70.0,288.0,0.13215080396735965
31,1752807892,5.0,0.0,5.0,0.0,5.0,0.577733,0.308358,70.0,288.0,0.096171634809052
32,1752807897,5.0,0.0,5.0,0.0,5.0,0.577733,0.308358,70.0,288.0,0.09029095409955193
33,1752807902,5.0,0.0,5.0,0.0,5.0,0.577733,0.308358,70.0,288.0,0.06518058110104967
34,1752807907,5.0,0.0,5.0,0.0,5.0,0.577733,0.308358,70.0,288.0,0.050369410576317636
35,1752807912,5.0,0.0,5.0,0.0,5.0,0.577733,0.308358,70.0,288.0,0.04600704551091117
36,1752807917,5.0,0.0,5.0,0.0,5.0,0.444598,0.564015,70.0,288.0,0.041005314975065016
