,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752807737,5.0,0.0,5.0,0.0,5.0,0.543302,0.203405,70.0,288.0,0.13908377125107088
1,1752807742,5.0,0.0,5.0,0.0,5.0,0.543302,0.203405,70.0,288.0,0.1969349809324438
2,1752807747,5.0,0.0,5.0,0.0,5.0,0.543302,0.203405,70.0,288.0,0.15173240016022482
3,1752807752,5.0,0.0,5.0,0.0,5.0,0.543302,0.203405,70.0,288.0,0.12364639739615906
4,1752807757,5.0,0.0,5.0,0.0,5.0,0.543302,0.203405,70.0,288.0,0.13472045428811347
5,1752807762,5.0,0.0,5.0,0.0,5.0,0.543302,0.203405,70.0,288.0,0.14491161293003907
6,1752807767,5.0,0.0,5.0,0.0,5.0,0.197953,0.005232,70.0,288.0,0.14582011145800902
7,1752807772,5.0,0.0,5.0,0.0,5.0,0.197953,0.005232,70.0,288.0,0.12820232202993886
8,1752807777,5.0,0.0,5.0,0.0,5.0,0.197953,0.005232,70.0,288.0,0.1326123505848906
9,1752807782,5.0,0.0,5.0,0.0,5.0,0.197953,0.005232,70.0,288.0,0.004282738172891668
10,1752807787,5.0,0.0,5.0,0.0,5.0,0.197953,0.005232,70.0,288.0,0.0043260014127157066
11,1752807792,5.0,0.0,5.0,0.0,5.0,0.197953,0.005232,70.0,288.0,0.0040078603582979835
12,1752807797,5.0,0.0,5.0,0.0,5.0,0.00265,0.002723,70.0,288.0,0.004138441529943628
13,1752807802,5.0,0.0,5.0,0.0,5.0,0.00265,0.002723,70.0,288.0,0.0038792734996235213
14,1752807807,5.0,0.0,5.0,0.0,5.0,0.00265,0.002723,70.0,288.0,0.003913433989520758
15,1752807812,5.0,0.0,5.0,0.0,5.0,0.00265,0.002723,70.0,288.0,0.003618892967739167
