,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752808279,5.0,0.0,5.0,0.46213057497072807,5.0,3.0689,0.565964,70.0,288.0,0.07301068211730066
1,1752808284,5.0,0.0,5.0,0.46213057497072807,5.0,3.0689,0.565964,70.0,288.0,0.0971907762003087
2,1752808289,5.0,0.0,5.0,0.0,5.0,3.0689,0.565964,70.0,288.0,0.0958942321026994
3,1752808294,5.0,0.0,5.0,0.0,5.0,3.0689,0.565964,70.0,288.0,0.12167863427071936
4,1752808299,5.0,0.0,5.0,0.0,5.0,3.0689,0.565964,70.0,288.0,0.14207961069558164
5,1752808304,5.0,0.0,5.0,0.0,5.0,3.0689,0.565964,70.0,288.0,0.1579378545590201
6,1752808309,5.0,0.0,5.0,0.0,5.0,1.736679,0.537691,70.0,288.0,0.15040201404259196
7,1752808314,5.0,0.0,5.0,0.0,5.0,1.736679,0.537691,70.0,288.0,0.1627876294302926
8,1752808319,5.0,0.0,5.0,0.0,5.0,1.736679,0.537691,70.0,288.0,0.1699952118135929
9,1752808324,5.0,0.0,5.0,0.0,5.0,1.736679,0.537691,70.0,288.0,0.1740443201262767
10,1752808329,5.0,0.0,5.0,0.0,5.0,1.736679,0.537691,70.0,288.0,0.18091748833547444
11,1752808334,5.0,0.0,5.0,0.0,5.0,1.736679,0.537691,70.0,288.0,0.16049294384724339
12,1752808339,5.0,0.0,5.0,0.0,5.0,0.531514,0.473042,70.0,288.0,0.18023624252088696
13,1752808344,5.0,0.0,5.0,0.0,5.0,0.531514,0.473042,70.0,288.0,0.17853312843957786
14,1752808349,5.0,0.0,5.0,0.0,5.0,0.531514,0.473042,70.0,288.0,0.17476026038154327
15,1752808354,5.0,0.0,5.0,0.0,5.0,0.531514,0.473042,70.0,288.0,0.15992923254024305
16,1752808359,5.0,0.0,5.0,0.0,5.0,0.531514,0.473042,70.0,288.0,0.158423095881432
17,1752808364,5.0,0.0,5.0,0.0,5.0,0.531514,0.473042,70.0,288.0,0.1334899581617074
18,1752808369,5.0,0.0,5.0,0.0,5.0,0.432796,0.225238,70.0,288.0,0.12534710808787686
19,1752808374,5.0,0.0,5.0,0.0,5.0,0.432796,0.225238,70.0,288.0,0.11055005757501032
20,1752808379,5.0,0.0,5.0,0.0,5.0,0.432796,0.225238,70.0,288.0,0.11029698555032018
21,1752808384,5.0,0.0,5.0,0.0,5.0,0.432796,0.225238,70.0,288.0,0.10331061999449956
22,1752808389,5.0,0.0,5.0,0.0,5.0,0.432796,0.225238,70.0,288.0,0.13473749888184194
23,1752808394,5.0,0.0,5.0,0.0,5.0,0.432796,0.225238,70.0,288.0,0.1374366716375372
24,1752808399,5.0,0.0,5.0,0.0,5.0,0.569904,0.809664,70.0,288.0,0.15584619860995602
25,1752808404,5.0,0.0,5.0,0.0,5.0,0.569904,0.809664,70.0,288.0,0.1561189969541566
26,1752808409,5.0,0.0,5.0,0.0,5.0,0.569904,0.809664,70.0,288.0,0.1845859527379895
27,1752808414,5.0,0.0,5.0,0.0,5.0,0.569904,0.809664,70.0,288.0,0.22605854786372181
28,1752808419,5.0,0.0,5.0,0.0,5.0,0.569904,0.809664,70.0,288.0,0.22605854786372181
29,1752808424,5.0,0.0,5.0,0.0,5.0,0.569904,0.809664,70.0,288.0,0.23820398518191227
30,1752808429,5.0,0.0,5.0,0.0,5.0,1.135306,0.843481,70.0,288.0,0.2338920137944442
31,1752808434,5.0,0.0,5.0,0.0,5.0,1.135306,0.843481,70.0,288.0,0.24163139017496743
32,1752808439,5.0,0.0,5.0,0.0,5.0,1.135306,0.843481,70.0,288.0,0.23939670864628984
33,1752808444,5.0,0.0,5.0,0.0,5.0,1.135306,0.843481,70.0,288.0,0.22276080563679476
34,1752808449,5.0,0.0,5.0,0.0,5.0,1.135306,0.843481,70.0,288.0,0.20889703821725614
35,1752808454,5.0,0.0,5.0,0.0,5.0,1.135306,0.843481,70.0,288.0,0.21736026237749798
36,1752808459,5.0,0.0,5.0,0.0,5.0,1.105057,0.998178,70.0,288.0,0.20370015578846412
37,1752808464,5.0,0.0,5.0,0.0,5.0,1.105057,0.998178,70.0,288.0,0.2198387563222274
38,1752808469,5.0,0.0,5.0,0.0,5.0,1.105057,0.998178,70.0,288.0,0.2107229584071372
39,1752808474,5.0,0.0,5.0,0.0,5.0,1.105057,0.998178,70.0,288.0,0.20591330197464397
40,1752808479,5.0,0.0,5.0,0.0,5.0,1.105057,0.998178,70.0,288.0,0.2071640394583973
41,1752808484,5.0,0.0,5.0,0.0,5.0,1.105057,0.998178,70.0,288.0,0.21418381520561092
42,1752808489,5.0,0.0,5.0,0.0,5.0,0.720123,0.759786,70.0,288.0,0.21904738973164525
43,1752808494,5.0,0.0,5.0,0.0,5.0,0.720123,0.759786,70.0,288.0,0.2323845664790603
44,1752808499,5.0,0.0,5.0,0.0,5.0,0.720123,0.759786,70.0,288.0,0.22652719965016446
45,1752808504,5.0,0.0,5.0,0.0,5.0,0.720123,0.759786,70.0,288.0,0.2125230920166127
46,1752808509,5.0,0.0,5.0,0.0,5.0,0.720123,0.759786,70.0,288.0,0.22738573335902162
47,1752808514,5.0,0.0,5.0,0.0,5.0,0.720123,0.759786,70.0,288.0,0.22490152762571458
48,1752808519,5.0,0.0,5.0,0.0,5.0,0.787346,0.802326,70.0,288.0,0.23723098971737433
49,1752808524,5.0,0.0,5.0,0.0,5.0,0.787346,0.802326,70.0,288.0,0.23029412138753694
50,1752808529,5.0,0.0,5.0,0.0,5.0,0.787346,0.802326,70.0,288.0,0.22319507348698733
51,1752808534,5.0,0.0,5.0,0.0,5.0,0.787346,0.802326,70.0,288.0,0.20495776531644572
52,1752808539,5.0,0.0,5.0,0.0,5.0,0.787346,0.802326,70.0,288.0,0.19490030235224656
53,1752808544,5.0,0.0,5.0,0.0,5.0,0.787346,0.802326,70.0,288.0,0.17737915740700338
54,1752808549,5.0,0.0,5.0,0.0,5.0,0.646262,0.327365,70.0,288.0,0.15541335160293981
55,1752808554,5.0,0.0,5.0,0.0,5.0,0.646262,0.327365,70.0,288.0,0.1357203357618437
56,1752808559,5.0,0.0,5.0,0.0,5.0,0.646262,0.327365,70.0,288.0,0.1258167830757025
57,1752808564,5.0,0.0,5.0,0.0,5.0,0.646262,0.327365,70.0,288.0,0.10373032126862264
58,1752808569,5.0,0.0,5.0,0.0,5.0,0.646262,0.327365,70.0,288.0,0.08940325548908822
59,1752808574,5.0,0.0,5.0,0.0,5.0,0.646262,0.327365,70.0,288.0,0.071670821774214
60,1752808579,5.0,0.0,5.0,0.0,5.0,0.445932,0.215008,70.0,288.0,0.06362993084315162
