,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752809397,5.0,0.0,3.0,0.0,5.0,35.510237,0.148285,70.0,-112.0,0.03708246542776675
1,1752809402,5.0,0.0,3.0,0.0,5.0,35.510237,0.148285,70.0,-112.0,0.04226011721281195
2,1752809407,5.0,0.0,3.0,0.0,5.0,35.510237,0.148285,70.0,-112.0,0.049569616929245254
3,1752809412,5.0,0.0,3.0,0.0,5.0,35.510237,0.148285,70.0,-112.0,0.04584176327690868
4,1752809417,5.0,0.0,5.0,0.0,5.0,9.589803,0.058251,70.0,288.0,0.05125112816454479
5,1752809422,5.0,0.0,5.0,0.0,5.0,9.589803,0.058251,70.0,288.0,0.055783345545172405
6,1752809427,5.0,0.0,5.0,0.0,5.0,9.589803,0.058251,70.0,288.0,0.060437674343229456
7,1752809432,5.0,0.0,5.0,0.0,5.0,9.589803,0.058251,70.0,288.0,0.0633874170457849
8,1752809437,5.0,0.0,5.0,0.0,5.0,9.589803,0.058251,70.0,288.0,0.04868982885650138
9,1752809442,5.0,0.0,5.0,0.0,5.0,9.589803,0.058251,70.0,288.0,0.05136419224737711
10,1752809447,5.0,0.0,5.0,0.0,5.0,0.091121,0.100266,70.0,288.0,0.053759008592948215
11,1752809452,5.0,0.0,5.0,0.0,5.0,0.091121,0.100266,70.0,288.0,0.05577821110218832
12,1752809457,5.0,0.0,5.0,0.0,5.0,0.091121,0.100266,70.0,288.0,0.05884557298757986
13,1752809462,5.0,0.0,5.0,0.0,5.0,0.091121,0.100266,70.0,288.0,0.060541489185542016
14,1752809467,5.0,0.0,5.0,0.0,5.0,0.091121,0.100266,70.0,288.0,0.060940003140374364
15,1752809472,5.0,0.0,5.0,0.0,5.0,0.091121,0.100266,70.0,288.0,0.06157599153698492
16,1752809477,5.0,0.0,5.0,0.0,5.0,0.09511,0.063665,70.0,288.0,0.05927169346131925
17,1752809482,5.0,0.0,5.0,0.0,5.0,0.09511,0.063665,70.0,288.0,0.060724658559318856
18,1752809487,5.0,0.0,5.0,0.0,5.0,0.09511,0.063665,70.0,288.0,0.06035957112131023
19,1752809492,5.0,0.0,5.0,0.0,5.0,0.09511,0.063665,70.0,288.0,0.05788605282771719
20,1752809497,5.0,0.0,5.0,0.0,5.0,0.09511,0.063665,70.0,288.0,0.055161771292312825
21,1752809502,5.0,0.0,5.0,0.0,5.0,0.09511,0.063665,70.0,288.0,0.056662919757114204
22,1752809507,5.0,0.0,5.0,0.0,5.0,0.093701,0.144231,70.0,288.0,0.055615487731985505
23,1752809512,5.0,0.0,5.0,0.0,5.0,0.093701,0.144231,70.0,288.0,0.06366502638523322
24,1752809517,5.0,0.0,5.0,0.0,5.0,0.093701,0.144231,70.0,288.0,0.06425554869748039
25,1752809522,5.0,0.0,5.0,0.0,5.0,0.093701,0.144231,70.0,288.0,0.06447679903950063
26,1752809527,5.0,0.0,5.0,0.0,5.0,0.093701,0.144231,70.0,288.0,0.06536890817817145
27,1752809532,5.0,0.0,5.0,0.0,5.0,0.093701,0.144231,70.0,288.0,0.0696515657479109
28,1752809537,5.0,0.0,5.0,0.0,5.0,0.102743,0.104568,70.0,288.0,0.07187963647157214
29,1752809542,5.0,0.0,5.0,0.0,5.0,0.102743,0.104568,70.0,288.0,0.07387328895853437
30,1752809547,5.0,0.0,5.0,0.0,5.0,0.102743,0.104568,70.0,288.0,0.07313617180854495
31,1752809552,5.0,0.0,5.0,0.0,5.0,0.102743,0.104568,70.0,288.0,0.07081168995076546
32,1752809557,5.0,0.0,5.0,0.0,5.0,0.102743,0.104568,70.0,288.0,0.06872450036381683
33,1752809562,5.0,0.0,5.0,0.0,5.0,0.102743,0.104568,70.0,288.0,0.06952776639284036
34,1752809567,5.0,0.0,5.0,0.0,5.0,0.108189,0.131977,70.0,288.0,0.0710656922503201
35,1752809572,5.0,0.0,5.0,0.0,5.0,0.108189,0.131977,70.0,288.0,0.06781326232459903
36,1752809577,5.0,0.0,5.0,0.0,5.0,0.108189,0.131977,70.0,288.0,0.07191704158305881
37,1752809582,5.0,0.0,5.0,0.0,5.0,0.108189,0.131977,70.0,288.0,0.07519448122130257
38,1752809587,5.0,0.0,5.0,0.0,5.0,0.108189,0.131977,70.0,288.0,0.07494351993118581
39,1752809592,5.0,0.0,5.0,0.0,5.0,0.108189,0.131977,70.0,288.0,0.07632666750966799
40,1752809597,5.0,0.0,5.0,0.0,5.0,0.118116,0.120663,70.0,288.0,0.0758892283794352
41,1752809602,5.0,0.0,5.0,0.0,5.0,0.118116,0.120663,70.0,288.0,0.07459747240635549
