,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752809863,0.0,0.0,0.0,0.03650671783911711,0.0,0.0,0.0,70.0,-211.0,0.05751577667687654
1,1752809868,5.0,0.0,5.0,0.03650671783911711,5.0,3.246965,0.083383,70.0,288.0,0.057138944394432026
2,1752809873,5.0,0.0,5.0,0.03650671783911711,5.0,3.246965,0.083383,70.0,288.0,0.057697129836619385
3,1752809878,5.0,0.0,5.0,0.0,5.0,3.246965,0.083383,70.0,288.0,0.05422648267024412
4,1752809883,5.0,0.0,5.0,0.0,5.0,3.246965,0.083383,70.0,288.0,0.054343823547580494
5,1752809888,5.0,0.0,5.0,0.0,5.0,3.246965,0.083383,70.0,288.0,0.05707075476757043
6,1752809893,5.0,0.0,5.0,0.0,5.0,3.246965,0.083383,70.0,288.0,0.06030607476819291
7,1752809898,5.0,0.0,5.0,0.0,5.0,1.586597,0.028646,70.0,288.0,0.06107941527988421
8,1752809903,5.0,0.0,5.0,0.0,5.0,1.586597,0.028646,70.0,288.0,0.027771292125136286
9,1752809908,5.0,0.0,5.0,0.0,5.0,1.586597,0.028646,70.0,288.0,0.027771292125136286
10,1752809913,5.0,0.0,5.0,0.0,5.0,1.586597,0.028646,70.0,288.0,0.022791008247217085
11,1752809918,5.0,0.0,5.0,0.0,5.0,1.586597,0.028646,70.0,288.0,0.022165323838666356
12,1752809923,5.0,0.0,5.0,0.0,5.0,1.586597,0.028646,70.0,288.0,0.02101984425916334
13,1752809928,5.0,0.0,5.0,0.0,5.0,0.035754,0.032239,70.0,288.0,0.021778369355784175
14,1752809933,5.0,0.0,5.0,0.0,5.0,0.035754,0.032239,70.0,288.0,0.0212402076063778
15,1752809938,5.0,0.0,5.0,0.0,5.0,0.035754,0.032239,70.0,288.0,0.022433052326340873
16,1752809943,5.0,0.0,5.0,0.0,5.0,0.035754,0.032239,70.0,288.0,0.020574349831731672
17,1752809948,5.0,0.0,5.0,0.0,5.0,0.035754,0.032239,70.0,288.0,0.02156074227864185
18,1752809953,5.0,0.0,5.0,0.0,5.0,0.035754,0.032239,70.0,288.0,0.022953805252910506
19,1752809958,5.0,0.0,5.0,0.0,5.0,0.036853,0.058253,70.0,288.0,0.024214865552739204
20,1752809963,5.0,0.0,5.0,0.0,5.0,0.036853,0.058253,70.0,288.0,0.026750499921726532
21,1752809968,5.0,0.0,5.0,0.0,5.0,0.036853,0.058253,70.0,288.0,0.02747457930105685
22,1752809973,5.0,0.0,5.0,0.0,5.0,0.036853,0.058253,70.0,288.0,0.028091337640444424
23,1752809978,5.0,0.0,5.0,0.0,5.0,0.036853,0.058253,70.0,288.0,0.026112347289020503
24,1752809983,5.0,0.0,5.0,0.0,5.0,0.036853,0.058253,70.0,288.0,0.031940606262530924
25,1752809988,5.0,0.0,5.0,0.0,5.0,0.045373,0.059942,70.0,288.0,0.032741559391793865
26,1752809993,5.0,0.0,5.0,0.0,5.0,0.045373,0.059942,70.0,288.0,0.03360244801541308
27,1752809998,5.0,0.0,5.0,0.0,5.0,0.045373,0.059942,70.0,288.0,0.03757465459228934
28,1752810003,5.0,0.0,5.0,0.0,5.0,0.045373,0.059942,70.0,288.0,0.03959430294345636
29,1752810008,5.0,0.0,5.0,0.0,5.0,0.045373,0.059942,70.0,288.0,0.03993104588756732
30,1752810013,5.0,0.0,5.0,0.0,5.0,0.045373,0.059942,70.0,288.0,0.041661872633655964
31,1752810018,5.0,0.0,5.0,0.0,5.0,0.056835,0.048901,70.0,288.0,0.0402813596789975
32,1752810023,5.0,0.0,5.0,0.0,5.0,0.056835,0.048901,70.0,288.0,0.042057103965150305
33,1752810028,5.0,0.0,5.0,0.0,5.0,0.056835,0.048901,70.0,288.0,0.042383228739239144
34,1752810033,5.0,0.0,5.0,0.0,5.0,0.056835,0.048901,70.0,288.0,0.0427212649334998
35,1752810038,5.0,0.0,5.0,0.0,5.0,0.056835,0.048901,70.0,288.0,0.04248427072498993
36,1752810043,5.0,0.0,5.0,0.0,5.0,0.056835,0.048901,70.0,288.0,0.04117645436689685
37,1752810048,5.0,0.0,5.0,0.0,5.0,0.066203,0.075579,70.0,288.0,0.04153721305304645
38,1752810053,5.0,0.0,5.0,0.0,5.0,0.066203,0.075579,70.0,288.0,0.04138778459898655
39,1752810058,5.0,0.0,5.0,0.0,5.0,0.066203,0.075579,70.0,288.0,0.038526278407978926
40,1752810063,5.0,0.0,5.0,0.0,5.0,0.066203,0.075579,70.0,288.0,0.04057782502513743
41,1752810068,5.0,0.0,5.0,0.0,5.0,0.066203,0.075579,70.0,288.0,0.039266196947319795
42,1752810073,5.0,0.0,5.0,0.0,5.0,0.066203,0.075579,70.0,288.0,0.03970897622938493
43,1752810078,5.0,0.0,5.0,0.0,5.0,0.065995,0.078321,70.0,288.0,0.04049451319271126
44,1752810083,5.0,0.0,5.0,0.0,5.0,0.065995,0.078321,70.0,288.0,0.03908787193668058
45,1752810088,5.0,0.0,5.0,0.0,5.0,0.065995,0.078321,70.0,288.0,0.040047824475491434
46,1752810093,5.0,0.0,5.0,0.0,5.0,0.065995,0.078321,70.0,288.0,0.03791180814796278
47,1752810098,5.0,0.0,5.0,0.0,5.0,0.065995,0.078321,70.0,288.0,0.04037024326557058
48,1752810103,5.0,0.0,5.0,0.0,5.0,0.065995,0.078321,70.0,288.0,0.041223958206541574
49,1752810108,5.0,0.0,5.0,0.0,5.0,0.064746,0.075773,70.0,288.0,0.04205131758625172
50,1752810113,5.0,0.0,5.0,0.0,5.0,0.064746,0.075773,70.0,288.0,0.03870079961501296
51,1752810118,5.0,0.0,5.0,0.0,5.0,0.064746,0.075773,70.0,288.0,0.04337579399866491
52,1752810123,5.0,0.0,5.0,0.0,5.0,0.064746,0.075773,70.0,288.0,0.042889121333593884
53,1752810128,5.0,0.0,5.0,0.0,5.0,0.064746,0.075773,70.0,288.0,0.04445841394160807
54,1752810133,5.0,0.0,5.0,0.0,5.0,0.064746,0.075773,70.0,288.0,0.04630145093356653
55,1752810138,5.0,0.0,5.0,0.0,5.0,0.073343,0.082465,70.0,288.0,0.04590327988341729
56,1752810143,5.0,0.0,5.0,0.0,5.0,0.073343,0.082465,70.0,288.0,0.04617972459634193
57,1752810148,5.0,0.0,5.0,0.0,5.0,0.073343,0.082465,70.0,288.0,0.04552270042974483
58,1752810153,5.0,0.0,5.0,0.0,5.0,0.073343,0.082465,70.0,288.0,0.04808867533619575
59,1752810158,5.0,0.0,5.0,0.0,5.0,0.073343,0.082465,70.0,288.0,0.04711231476844759
60,1752810163,5.0,0.0,5.0,0.0,5.0,0.073343,0.082465,70.0,288.0,0.04751252323511308
