,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752809863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,-211.0,0.002344467204301075
1,1752809868,5.0,0.0,5.0,0.0,5.0,31.5367,0.599745,140.0,788.0,0.004803048464123064
2,1752809873,5.0,0.0,5.0,0.0,5.0,31.5367,0.599745,140.0,788.0,0.011367490724294532
3,1752809878,5.0,0.0,5.0,0.0,5.0,31.5367,0.599745,140.0,788.0,0.014289499314826593
4,1752809883,5.0,0.0,5.0,0.0,5.0,31.5367,0.599745,140.0,788.0,0.017801881386515624
5,1752809888,5.0,0.0,5.0,0.0,5.0,31.5367,0.599745,140.0,788.0,0.020215621670516114
6,1752809893,5.0,0.0,5.0,0.0,5.0,31.5367,0.599745,140.0,788.0,0.01992798979819376
7,1752809898,5.0,0.0,5.0,0.0,5.0,11.185781,0.319676,140.0,788.0,0.02023321646896922
8,1752809903,5.0,0.0,5.0,0.0,5.0,11.185781,0.319676,140.0,788.0,0.019584549726332223
9,1752809908,5.0,0.0,5.0,0.0,5.0,11.185781,0.319676,140.0,788.0,0.02150532664128874
10,1752809913,5.0,0.0,5.0,0.0,5.0,11.185781,0.319676,140.0,788.0,0.022384374960950745
11,1752809918,5.0,0.0,5.0,0.0,5.0,11.185781,0.319676,140.0,788.0,0.030884322734203832
12,1752809923,5.0,0.0,5.0,0.0,5.0,11.185781,0.319676,140.0,788.0,0.05458208293080213
13,1752809928,5.0,0.0,5.0,0.0,5.0,0.324813,0.328494,140.0,788.0,0.056651118942776885
14,1752809933,5.0,0.0,5.0,0.0,5.0,0.324813,0.328494,140.0,788.0,0.05698346090219523
15,1752809938,5.0,0.0,5.0,0.0,5.0,0.324813,0.328494,140.0,788.0,0.05549865646100162
