,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752814414,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007729616636375163
1,1752814419,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007729616636375163
2,1752814424,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009375393252988721
3,1752814429,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009375393252988721
4,1752814434,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009231037691949743
5,1752814439,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007752319020206767
6,1752814444,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008179506402725565
7,1752814449,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007386067727913535
8,1752814454,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009113286713286716
9,1752814459,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009864858088456526
10,1752814464,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009864858088456526
11,1752814469,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0009225109181436607
12,1752814474,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008251629298684265
13,1752814479,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008251629298684265
14,1752814484,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.000840334503967869
15,1752814489,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.000840334503967869
16,1752814494,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008215492991040827
17,1752814499,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008215492991040827
18,1752814504,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008215492991040827
19,1752814509,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.000855231611120262
20,1752814514,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007653019920020931
21,1752814519,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.000757817666405053
22,1752814524,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008543957054086851
23,1752814529,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008348351250150985
24,1752814534,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008258209298757097
25,1752814539,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008258209298757097
26,1752814544,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008412250269170952
27,1752814549,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007222033692892557
28,1752814554,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008411501597444089
29,1752814559,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008411501597444089
30,1752814564,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008411501597444089
31,1752814569,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007189103794748274
32,1752814574,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008638179681657941
33,1752814579,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008638179681657941
34,1752814584,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008500799708460705
35,1752814589,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008500799708460705
36,1752814594,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008049652059432004
37,1752814599,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008000596201345711
38,1752814604,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008000596201345711
39,1752814609,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008000596201345711
40,1752814614,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0006516823860377225
41,1752814619,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007670310760198395
42,1752814624,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007682354310545516
43,1752814629,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007682354310545516
44,1752814634,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0007730971506318858
45,1752814639,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008103311735061198
46,1752814644,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008180157044792334
47,1752814649,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008180157044792334
48,1752814654,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0006986899358541708
49,1752814659,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008416056529882516
50,1752814664,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008416056529882516
51,1752814669,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008420920165106219
52,1752814674,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008597737879998316
53,1752814679,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008597737879998316
54,1752814684,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008444414613956193
55,1752814689,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008444414613956193
56,1752814694,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0008444414613956193
57,1752814699,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0005741999999999999
58,1752814704,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0006496336188436828
59,1752814709,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0005789698072805136
60,1752814714,1.0,0.0,1.0,0.0,0.0,0.0,28.0,-171.0,0.0005083059957173445
