,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752816453,5.0,0.0,2.0,0.0,5.0,0.016806,0.181818,140.0,188.0,0.008261698478607875
1,1752816458,5.0,0.0,2.0,0.0,5.0,0.016806,0.181818,140.0,188.0,0.00969734842856649
2,1752816463,5.0,0.0,2.0,0.0,5.0,0.016806,0.181818,140.0,188.0,0.009479970848986628
3,1752816468,5.0,0.0,5.0,0.0,5.0,0.049463,0.133997,140.0,788.0,0.010406338633764002
4,1752816473,5.0,0.0,5.0,0.0,5.0,0.049463,0.133997,140.0,788.0,0.010756806465964639
5,1752816478,5.0,0.0,5.0,0.0,5.0,0.049463,0.133997,140.0,788.0,0.012038093217109122
6,1752816483,5.0,0.0,5.0,0.0,5.0,0.049463,0.133997,140.0,788.0,0.013034107316343184
7,1752816488,5.0,0.0,5.0,0.0,5.0,0.049463,0.133997,140.0,788.0,0.012812554638956176
8,1752816493,5.0,0.0,5.0,0.0,5.0,0.049463,0.133997,140.0,788.0,0.011712714144814557
9,1752816498,5.0,0.0,5.0,0.0,5.0,0.146745,0.262077,140.0,788.0,0.011204895353539576
10,1752816503,5.0,0.0,5.0,0.0,5.0,0.146745,0.262077,140.0,788.0,0.010732757316774505
11,1752816508,5.0,0.0,5.0,0.0,5.0,0.146745,0.262077,140.0,788.0,0.010203922289129832
12,1752816513,5.0,0.0,5.0,0.0,5.0,0.146745,0.262077,140.0,788.0,0.011018259878461154
13,1752816518,5.0,0.0,5.0,0.0,5.0,0.146745,0.262077,140.0,788.0,0.01278179228407328
14,1752816523,5.0,0.0,5.0,0.0,5.0,0.146745,0.262077,140.0,788.0,0.012458150406140416
15,1752816528,5.0,0.0,5.0,0.0,5.0,0.273956,0.427428,140.0,788.0,0.012839844570144152
16,1752816533,5.0,0.0,5.0,0.0,5.0,0.273956,0.427428,140.0,788.0,0.012721793672607017
17,1752816538,5.0,0.0,5.0,0.0,5.0,0.273956,0.427428,140.0,788.0,0.012873035187819837
18,1752816543,5.0,0.0,5.0,0.0,5.0,0.273956,0.427428,140.0,788.0,0.011593419565409716
19,1752816548,5.0,0.0,5.0,0.0,5.0,0.273956,0.427428,140.0,788.0,0.01276918277693341
20,1752816553,5.0,0.0,5.0,0.0,5.0,0.273956,0.427428,140.0,788.0,0.012058521266888694
21,1752816558,5.0,0.0,5.0,0.0,5.0,0.335336,0.256423,140.0,788.0,0.010800791362118464
22,1752816563,5.0,0.0,5.0,0.0,5.0,0.335336,0.256423,140.0,788.0,0.010912871549692104
23,1752816568,5.0,0.0,5.0,0.0,5.0,0.335336,0.256423,140.0,788.0,0.010476930532865913
24,1752816573,5.0,0.0,5.0,0.0,5.0,0.335336,0.256423,140.0,788.0,0.009790843367473072
25,1752816578,5.0,0.0,5.0,0.0,5.0,0.335336,0.256423,140.0,788.0,0.009509419378238067
26,1752816583,5.0,0.0,5.0,0.0,5.0,0.335336,0.256423,140.0,788.0,0.009566625411516096
27,1752816588,5.0,0.0,5.0,0.0,5.0,0.418211,0.869637,140.0,788.0,0.009170040050194526
28,1752816593,5.0,0.0,5.0,0.0,5.0,0.418211,0.869637,140.0,788.0,0.00983480840985194
29,1752816598,5.0,0.0,5.0,0.0,5.0,0.418211,0.869637,140.0,788.0,0.009722145772247899
30,1752816603,5.0,0.0,5.0,0.0,5.0,0.418211,0.869637,140.0,788.0,0.009850017313669775
31,1752816608,5.0,0.0,5.0,0.0,5.0,0.418211,0.869637,140.0,788.0,0.009867575056989498
32,1752816613,5.0,0.0,5.0,0.0,5.0,0.418211,0.869637,140.0,788.0,0.00999356108532001
33,1752816618,5.0,0.0,5.0,0.0,5.0,0.397017,0.307317,140.0,788.0,0.009685481690079593
34,1752816623,5.0,0.0,5.0,0.0,5.0,0.397017,0.307317,140.0,788.0,0.010323548775737913
35,1752816628,5.0,0.0,5.0,0.0,5.0,0.397017,0.307317,140.0,788.0,0.010024844657854939
36,1752816633,5.0,0.0,5.0,0.0,5.0,0.397017,0.307317,140.0,788.0,0.010313522041534011
37,1752816638,5.0,0.0,5.0,0.0,5.0,0.397017,0.307317,140.0,788.0,0.009737403896567751
38,1752816643,5.0,0.0,5.0,0.0,5.0,0.397017,0.307317,140.0,788.0,0.009273082974223279
39,1752816648,5.0,0.0,5.0,0.0,5.0,0.381314,0.492422,140.0,788.0,0.00958941904056163
40,1752816653,5.0,0.0,5.0,0.0,5.0,0.381314,0.492422,140.0,788.0,0.010536104914467846
41,1752816658,5.0,0.0,5.0,0.0,5.0,0.381314,0.492422,140.0,788.0,0.009826345261564555
42,1752816663,5.0,0.0,5.0,0.0,5.0,0.381314,0.492422,140.0,788.0,0.009910776077517957
43,1752816668,5.0,0.0,5.0,0.0,5.0,0.381314,0.492422,140.0,788.0,0.009946247407534935
44,1752816673,5.0,0.0,5.0,0.0,5.0,0.381314,0.492422,140.0,788.0,0.009589368907226895
45,1752816678,5.0,0.0,5.0,0.0,5.0,0.374809,0.275729,140.0,788.0,0.010147374190881369
46,1752816683,5.0,0.0,5.0,0.0,5.0,0.374809,0.275729,140.0,788.0,0.00996315872690573
47,1752816688,5.0,0.0,5.0,0.0,5.0,0.374809,0.275729,140.0,788.0,0.010247013976840696
48,1752816693,5.0,0.0,5.0,0.0,5.0,0.374809,0.275729,140.0,788.0,0.010105534714009675
49,1752816698,5.0,0.0,5.0,0.0,5.0,0.374809,0.275729,140.0,788.0,0.010261704698905106
50,1752816703,5.0,0.0,5.0,0.0,5.0,0.374809,0.275729,140.0,788.0,0.01033945997269179
51,1752816708,5.0,0.0,5.0,0.0,5.0,0.33816,0.269559,140.0,788.0,0.01123938623816239
52,1752816713,5.0,0.0,5.0,0.0,5.0,0.33816,0.269559,140.0,788.0,0.011121547730577034
53,1752816718,5.0,0.0,5.0,0.0,5.0,0.33816,0.269559,140.0,788.0,0.011506586837872281
54,1752816723,5.0,0.0,5.0,0.0,5.0,0.33816,0.269559,140.0,788.0,0.011008861350596772
55,1752816728,5.0,0.0,5.0,0.0,5.0,0.33816,0.269559,140.0,788.0,0.011083862552955143
56,1752816733,5.0,0.0,5.0,0.0,5.0,0.33816,0.269559,140.0,788.0,0.010567147711518541
57,1752816738,5.0,0.0,5.0,0.0,5.0,0.348469,0.457298,140.0,788.0,0.010789492313775373
58,1752816743,5.0,0.0,5.0,0.0,5.0,0.348469,0.457298,140.0,788.0,0.011082731028286401
59,1752816748,5.0,0.0,5.0,0.0,5.0,0.348469,0.457298,140.0,788.0,0.01020592307019109
60,1752816753,5.0,0.0,5.0,0.0,5.0,0.348469,0.457298,140.0,788.0,0.010823897318311338
