,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752816453,5.0,0.0,5.0,0.0,5.0,0.432052,0.000315,210.0,1288.0,0.1798344200663618
1,1752816458,5.0,0.0,5.0,0.0,5.0,0.432052,0.000315,210.0,1288.0,0.15782535227839684
2,1752816463,5.0,0.0,5.0,0.0,5.0,0.432052,0.000315,210.0,1288.0,0.15466932562121288
3,1752816468,5.0,0.0,5.0,0.0,5.0,0.151628,0.002407,210.0,1288.0,0.15411032831052535
4,1752816473,5.0,0.0,5.0,0.0,5.0,0.151628,0.002407,210.0,1288.0,0.15962658141435734
5,1752816478,5.0,0.0,5.0,0.0,5.0,0.151628,0.002407,210.0,1288.0,0.1514161459764911
6,1752816483,5.0,0.0,5.0,0.0,5.0,0.151628,0.002407,210.0,1288.0,0.06736370329455368
7,1752816488,5.0,0.0,5.0,0.0,5.0,0.151628,0.002407,210.0,1288.0,0.005369446843524434
8,1752816493,5.0,0.0,5.0,0.0,5.0,0.151628,0.002407,210.0,1288.0,0.005542664914090464
9,1752816498,5.0,0.0,5.0,0.0,5.0,0.002476,0.004161,210.0,1288.0,0.00574430079217958
10,1752816503,5.0,0.0,5.0,0.0,5.0,0.002476,0.004161,210.0,1288.0,0.005650902652201218
11,1752816508,5.0,0.0,5.0,0.0,5.0,0.002476,0.004161,210.0,1288.0,0.006397834139455327
12,1752816513,5.0,0.0,5.0,0.0,5.0,0.002476,0.004161,210.0,1288.0,0.006329618165260436
13,1752816518,5.0,0.0,5.0,0.0,5.0,0.002476,0.004161,210.0,1288.0,0.006053489746981836
14,1752816523,5.0,0.0,5.0,0.0,5.0,0.002476,0.004161,210.0,1288.0,0.0063341500962259874
15,1752816528,5.0,0.0,5.0,0.0,5.0,0.003819,0.004254,210.0,1288.0,0.0064220270898975
16,1752816533,5.0,0.0,5.0,0.0,5.0,0.003819,0.004254,210.0,1288.0,0.006473698367423376
17,1752816538,5.0,0.0,5.0,0.0,5.0,0.003819,0.004254,210.0,1288.0,0.006999117712465865
18,1752816543,5.0,0.0,5.0,0.0,5.0,0.003819,0.004254,210.0,1288.0,0.006961195393703639
19,1752816548,5.0,0.0,5.0,0.0,5.0,0.003819,0.004254,210.0,1288.0,0.0062384469104330926
20,1752816553,5.0,0.0,5.0,0.0,5.0,0.003819,0.004254,210.0,1288.0,0.006902367414219332
21,1752816558,5.0,0.0,5.0,0.0,5.0,0.004062,0.002613,210.0,1288.0,0.007061803539304952
22,1752816563,5.0,0.0,5.0,0.0,5.0,0.004062,0.002613,210.0,1288.0,0.008403771065998301
23,1752816568,5.0,0.0,5.0,0.0,5.0,0.004062,0.002613,210.0,1288.0,0.00877498191303974
24,1752816573,5.0,0.0,5.0,0.0,5.0,0.004062,0.002613,210.0,1288.0,0.009339230866822534
25,1752816578,5.0,0.0,5.0,0.0,5.0,0.004062,0.002613,210.0,1288.0,0.008630775815198312
26,1752816583,5.0,0.0,5.0,0.0,5.0,0.004062,0.002613,210.0,1288.0,0.008901930706012856
27,1752816588,5.0,0.0,5.0,0.0,5.0,0.003262,0.003157,210.0,1288.0,0.008866661734420902
28,1752816593,5.0,0.0,5.0,0.0,5.0,0.003262,0.003157,210.0,1288.0,0.009045180667760111
29,1752816598,5.0,0.0,5.0,0.0,5.0,0.003262,0.003157,210.0,1288.0,0.008886018322301115
30,1752816603,5.0,0.0,5.0,0.0,5.0,0.003262,0.003157,210.0,1288.0,0.008274538616528274
31,1752816608,5.0,0.0,5.0,0.0,5.0,0.003262,0.003157,210.0,1288.0,0.007656601057332707
32,1752816613,5.0,0.0,5.0,0.0,5.0,0.003262,0.003157,210.0,1288.0,0.0058965472398517784
33,1752816618,5.0,0.0,5.0,0.0,5.0,0.003293,0.003467,210.0,1288.0,0.006057364910195378
34,1752816623,5.0,0.0,5.0,0.0,5.0,0.003293,0.003467,210.0,1288.0,0.005905399014175976
35,1752816628,5.0,0.0,5.0,0.0,5.0,0.003293,0.003467,210.0,1288.0,0.006291082123511508
36,1752816633,5.0,0.0,5.0,0.0,5.0,0.003293,0.003467,210.0,1288.0,0.00609217690023241
37,1752816638,5.0,0.0,5.0,0.0,5.0,0.003293,0.003467,210.0,1288.0,0.006354054823530037
38,1752816643,5.0,0.0,5.0,0.0,5.0,0.003293,0.003467,210.0,1288.0,0.006233906400710962
39,1752816648,5.0,0.0,5.0,0.0,5.0,0.003964,0.00763,210.0,1288.0,0.006608974349609299
40,1752816653,5.0,0.0,5.0,0.0,5.0,0.003964,0.00763,210.0,1288.0,0.0064577621983495275
41,1752816658,5.0,0.0,5.0,0.0,5.0,0.003964,0.00763,210.0,1288.0,0.0064437331866713824
42,1752816663,5.0,0.0,5.0,0.0,5.0,0.003964,0.00763,210.0,1288.0,0.006257342280250565
43,1752816668,5.0,0.0,5.0,0.0,5.0,0.003964,0.00763,210.0,1288.0,0.006412060688660041
44,1752816673,5.0,0.0,5.0,0.0,5.0,0.003964,0.00763,210.0,1288.0,0.00744316916822069
45,1752816678,5.0,0.0,5.0,0.0,5.0,0.004045,0.00406,210.0,1288.0,0.008499731620442083
46,1752816683,5.0,0.0,5.0,0.0,5.0,0.004045,0.00406,210.0,1288.0,0.008671829116828383
47,1752816688,5.0,0.0,5.0,0.0,5.0,0.004045,0.00406,210.0,1288.0,0.009857778879976327
48,1752816693,5.0,0.0,5.0,0.0,5.0,0.004045,0.00406,210.0,1288.0,0.009368914232810489
49,1752816698,5.0,0.0,5.0,0.0,5.0,0.004045,0.00406,210.0,1288.0,0.00907041504742097
50,1752816703,5.0,0.0,5.0,0.0,5.0,0.004045,0.00406,210.0,1288.0,0.009982201494744682
51,1752816708,5.0,0.0,5.0,0.0,5.0,0.004033,0.004785,210.0,1288.0,0.009203558137780395
52,1752816713,5.0,0.0,5.0,0.0,5.0,0.004033,0.004785,210.0,1288.0,0.009350375088400692
53,1752816718,5.0,0.0,5.0,0.0,5.0,0.004033,0.004785,210.0,1288.0,0.008625806332246896
54,1752816723,5.0,0.0,5.0,0.0,5.0,0.004033,0.004785,210.0,1288.0,0.008241159485462253
55,1752816728,5.0,0.0,5.0,0.0,5.0,0.004033,0.004785,210.0,1288.0,0.007094238172012774
56,1752816733,5.0,0.0,5.0,0.0,5.0,0.004033,0.004785,210.0,1288.0,0.006592547938059209
57,1752816738,5.0,0.0,5.0,0.0,5.0,0.005443,0.006668,210.0,1288.0,0.006964816632961584
58,1752816743,5.0,0.0,5.0,0.0,5.0,0.005443,0.006668,210.0,1288.0,0.0067987428285631035
59,1752816748,5.0,0.0,5.0,0.0,5.0,0.005443,0.006668,210.0,1288.0,0.006624897928809599
60,1752816753,5.0,0.0,5.0,0.0,5.0,0.005443,0.006668,210.0,1288.0,0.006307214447198417
