,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752817002,2.0,0.0,1.0,4.749536824000114,2.0,85.914616,85.914616,70.0,-197.0,0.0008218213235499067
1,1752817007,2.0,0.0,1.0,4.749536824000114,2.0,36.135628,37.347195,70.0,-149.0,0.0009464624585388969
2,1752817012,2.0,0.0,1.0,4.749536824000114,2.0,36.135628,37.347195,70.0,-149.0,0.0010711035935278871
3,1752817017,2.0,0.0,1.0,0.09529622891813266,2.0,36.135628,37.347195,70.0,-149.0,0.0009909580592889142
4,1752817022,2.0,0.0,1.0,0.09529622891813266,2.0,36.135628,37.347195,70.0,-149.0,0.0012284815556191022
5,1752817027,2.0,0.0,1.0,0.09529622891813266,2.0,36.135628,37.347195,70.0,-149.0,0.0012284815556191022
6,1752817032,2.0,0.0,1.0,0.09529622891813266,2.0,36.135628,37.347195,70.0,-149.0,0.001067252353204841
7,1752817037,2.0,0.0,2.0,0.09529622891813266,2.0,15.729179,1.130945,70.0,-13.0,0.0007237413749041657
8,1752817042,2.0,0.0,2.0,0.09529622891813266,2.0,15.729179,1.130945,70.0,-13.0,0.0007237413749041657
9,1752817047,2.0,0.0,2.0,0.16002257938305361,2.0,15.729179,1.130945,70.0,-13.0,0.0006147077263821451
10,1752817052,2.0,0.0,2.0,0.16002257938305361,2.0,15.729179,1.130945,70.0,-13.0,0.0007428028910939605
11,1752817057,2.0,0.0,2.0,0.16002257938305361,2.0,15.729179,1.130945,70.0,-13.0,0.0007428028910939605
12,1752817062,2.0,0.0,2.0,0.16002257938305361,2.0,15.729179,1.130945,70.0,-13.0,0.0007168639583893823
13,1752817067,1.0,1.0,1.0,0.16002257938305361,1.0,6.449859,0.162179,70.0,-112.0,0.0007168639583893823
14,1752817072,1.0,1.0,1.0,0.16002257938305361,1.0,6.449859,0.162179,70.0,-112.0,0.0007168639583893823
