,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752817579,5.0,0.0,5.0,0.0,5.0,9.540326,0.053676,70.0,288.0,0.04695928426237263
1,1752817584,5.0,0.0,5.0,0.0,5.0,9.540326,0.053676,70.0,288.0,0.04919397750705217
2,1752817589,5.0,0.0,5.0,0.0,5.0,9.540326,0.053676,70.0,288.0,0.05544935598044065
3,1752817594,5.0,0.0,5.0,0.0,5.0,9.540326,0.053676,70.0,288.0,0.06226879117617404
4,1752817599,5.0,0.0,5.0,0.0,5.0,9.540326,0.053676,70.0,288.0,0.06636596853568452
5,1752817604,5.0,0.0,5.0,0.0,5.0,9.540326,0.053676,70.0,288.0,0.06947821728803837
6,1752817609,5.0,0.0,5.0,0.0,5.0,3.642922,0.116401,70.0,288.0,0.07551465708785472
7,1752817614,5.0,0.0,5.0,0.0,5.0,3.642922,0.116401,70.0,288.0,0.08159738644509057
8,1752817619,5.0,0.0,5.0,0.0,5.0,3.642922,0.116401,70.0,288.0,0.061769037551878334
9,1752817624,5.0,0.0,5.0,0.0,5.0,3.642922,0.116401,70.0,288.0,0.06191065160281726
10,1752817629,5.0,0.0,5.0,0.0,5.0,3.642922,0.116401,70.0,288.0,0.05992201140562045
11,1752817634,5.0,0.0,5.0,0.0,5.0,3.642922,0.116401,70.0,288.0,0.05866546552984806
12,1752817639,5.0,0.0,5.0,0.0,5.0,0.089233,0.063368,70.0,288.0,0.05380174875689827
13,1752817644,5.0,0.0,5.0,0.0,5.0,0.089233,0.063368,70.0,288.0,0.05308479182605037
14,1752817649,5.0,0.0,5.0,0.0,5.0,0.089233,0.063368,70.0,288.0,0.047880661648898315
15,1752817654,5.0,0.0,5.0,0.0,5.0,0.089233,0.063368,70.0,288.0,0.048853683699617456
16,1752817659,5.0,0.0,5.0,0.0,5.0,0.089233,0.063368,70.0,288.0,0.04669052002319011
17,1752817664,5.0,0.0,5.0,0.0,5.0,0.089233,0.063368,70.0,288.0,0.042565989827217196
18,1752817669,5.0,0.0,5.0,0.0,5.0,0.066621,0.06295,70.0,288.0,0.04604736932887157
19,1752817674,5.0,0.0,5.0,0.0,5.0,0.066621,0.06295,70.0,288.0,0.048234297676167236
20,1752817679,5.0,0.0,5.0,0.0,5.0,0.066621,0.06295,70.0,288.0,0.04816858692856396
21,1752817684,5.0,0.0,5.0,0.0,5.0,0.066621,0.06295,70.0,288.0,0.04931153370952289
22,1752817689,5.0,0.0,5.0,0.0,5.0,0.066621,0.06295,70.0,288.0,0.055079593586193035
23,1752817694,5.0,0.0,5.0,0.0,5.0,0.066621,0.06295,70.0,288.0,0.05441322784442702
24,1752817699,5.0,0.0,5.0,0.0,5.0,0.073818,0.106653,70.0,288.0,0.059302946051101424
25,1752817704,5.0,0.0,5.0,0.0,5.0,0.073818,0.106653,70.0,288.0,0.05462687519561986
26,1752817709,5.0,0.0,5.0,0.0,5.0,0.073818,0.106653,70.0,288.0,0.06116962251988684
27,1752817714,5.0,0.0,5.0,0.0,5.0,0.073818,0.106653,70.0,288.0,0.06270831222033273
28,1752817719,5.0,0.0,5.0,0.0,5.0,0.073818,0.106653,70.0,288.0,0.066310299442595
29,1752817724,5.0,0.0,5.0,0.0,5.0,0.073818,0.106653,70.0,288.0,0.06392091613557284
30,1752817729,5.0,0.0,5.0,0.0,5.0,0.089045,0.095131,70.0,288.0,0.06651776038779217
31,1752817734,5.0,0.0,5.0,0.0,5.0,0.089045,0.095131,70.0,288.0,0.06686855344745023
32,1752817739,5.0,0.0,5.0,0.0,5.0,0.089045,0.095131,70.0,288.0,0.06652679920015866
33,1752817744,5.0,0.0,5.0,0.0,5.0,0.089045,0.095131,70.0,288.0,0.06568476004059054
34,1752817749,5.0,0.0,5.0,0.0,5.0,0.089045,0.095131,70.0,288.0,0.061696278156957454
35,1752817754,5.0,0.0,5.0,0.0,5.0,0.089045,0.095131,70.0,288.0,0.06682209209429699
36,1752817759,5.0,0.0,5.0,0.0,5.0,0.102266,0.133118,70.0,288.0,0.06897594196599102
37,1752817764,5.0,0.0,5.0,0.0,5.0,0.102266,0.133118,70.0,288.0,0.07210508251966039
38,1752817769,5.0,0.0,5.0,0.0,5.0,0.102266,0.133118,70.0,288.0,0.07132108959216543
39,1752817774,5.0,0.0,5.0,0.0,5.0,0.102266,0.133118,70.0,288.0,0.07417824546787984
40,1752817779,5.0,0.0,5.0,0.0,5.0,0.102266,0.133118,70.0,288.0,0.07728592514957541
41,1752817784,5.0,0.0,5.0,0.0,5.0,0.102266,0.133118,70.0,288.0,0.0763305961002435
42,1752817789,5.0,0.0,5.0,0.0,5.0,0.121867,0.124858,70.0,288.0,0.08178000508122234
43,1752817794,5.0,0.0,5.0,0.0,5.0,0.121867,0.124858,70.0,288.0,0.08016807440494246
44,1752817799,5.0,0.0,5.0,0.0,5.0,0.121867,0.124858,70.0,288.0,0.08367171096717851
45,1752817804,5.0,0.0,5.0,0.0,5.0,0.121867,0.124858,70.0,288.0,0.08034933931633018
46,1752817809,5.0,0.0,5.0,0.0,5.0,0.121867,0.124858,70.0,288.0,0.08166716865599458
47,1752817814,5.0,0.0,5.0,0.0,5.0,0.121867,0.124858,70.0,288.0,0.07842263536265774
48,1752817819,5.0,0.0,5.0,0.0,5.0,0.126441,0.114987,70.0,288.0,0.0792593091755363
49,1752817824,5.0,0.0,5.0,0.0,5.0,0.126441,0.114987,70.0,288.0,0.07988195301587492
50,1752817829,5.0,0.0,5.0,0.0,5.0,0.126441,0.114987,70.0,288.0,0.07311553063636159
51,1752817834,5.0,0.0,5.0,0.0,5.0,0.126441,0.114987,70.0,288.0,0.07191925058391066
52,1752817839,5.0,0.0,5.0,0.0,5.0,0.126441,0.114987,70.0,288.0,0.07124687914344385
53,1752817844,5.0,0.0,5.0,0.0,5.0,0.126441,0.114987,70.0,288.0,0.06845942959348844
54,1752817849,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.06286993614841958
55,1752817854,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.06720300090683265
56,1752817859,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.0654212815584577
57,1752817864,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.06320638315554737
58,1752817869,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.05576612575329712
59,1752817874,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.04693188175248901
60,1752817879,5.0,0.0,5.0,0.0,5.0,0.110955,0.08486,70.0,288.0,0.03913685258659969
