,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752817579,5.0,0.0,1.0,0.0,5.0,19.044994,0.11303,70.0,-112.0,0.001247452521092491
1,1752817584,5.0,0.0,1.0,0.0,5.0,19.044994,0.11303,70.0,-112.0,0.011990858654877076
2,1752817589,5.0,0.0,1.0,0.0,5.0,19.044994,0.11303,70.0,-112.0,0.01777378425977953
3,1752817594,5.0,0.0,1.0,0.0,5.0,19.044994,0.11303,70.0,-112.0,0.02646227589655091
4,1752817599,5.0,0.0,1.0,0.0,5.0,19.044994,0.11303,70.0,-112.0,0.02999849602681676
5,1752817604,5.0,0.0,1.0,0.0,5.0,19.044994,0.11303,70.0,-112.0,0.03596294526455735
6,1752817609,5.0,0.0,5.0,0.0,5.0,5.328552,0.092429,70.0,288.0,0.04035304013931407
7,1752817614,5.0,0.0,5.0,0.0,5.0,5.328552,0.092429,70.0,288.0,0.047738599509137086
8,1752817619,5.0,0.0,5.0,0.0,5.0,5.328552,0.092429,70.0,288.0,0.04903538689651964
9,1752817624,5.0,0.0,5.0,0.0,5.0,5.328552,0.092429,70.0,288.0,0.0535109417968915
10,1752817629,5.0,0.0,5.0,0.0,5.0,5.328552,0.092429,70.0,288.0,0.049791373437239814
11,1752817634,5.0,0.0,5.0,0.0,5.0,5.328552,0.092429,70.0,288.0,0.05309551969125654
12,1752817639,5.0,0.0,5.0,0.0,5.0,0.098625,0.055143,70.0,288.0,0.05162863173409142
13,1752817644,5.0,0.0,5.0,0.0,5.0,0.098625,0.055143,70.0,288.0,0.04638231170132819
14,1752817649,5.0,0.0,5.0,0.0,5.0,0.098625,0.055143,70.0,288.0,0.04467530447330306
15,1752817654,5.0,0.0,5.0,0.0,5.0,0.098625,0.055143,70.0,288.0,0.04135588514048594
16,1752817659,5.0,0.0,5.0,0.0,5.0,0.098625,0.055143,70.0,288.0,0.03994486866050965
17,1752817664,5.0,0.0,5.0,0.0,5.0,0.098625,0.055143,70.0,288.0,0.0401986261307111
18,1752817669,5.0,0.0,5.0,0.0,5.0,0.063855,0.049797,70.0,288.0,0.039991145389191185
19,1752817674,5.0,0.0,5.0,0.0,5.0,0.063855,0.049797,70.0,288.0,0.03827624557476538
20,1752817679,5.0,0.0,5.0,0.0,5.0,0.063855,0.049797,70.0,288.0,0.0403974538537581
21,1752817684,5.0,0.0,5.0,0.0,5.0,0.063855,0.049797,70.0,288.0,0.03928291056976837
22,1752817689,5.0,0.0,5.0,0.0,5.0,0.063855,0.049797,70.0,288.0,0.03918378392842783
23,1752817694,5.0,0.0,5.0,0.0,5.0,0.063855,0.049797,70.0,288.0,0.04457895179177047
24,1752817699,5.0,0.0,5.0,0.0,5.0,0.063788,0.088187,70.0,288.0,0.046130496237980156
25,1752817704,5.0,0.0,5.0,0.0,5.0,0.063788,0.088187,70.0,288.0,0.0435164445035684
26,1752817709,5.0,0.0,5.0,0.0,5.0,0.063788,0.088187,70.0,288.0,0.048707863066817195
27,1752817714,5.0,0.0,5.0,0.0,5.0,0.063788,0.088187,70.0,288.0,0.052287929647130416
28,1752817719,5.0,0.0,5.0,0.0,5.0,0.063788,0.088187,70.0,288.0,0.05266016412132574
29,1752817724,5.0,0.0,5.0,0.0,5.0,0.063788,0.088187,70.0,288.0,0.054958469627704
30,1752817729,5.0,0.0,5.0,0.0,5.0,0.078355,0.077387,70.0,288.0,0.05520339065878906
31,1752817734,5.0,0.0,5.0,0.0,5.0,0.078355,0.077387,70.0,288.0,0.0492934720522302
32,1752817739,5.0,0.0,5.0,0.0,5.0,0.078355,0.077387,70.0,288.0,0.05490761844503525
33,1752817744,5.0,0.0,5.0,0.0,5.0,0.078355,0.077387,70.0,288.0,0.05494794598396859
34,1752817749,5.0,0.0,5.0,0.0,5.0,0.078355,0.077387,70.0,288.0,0.05288051753651104
35,1752817754,5.0,0.0,5.0,0.0,5.0,0.078355,0.077387,70.0,288.0,0.050604997291818235
36,1752817759,5.0,0.0,5.0,0.0,5.0,0.091494,0.132871,70.0,288.0,0.05858365592985106
37,1752817764,5.0,0.0,5.0,0.0,5.0,0.091494,0.132871,70.0,288.0,0.05701972765547346
38,1752817769,5.0,0.0,5.0,0.0,5.0,0.091494,0.132871,70.0,288.0,0.06209140357186569
39,1752817774,5.0,0.0,5.0,0.0,5.0,0.091494,0.132871,70.0,288.0,0.06022319130159986
40,1752817779,5.0,0.0,5.0,0.0,5.0,0.091494,0.132871,70.0,288.0,0.06118667485873228
41,1752817784,5.0,0.0,5.0,0.0,5.0,0.091494,0.132871,70.0,288.0,0.06217577795667591
42,1752817789,5.0,0.0,5.0,0.0,5.0,0.10508,0.098006,70.0,288.0,0.06549990414925921
43,1752817794,5.0,0.0,5.0,0.0,5.0,0.10508,0.098006,70.0,288.0,0.06577983632046121
44,1752817799,5.0,0.0,5.0,0.0,5.0,0.10508,0.098006,70.0,288.0,0.06341745336746714
45,1752817804,5.0,0.0,5.0,0.0,5.0,0.10508,0.098006,70.0,288.0,0.06543506814566663
46,1752817809,5.0,0.0,5.0,0.0,5.0,0.10508,0.098006,70.0,288.0,0.0633298711076911
47,1752817814,5.0,0.0,5.0,0.0,5.0,0.10508,0.098006,70.0,288.0,0.06447979081364472
48,1752817819,5.0,0.0,5.0,0.0,5.0,0.109186,0.09787,70.0,288.0,0.06259884549492702
49,1752817824,5.0,0.0,5.0,0.0,5.0,0.109186,0.09787,70.0,288.0,0.06275681306167716
50,1752817829,5.0,0.0,5.0,0.0,5.0,0.109186,0.09787,70.0,288.0,0.06022700663640821
51,1752817834,5.0,0.0,5.0,0.0,5.0,0.109186,0.09787,70.0,288.0,0.061686451844082675
52,1752817839,5.0,0.0,5.0,0.0,5.0,0.109186,0.09787,70.0,288.0,0.056132890904425276
53,1752817844,5.0,0.0,5.0,0.0,5.0,0.109186,0.09787,70.0,288.0,0.05651137974020924
54,1752817849,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.05254097574456809
55,1752817854,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.05149351595075711
56,1752817859,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.05344556107273042
57,1752817864,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.05478791287525936
58,1752817869,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.05634674877223448
59,1752817874,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.05634674877223448
60,1752817879,5.0,0.0,5.0,0.0,5.0,0.09478,0.065094,70.0,288.0,0.04707915187966863
