,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752813341,,,,28.6263281107034,,,,,,0.008110868409049359
1,1752813346,5.0,0.0,5.0,28.6263281107034,5.0,6.805562,0.078008,70.0,288.0,0.014190930024023456
2,1752813351,5.0,0.0,5.0,28.6263281107034,5.0,6.805562,0.078008,70.0,288.0,0.017528114092763857
3,1752813356,5.0,0.0,5.0,0.0,5.0,6.805562,0.078008,70.0,288.0,0.020548321556284877
4,1752813361,5.0,0.0,5.0,0.0,5.0,6.805562,0.078008,70.0,288.0,0.023305452016581088
5,1752813366,5.0,0.0,5.0,0.0,5.0,6.805562,0.078008,70.0,288.0,0.025611015036543353
6,1752813371,5.0,0.0,5.0,0.0,5.0,6.805562,0.078008,70.0,288.0,0.02952267926696535
7,1752813376,5.0,0.0,5.0,0.0,5.0,2.926743,0.041868,70.0,288.0,0.033663052156492734
8,1752813381,5.0,0.0,5.0,0.0,5.0,2.926743,0.041868,70.0,288.0,0.03662068446134456
9,1752813386,5.0,0.0,5.0,0.0,5.0,2.926743,0.041868,70.0,288.0,0.036577127593319284
10,1752813391,5.0,0.0,5.0,0.0,5.0,2.926743,0.041868,70.0,288.0,0.036924100202184
11,1752813396,5.0,0.0,5.0,0.0,5.0,2.926743,0.041868,70.0,288.0,0.036253672649455226
12,1752813401,5.0,0.0,5.0,0.0,5.0,2.926743,0.041868,70.0,288.0,0.03401663723957113
13,1752813406,5.0,0.0,5.0,0.0,5.0,0.107558,0.329331,70.0,288.0,0.03562946335714459
14,1752813411,5.0,0.0,5.0,0.0,5.0,0.107558,0.329331,70.0,288.0,0.037902602743663305
15,1752813416,5.0,0.0,5.0,0.0,5.0,0.107558,0.329331,70.0,288.0,0.040366433084468405
16,1752813421,5.0,0.0,5.0,0.0,5.0,0.107558,0.329331,70.0,288.0,0.043788362226429366
17,1752813426,5.0,0.0,5.0,0.0,5.0,0.107558,0.329331,70.0,288.0,0.045091168714558226
18,1752813431,5.0,0.0,5.0,0.0,5.0,0.107558,0.329331,70.0,288.0,0.042407799565120426
19,1752813436,5.0,0.0,5.0,0.0,5.0,0.247899,0.386206,70.0,288.0,0.05332139261650516
20,1752813441,5.0,0.0,5.0,0.0,5.0,0.247899,0.386206,70.0,288.0,0.05804369299518278
21,1752813446,5.0,0.0,5.0,0.0,5.0,0.247899,0.386206,70.0,288.0,0.059623887905277256
22,1752813451,5.0,0.0,5.0,0.0,5.0,0.247899,0.386206,70.0,288.0,0.06146073974509695
23,1752813456,5.0,0.0,5.0,0.0,5.0,0.247899,0.386206,70.0,288.0,0.06505246905668507
24,1752813461,5.0,0.0,5.0,0.0,5.0,0.247899,0.386206,70.0,288.0,0.06280564153639563
25,1752813466,5.0,0.0,5.0,0.0,5.0,0.346151,0.136084,70.0,288.0,0.06190372616602278
26,1752813471,5.0,0.0,5.0,0.0,5.0,0.346151,0.136084,70.0,288.0,0.06458515686979699
27,1752813476,5.0,0.0,5.0,0.0,5.0,0.346151,0.136084,70.0,288.0,0.0624595035534724
28,1752813481,5.0,0.0,5.0,0.0,5.0,0.346151,0.136084,70.0,288.0,0.06200107624100582
29,1752813486,5.0,0.0,5.0,0.0,5.0,0.346151,0.136084,70.0,288.0,0.06281585802351809
30,1752813491,5.0,0.0,5.0,0.0,5.0,0.346151,0.136084,70.0,288.0,0.06261083935984338
31,1752813496,5.0,0.0,5.0,0.0,5.0,0.253612,0.128876,70.0,288.0,0.061167879735203504
32,1752813501,5.0,0.0,5.0,0.0,5.0,0.253612,0.128876,70.0,288.0,0.05804232475406684
33,1752813506,5.0,0.0,5.0,0.0,5.0,0.253612,0.128876,70.0,288.0,0.055508184514643774
