,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1753800940,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.001722280737289852
1,1753800945,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0008914046121593291
2,1753800950,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0008397569547864422
3,1753800955,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0008397569547864422
4,1753800960,1.0,0.0,1.0,5.067257116210358,0.0,0.0,0.0,70.0,-111.0,0.0007349087438174298
5,1753800965,2.0,1.0,1.0,5.067257116210358,2.0,12.317821,27.682261,70.0,-139.0,0.21073706140612114
6,1753800970,2.0,1.0,1.0,5.067257116210358,2.0,12.317821,27.682261,70.0,-139.0,0.2715874415439211
7,1753800975,2.0,1.0,1.0,5.067257116210358,2.0,12.317821,27.682261,70.0,-139.0,0.3324274111238279
8,1753800980,2.0,1.0,1.0,5.067257116210358,2.0,12.317821,27.682261,70.0,-139.0,0.429069128542992
9,1753800985,2.0,1.0,1.0,5.067257116210358,2.0,12.317821,27.682261,70.0,-139.0,0.4954405792873757
10,1753800990,2.0,1.0,1.0,54.528032165533844,2.0,12.317821,27.682261,70.0,-139.0,0.5616632474817824
11,1753800995,2.0,0.0,1.0,54.528032165533844,2.0,21.671925,10.61381,70.0,-122.0,0.6691636052939977
12,1753801000,2.0,0.0,1.0,54.528032165533844,2.0,21.671925,10.61381,70.0,-122.0,0.7398834017354847
13,1753801005,2.0,0.0,1.0,54.528032165533844,2.0,21.671925,10.61381,70.0,-122.0,0.810603198176972
14,1753801010,2.0,0.0,1.0,54.528032165533844,2.0,21.671925,10.61381,70.0,-122.0,0.845533961266573
15,1753801015,2.0,0.0,1.0,54.528032165533844,2.0,21.671925,10.61381,70.0,-122.0,0.846407650912494
16,1753801020,2.0,0.0,1.0,1.240394673446552,2.0,21.671925,10.61381,70.0,-122.0,0.846407650912494
17,1753801025,1.0,1.0,1.0,1.240394673446552,1.0,10.418442,1.560636,70.0,-113.0,0.7765201164026052
18,1753801030,1.0,1.0,1.0,1.240394673446552,1.0,10.418442,1.560636,70.0,-113.0,0.7765201164026052
