,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1753799825,0.0,0.0,0.0,,,,,,,
1,1753799830,0.0,0.0,0.0,,,,,,,
2,1753799835,0.0,0.0,0.0,,,,,,,
3,1753799840,0.0,0.0,0.0,,,,,,,0.004558095063637822
4,1753799845,0.0,0.0,0.0,,,,,,,0.009340260707370637
5,1753799850,0.0,0.0,0.0,0.0,,,,,,0.011384723984819137
6,1753799855,5.0,0.0,5.0,0.0,5.0,0.469376,0.013175,70.0,288.0,0.012703603759535859
7,1753799860,5.0,0.0,5.0,0.0,5.0,0.469376,0.013175,70.0,288.0,0.012840279237791793
8,1753799865,5.0,0.0,5.0,0.0,5.0,0.469376,0.013175,70.0,288.0,0.015160866042471155
9,1753799870,5.0,0.0,5.0,0.0,5.0,0.469376,0.013175,70.0,288.0,0.017058309214056756
10,1753799875,5.0,0.0,5.0,0.0,5.0,0.469376,0.013175,70.0,288.0,0.019460950611088296
11,1753799880,5.0,0.0,5.0,0.0,5.0,0.469376,0.013175,70.0,288.0,0.021549806139977198
12,1753799885,5.0,0.0,5.0,0.0,5.0,0.244391,0.061998,70.0,288.0,0.02307502924606256
13,1753799890,5.0,0.0,5.0,0.0,5.0,0.244391,0.061998,70.0,288.0,0.023370511558171363
14,1753799895,5.0,0.0,5.0,0.0,5.0,0.244391,0.061998,70.0,288.0,0.023842653259478975
15,1753799900,5.0,0.0,5.0,0.0,5.0,0.244391,0.061998,70.0,288.0,0.024436071014203597
16,1753799905,5.0,0.0,5.0,0.0,5.0,0.244391,0.061998,70.0,288.0,0.02771732514497121
17,1753799910,5.0,0.0,5.0,0.0,5.0,0.244391,0.061998,70.0,288.0,0.029662250479097672
18,1753799915,5.0,0.0,5.0,0.0,5.0,0.050111,0.054886,70.0,288.0,0.0298880872342046
19,1753799920,5.0,0.0,5.0,0.0,5.0,0.050111,0.054886,70.0,288.0,0.03062433456080935
20,1753799925,5.0,0.0,5.0,0.0,5.0,0.050111,0.054886,70.0,288.0,0.028225542741271807
21,1753799930,5.0,0.0,5.0,0.0,5.0,0.050111,0.054886,70.0,288.0,0.031199694160383443
22,1753799935,5.0,0.0,5.0,0.0,5.0,0.050111,0.054886,70.0,288.0,0.03201816140940438
23,1753799940,5.0,0.0,5.0,0.0,5.0,0.050111,0.054886,70.0,288.0,0.03177147318372591
24,1753799945,5.0,0.0,5.0,0.0,5.0,0.05444,0.059367,70.0,288.0,0.030053676277727155
25,1753799950,5.0,0.0,5.0,0.0,5.0,0.05444,0.059367,70.0,288.0,0.030972844066464958
26,1753799955,5.0,0.0,5.0,0.0,5.0,0.05444,0.059367,70.0,288.0,0.032481732550461974
