,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753804693,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753804698,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753804703,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753804708,0.0,0.0,0.0,23.0,0.0,0.0,0.0,70.0,-211.0,0.004545148060046397
4,1753804713,0.0,0.0,0.0,23.0,0.0,0.0,0.0,70.0,-211.0,0.019050600118413093
5,1753804718,5.0,0.0,5.0,23.0,5.0,56.819862,68.854724,70.0,220.0,0.03820712404021746
6,1753804723,5.0,0.0,5.0,23.0,5.0,56.819862,68.854724,70.0,220.0,0.057841272631636555
7,1753804728,5.0,0.0,5.0,23.0,5.0,56.819862,68.854724,70.0,220.0,0.07814912679549155
8,1753804733,5.0,0.0,5.0,23.0,5.0,56.819862,68.854724,70.0,220.0,0.1286141957570637
9,1753804738,5.0,0.0,5.0,0.0,5.0,56.819862,68.854724,70.0,220.0,0.14477806772212032
10,1753804743,5.0,0.0,5.0,0.0,5.0,56.819862,68.854724,70.0,220.0,0.16290451275574075
11,1753804748,5.0,0.0,5.0,0.0,5.0,25.748769,4.88087,70.0,284.0,0.1821678217584335
12,1753804753,5.0,0.0,5.0,0.0,5.0,25.748769,4.88087,70.0,284.0,0.19879334222899617
13,1753804758,5.0,0.0,5.0,0.0,5.0,25.748769,4.88087,70.0,284.0,0.21716934537601573
14,1753804763,5.0,0.0,5.0,0.0,5.0,25.748769,4.88087,70.0,284.0,0.2483170698516629
15,1753804768,5.0,0.0,5.0,0.0,5.0,25.748769,4.88087,70.0,284.0,0.2736377836844148
16,1753804773,5.0,0.0,5.0,0.0,5.0,25.748769,4.88087,70.0,284.0,0.25570122451183835
17,1753804778,5.0,0.0,5.0,0.0,5.0,5.843829,4.408832,70.0,284.0,0.2530971754803415
18,1753804783,5.0,0.0,5.0,0.0,5.0,5.843829,4.408832,70.0,284.0,0.2714790134146566
19,1753804788,5.0,0.0,5.0,0.0,5.0,5.843829,4.408832,70.0,284.0,0.27896031905873375
20,1753804793,5.0,0.0,5.0,0.0,5.0,5.843829,4.408832,70.0,284.0,0.30751728434076847
21,1753804798,5.0,0.0,5.0,0.0,5.0,5.843829,4.408832,70.0,284.0,0.3278854576235115
22,1753804803,5.0,0.0,5.0,0.0,5.0,5.843829,4.408832,70.0,284.0,0.3575299732812961
23,1753804808,5.0,0.0,5.0,0.0,5.0,23.336545,47.888296,70.0,241.0,0.3750797370466429
24,1753804813,5.0,0.0,5.0,0.0,5.0,23.336545,47.888296,70.0,241.0,0.3988610933700786
25,1753804818,5.0,0.0,5.0,0.0,5.0,23.336545,47.888296,70.0,241.0,0.3867200531321556
26,1753804823,5.0,0.0,5.0,0.0,5.0,23.336545,47.888296,70.0,241.0,0.41767471417519414
27,1753804828,5.0,0.0,5.0,0.0,5.0,23.336545,47.888296,70.0,241.0,0.4484377765544899
28,1753804833,5.0,0.0,5.0,0.0,5.0,23.336545,47.888296,70.0,241.0,0.42805288832789423
29,1753804838,5.0,0.0,5.0,0.0,5.0,38.834256,8.924864,70.0,280.0,0.414764636714495
30,1753804843,5.0,0.0,5.0,0.0,5.0,38.834256,8.924864,70.0,280.0,0.40302200542034256
31,1753804848,5.0,0.0,5.0,0.0,5.0,38.834256,8.924864,70.0,280.0,0.37948225028888105
32,1753804853,5.0,0.0,5.0,0.0,5.0,38.834256,8.924864,70.0,280.0,0.36383600703092767
33,1753804858,5.0,0.0,5.0,0.0,5.0,38.834256,8.924864,70.0,280.0,0.3294042291916371
34,1753804863,5.0,0.0,5.0,0.0,5.0,38.834256,8.924864,70.0,280.0,0.3310200784228016
35,1753804868,5.0,0.0,5.0,0.0,5.0,21.030243,18.576032,70.0,270.0,0.3363044922738494
36,1753804873,5.0,0.0,5.0,0.0,5.0,21.030243,18.576032,70.0,270.0,0.33870963370746343
37,1753804878,5.0,0.0,5.0,0.0,5.0,21.030243,18.576032,70.0,270.0,0.370650216389776
38,1753804883,5.0,0.0,5.0,0.0,5.0,21.030243,18.576032,70.0,270.0,0.36938897353105965
39,1753804888,5.0,0.0,5.0,0.0,5.0,21.030243,18.576032,70.0,270.0,0.36987616755465413
40,1753804893,5.0,0.0,5.0,0.0,5.0,21.030243,18.576032,70.0,270.0,0.3325162210094933
41,1753804898,5.0,0.0,5.0,0.0,5.0,80.525962,219.28165,70.0,69.0,0.3483999140212828
42,1753804903,5.0,0.0,5.0,0.0,5.0,80.525962,219.28165,70.0,69.0,0.3428296622058375
43,1753804908,5.0,0.0,5.0,0.0,5.0,80.525962,219.28165,70.0,69.0,0.34468560713405977
44,1753804913,5.0,0.0,5.0,0.0,5.0,80.525962,219.28165,70.0,69.0,0.33251174610759004
45,1753804918,5.0,0.0,5.0,0.0,5.0,80.525962,219.28165,70.0,69.0,0.2986708207100658
46,1753804923,5.0,0.0,5.0,0.0,5.0,80.525962,219.28165,70.0,69.0,0.2996856739070631
47,1753804928,5.0,0.0,5.0,0.0,5.0,87.088841,20.523479,70.0,268.0,0.29137647718365467
48,1753804933,5.0,0.0,5.0,0.0,5.0,87.088841,20.523479,70.0,268.0,0.2910205910693135
49,1753804938,5.0,0.0,5.0,0.0,5.0,87.088841,20.523479,70.0,268.0,0.308370267531182
50,1753804943,5.0,0.0,5.0,0.0,5.0,87.088841,20.523479,70.0,268.0,0.3256597375096195
51,1753804948,5.0,0.0,5.0,0.0,5.0,87.088841,20.523479,70.0,268.0,0.3291864529988193
52,1753804953,5.0,0.0,5.0,0.0,5.0,87.088841,20.523479,70.0,268.0,0.31357417465264353
53,1753804958,5.0,0.0,5.0,0.0,5.0,12.642406,12.911026,70.0,276.0,0.332989721830753
54,1753804963,5.0,0.0,5.0,0.0,5.0,12.642406,12.911026,70.0,276.0,0.325966158501436
55,1753804968,5.0,0.0,5.0,0.0,5.0,12.642406,12.911026,70.0,276.0,0.33192322180217176
56,1753804973,5.0,0.0,5.0,0.0,5.0,12.642406,12.911026,70.0,276.0,0.35748487289570374
57,1753804978,5.0,0.0,5.0,0.0,5.0,12.642406,12.911026,70.0,276.0,0.3538964745152062
58,1753804983,5.0,0.0,5.0,0.0,5.0,12.642406,12.911026,70.0,276.0,0.3250610826215319
59,1753804988,5.0,0.0,5.0,0.0,5.0,12.604016,22.937902,70.0,266.0,0.35090313634435016
60,1753804993,5.0,0.0,5.0,0.0,5.0,12.604016,22.937902,70.0,266.0,0.37748301042131516
61,1753804998,5.0,0.0,5.0,0.0,5.0,12.604016,22.937902,70.0,266.0,0.3787669555135007
62,1753805003,5.0,0.0,5.0,0.0,5.0,12.604016,22.937902,70.0,266.0,0.3770623662200103
63,1753805008,5.0,0.0,5.0,0.0,5.0,12.604016,22.937902,70.0,266.0,0.3926725345666616
64,1753805013,5.0,0.0,5.0,0.0,5.0,12.604016,22.937902,70.0,266.0,0.4087788794711854
65,1753805018,5.0,0.0,5.0,0.0,5.0,22.266274,62.913374,70.0,226.0,0.4207894100893565
66,1753805023,5.0,0.0,5.0,0.0,5.0,22.266274,62.913374,70.0,226.0,0.4338789343007941
67,1753805028,5.0,0.0,5.0,0.0,5.0,22.266274,62.913374,70.0,226.0,0.44874174465254124
68,1753805033,5.0,0.0,5.0,0.0,5.0,22.266274,62.913374,70.0,226.0,0.44975828229299764
69,1753805038,5.0,0.0,5.0,0.0,5.0,22.266274,62.913374,70.0,226.0,0.4712953741240058
70,1753805043,5.0,0.0,5.0,0.0,5.0,22.266274,62.913374,70.0,226.0,0.475563869784824
71,1753805048,5.0,0.0,5.0,0.0,5.0,40.92666,41.223534,70.0,247.0,0.47553051252062806
72,1753805053,5.0,0.0,5.0,0.0,5.0,40.92666,41.223534,70.0,247.0,0.4582091344813386
73,1753805058,5.0,0.0,5.0,0.0,5.0,40.92666,41.223534,70.0,247.0,0.45001414629403463
74,1753805063,5.0,0.0,5.0,0.0,5.0,40.92666,41.223534,70.0,247.0,0.43221259014391944
75,1753805068,5.0,0.0,5.0,0.0,5.0,40.92666,41.223534,70.0,247.0,0.3887681173072973
76,1753805073,5.0,0.0,5.0,0.0,5.0,40.92666,41.223534,70.0,247.0,0.4310407884266669
77,1753805078,5.0,0.0,5.0,0.0,5.0,39.402603,36.578855,70.0,252.0,0.4209223403299208
78,1753805083,5.0,0.0,5.0,0.0,5.0,39.402603,36.578855,70.0,252.0,0.4312658054581415
79,1753805088,5.0,0.0,5.0,0.0,5.0,39.402603,36.578855,70.0,252.0,0.39360955387068
80,1753805093,5.0,0.0,5.0,0.0,5.0,39.402603,36.578855,70.0,252.0,0.4313548784768874
81,1753805098,5.0,0.0,5.0,0.0,5.0,39.402603,36.578855,70.0,252.0,0.44936540815885206
82,1753805103,5.0,0.0,5.0,0.0,5.0,39.402603,36.578855,70.0,252.0,0.4546196902342179
83,1753805108,5.0,0.0,5.0,0.0,5.0,30.416436,24.314667,70.0,264.0,0.4404664463618978
84,1753805113,5.0,0.0,5.0,0.0,5.0,30.416436,24.314667,70.0,264.0,0.4527732273530226
85,1753805118,5.0,0.0,5.0,0.0,5.0,30.416436,24.314667,70.0,264.0,0.42185072342446106
86,1753805123,5.0,0.0,5.0,0.0,5.0,30.416436,24.314667,70.0,264.0,0.44509006089306014
87,1753805128,5.0,0.0,5.0,0.0,5.0,30.416436,24.314667,70.0,264.0,0.4462263007195936
88,1753805133,5.0,0.0,5.0,0.0,5.0,30.416436,24.314667,70.0,264.0,0.4267843001270967
89,1753805138,5.0,0.0,5.0,0.0,5.0,22.376645,7.486059,70.0,281.0,0.4459108464681994
90,1753805143,5.0,0.0,5.0,0.0,5.0,22.376645,7.486059,70.0,281.0,0.43358690457216775
91,1753805148,5.0,0.0,5.0,0.0,5.0,22.376645,7.486059,70.0,281.0,0.4502685480953116
92,1753805153,5.0,0.0,5.0,0.0,5.0,22.376645,7.486059,70.0,281.0,0.42862383866627
93,1753805158,5.0,0.0,5.0,0.0,5.0,22.376645,7.486059,70.0,281.0,0.42137572623132535
94,1753805163,5.0,0.0,5.0,0.0,5.0,22.376645,7.486059,70.0,281.0,0.37925688192423923
95,1753805168,5.0,0.0,5.0,0.0,5.0,12.835003,17.894227,70.0,271.0,0.39549179536401957
96,1753805173,5.0,0.0,5.0,0.0,5.0,12.835003,17.894227,70.0,271.0,0.3871651077660192
97,1753805178,5.0,0.0,5.0,0.0,5.0,12.835003,17.894227,70.0,271.0,0.39449006605859016
98,1753805183,5.0,0.0,5.0,0.0,5.0,12.835003,17.894227,70.0,271.0,0.4015431061851012
99,1753805188,5.0,0.0,5.0,0.0,5.0,12.835003,17.894227,70.0,271.0,0.3852068798945205
100,1753805193,5.0,0.0,5.0,0.0,5.0,12.835003,17.894227,70.0,271.0,0.4010044414605121
101,1753805198,5.0,0.0,5.0,0.0,5.0,18.984535,11.66389,70.0,277.0,0.4073679678667271
102,1753805203,5.0,0.0,5.0,0.0,5.0,18.984535,11.66389,70.0,277.0,0.431352126030829
103,1753805208,5.0,0.0,5.0,0.0,5.0,18.984535,11.66389,70.0,277.0,0.44974507697243177
104,1753805213,5.0,0.0,5.0,0.0,5.0,18.984535,11.66389,70.0,277.0,0.45304872370226595
105,1753805218,5.0,0.0,5.0,0.0,5.0,18.984535,11.66389,70.0,277.0,0.44772922710797214
106,1753805223,5.0,0.0,5.0,0.0,5.0,18.984535,11.66389,70.0,277.0,0.43945674515284494
107,1753805228,5.0,0.0,5.0,0.0,5.0,56.818974,96.881885,70.0,192.0,0.4490282888427807
108,1753805233,5.0,0.0,5.0,0.0,5.0,56.818974,96.881885,70.0,192.0,0.4443754003494853
109,1753805238,5.0,0.0,5.0,0.0,5.0,56.818974,96.881885,70.0,192.0,0.42758801454669104
110,1753805243,5.0,0.0,5.0,0.0,5.0,56.818974,96.881885,70.0,192.0,0.41259406363334816
111,1753805248,5.0,0.0,5.0,9.304312981726646,5.0,56.818974,96.881885,70.0,192.0,0.40485944014710273
112,1753805253,5.0,0.0,5.0,9.304312981726646,5.0,56.818974,96.881885,70.0,192.0,0.35200101909429204
113,1753805258,5.0,0.0,5.0,9.304312981726646,5.0,123.324571,23.89326,70.0,265.0,0.36706470604575314
114,1753805263,5.0,0.0,5.0,9.304312981726646,5.0,123.324571,23.89326,70.0,265.0,0.38380774747837776
115,1753805268,5.0,0.0,5.0,9.304312981726646,5.0,123.324571,23.89326,70.0,265.0,0.362843506634293
116,1753805273,5.0,0.0,5.0,9.304312981726646,5.0,123.324571,23.89326,70.0,265.0,0.360361001128752
117,1753805278,5.0,0.0,5.0,0.0,5.0,123.324571,23.89326,70.0,265.0,0.37097951189095396
118,1753805283,5.0,0.0,5.0,0.0,5.0,123.324571,23.89326,70.0,265.0,0.39837811268338785
119,1753805288,5.0,0.0,5.0,0.0,5.0,118.504101,165.427794,70.0,123.0,0.39218570711662515
120,1753805293,5.0,0.0,5.0,0.0,5.0,118.504101,165.427794,70.0,123.0,0.3763595003967549
