,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753810685,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0019173866209413267
1,1753810690,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0009174685859710515
2,1753810695,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0009174685859710515
3,1753810700,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.0009423955040393396
4,1753810705,1.0,0.0,1.0,,0.0,0.0,0.0,70.0,-111.0,0.010543205115994719
5,1753810710,1.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0,-111.0,0.01621581656073758
6,1753810715,5.0,1.0,5.0,0.0,5.0,1.060832,0.056499,70.0,288.0,0.018371692959920298
7,1753810720,5.0,1.0,5.0,0.0,5.0,1.060832,0.056499,70.0,288.0,0.023729587316654012
8,1753810725,5.0,1.0,5.0,0.0,5.0,1.060832,0.056499,70.0,288.0,0.028228448302929907
9,1753810730,5.0,1.0,5.0,0.0,5.0,1.060832,0.056499,70.0,288.0,0.02807285272499474
10,1753810735,5.0,1.0,5.0,0.0,5.0,1.060832,0.056499,70.0,288.0,0.03877296910437466
11,1753810740,5.0,1.0,5.0,0.0,5.0,1.060832,0.056499,70.0,288.0,0.0451189781979898
12,1753810745,5.0,0.0,5.0,0.0,5.0,1.137728,0.171678,70.0,288.0,0.04977337211955039
13,1753810750,5.0,0.0,5.0,0.0,5.0,1.137728,0.171678,70.0,288.0,0.05259616858908736
14,1753810755,5.0,0.0,5.0,0.0,5.0,1.137728,0.171678,70.0,288.0,0.06036808058988035
15,1753810760,5.0,0.0,5.0,0.0,5.0,1.137728,0.171678,70.0,288.0,0.06036808058988036
16,1753810765,5.0,0.0,5.0,0.0,5.0,1.137728,0.171678,70.0,288.0,0.06464843967782993
17,1753810770,5.0,0.0,5.0,0.0,5.0,1.137728,0.171678,70.0,288.0,0.06812135648270418
18,1753810775,5.0,0.0,5.0,0.0,5.0,0.195762,0.252195,70.0,288.0,0.07280911715531001
19,1753810780,5.0,0.0,5.0,0.0,5.0,0.195762,0.252195,70.0,288.0,0.07331243526145928
20,1753810785,5.0,0.0,5.0,0.0,5.0,0.195762,0.252195,70.0,288.0,0.08327114071544361
21,1753810790,5.0,0.0,5.0,0.0,5.0,0.195762,0.252195,70.0,288.0,0.08434353925990992
22,1753810795,5.0,0.0,5.0,0.0,5.0,0.195762,0.252195,70.0,288.0,0.08733726658356371
23,1753810800,5.0,0.0,5.0,0.0,5.0,0.195762,0.252195,70.0,288.0,0.09370440448094243
24,1753810805,5.0,0.0,5.0,0.0,5.0,0.269338,0.359697,70.0,288.0,0.09540132113131458
25,1753810810,5.0,0.0,5.0,0.0,5.0,0.269338,0.359697,70.0,288.0,0.09675245929603538
26,1753810815,5.0,0.0,5.0,0.0,5.0,0.269338,0.359697,70.0,288.0,0.09117697648701438
27,1753810820,5.0,0.0,5.0,0.0,5.0,0.269338,0.359697,70.0,288.0,0.10138265151057155
28,1753810825,5.0,0.0,5.0,0.0,5.0,0.269338,0.359697,70.0,288.0,0.09910097520421995
29,1753810830,5.0,0.0,5.0,0.0,5.0,0.269338,0.359697,70.0,288.0,0.09712551555138399
30,1753810835,5.0,0.0,5.0,0.0,5.0,0.298441,0.150507,70.0,288.0,0.09259204840326402
31,1753810840,5.0,0.0,5.0,0.0,5.0,0.298441,0.150507,70.0,288.0,0.09229799868885818
32,1753810845,5.0,0.0,5.0,0.0,5.0,0.298441,0.150507,70.0,288.0,0.08492546256642049
33,1753810850,5.0,0.0,5.0,0.0,5.0,0.298441,0.150507,70.0,288.0,0.08090881219167968
34,1753810855,5.0,0.0,5.0,0.0,5.0,0.298441,0.150507,70.0,288.0,0.08129936046435159
35,1753810860,5.0,0.0,5.0,0.0,5.0,0.298441,0.150507,70.0,288.0,0.06941315684490112
36,1753810865,5.0,0.0,5.0,0.0,5.0,0.255778,0.239585,70.0,288.0,0.07342221223231396
37,1753810870,5.0,0.0,5.0,0.0,5.0,0.255778,0.239585,70.0,288.0,0.07314916285029724
38,1753810875,5.0,0.0,5.0,0.0,5.0,0.255778,0.239585,70.0,288.0,0.07306446917017302
39,1753810880,5.0,0.0,5.0,0.0,5.0,0.255778,0.239585,70.0,288.0,0.07246121939319397
40,1753810885,5.0,0.0,5.0,0.0,5.0,0.255778,0.239585,70.0,288.0,0.07650581484942746
41,1753810890,5.0,0.0,5.0,0.0,5.0,0.255778,0.239585,70.0,288.0,0.08402637290339132
42,1753810895,5.0,0.0,5.0,0.0,5.0,0.242808,0.273846,70.0,288.0,0.08657149302216616
43,1753810900,5.0,0.0,5.0,0.0,5.0,0.242808,0.273846,70.0,288.0,0.0871246038337406
44,1753810905,5.0,0.0,5.0,0.0,5.0,0.242808,0.273846,70.0,288.0,0.08744287777110502
45,1753810910,5.0,0.0,5.0,0.0,5.0,0.242808,0.273846,70.0,288.0,0.08828970361123814
46,1753810915,5.0,0.0,5.0,0.0,5.0,0.242808,0.273846,70.0,288.0,0.08774553747023534
47,1753810920,5.0,0.0,5.0,0.0,5.0,0.242808,0.273846,70.0,288.0,0.08823725347573672
48,1753810925,5.0,0.0,5.0,0.0,5.0,0.252281,0.257512,70.0,288.0,0.08046251697215702
49,1753810930,5.0,0.0,5.0,0.0,5.0,0.252281,0.257512,70.0,288.0,0.08709635505231085
50,1753810935,5.0,0.0,5.0,0.0,5.0,0.252281,0.257512,70.0,288.0,0.08680341535223865
51,1753810940,5.0,0.0,5.0,0.0,5.0,0.252281,0.257512,70.0,288.0,0.08703390971109415
52,1753810945,5.0,0.0,5.0,0.0,5.0,0.252281,0.257512,70.0,288.0,0.08462788190536084
53,1753810950,5.0,0.0,5.0,0.0,5.0,0.252281,0.257512,70.0,288.0,0.0837090764026527
54,1753810955,5.0,0.0,5.0,0.0,5.0,0.225866,0.223889,70.0,288.0,0.08695752504935156
55,1753810960,5.0,0.0,5.0,0.0,5.0,0.225866,0.223889,70.0,288.0,0.0839567985406543
56,1753810965,5.0,0.0,5.0,0.0,5.0,0.225866,0.223889,70.0,288.0,0.0875821019299372
57,1753810970,5.0,0.0,5.0,0.0,5.0,0.225866,0.223889,70.0,288.0,0.08512848958018278
58,1753810975,5.0,0.0,5.0,0.0,5.0,0.225866,0.223889,70.0,288.0,0.08915934168977489
59,1753810980,5.0,0.0,5.0,0.0,5.0,0.225866,0.223889,70.0,288.0,0.08672922701404799
60,1753810985,5.0,0.0,5.0,0.0,5.0,0.279095,0.347683,70.0,288.0,0.09044250475703047
61,1753810990,5.0,0.0,5.0,0.0,5.0,0.279095,0.347683,70.0,288.0,0.09189786773514519
62,1753810995,5.0,0.0,5.0,0.0,5.0,0.279095,0.347683,70.0,288.0,0.09349086437791294
63,1753811000,5.0,0.0,5.0,0.0,5.0,0.279095,0.347683,70.0,288.0,0.09315763633978112
64,1753811005,5.0,0.0,5.0,0.0,5.0,0.279095,0.347683,70.0,288.0,0.09148423876187363
65,1753811010,5.0,0.0,5.0,0.0,5.0,0.279095,0.347683,70.0,288.0,0.09845488645598183
66,1753811015,5.0,0.0,5.0,0.0,5.0,0.328575,0.248044,70.0,288.0,0.09487520563957298
67,1753811020,5.0,0.0,5.0,0.0,5.0,0.328575,0.248044,70.0,288.0,0.09500158696943012
68,1753811025,5.0,0.0,5.0,0.0,5.0,0.328575,0.248044,70.0,288.0,0.09388423578461128
69,1753811030,5.0,0.0,5.0,0.0,5.0,0.328575,0.248044,70.0,288.0,0.09660419880073678
70,1753811035,5.0,0.0,5.0,0.0,5.0,0.328575,0.248044,70.0,288.0,0.09645229894183453
71,1753811040,5.0,0.0,5.0,0.0,5.0,0.328575,0.248044,70.0,288.0,0.09528030449656966
72,1753811045,5.0,0.0,5.0,0.0,5.0,0.282623,0.233531,70.0,288.0,0.09051316359994258
73,1753811050,5.0,0.0,5.0,0.0,5.0,0.282623,0.233531,70.0,288.0,0.09018010497788846
74,1753811055,5.0,0.0,5.0,0.0,5.0,0.282623,0.233531,70.0,288.0,0.09078781820773424
75,1753811060,5.0,0.0,5.0,0.0,5.0,0.282623,0.233531,70.0,288.0,0.0911786729043127
76,1753811065,5.0,0.0,5.0,0.0,5.0,0.282623,0.233531,70.0,288.0,0.08053563605437132
77,1753811070,5.0,0.0,5.0,0.0,5.0,0.282623,0.233531,70.0,288.0,0.08846387711571556
78,1753811075,5.0,0.0,5.0,0.0,5.0,0.268538,0.283866,70.0,288.0,0.0923956259081448
79,1753811080,5.0,0.0,5.0,0.0,5.0,0.268538,0.283866,70.0,288.0,0.09152184148052987
80,1753811085,5.0,0.0,5.0,0.0,5.0,0.268538,0.283866,70.0,288.0,0.08691439126945616
81,1753811090,5.0,0.0,5.0,0.0,5.0,0.268538,0.283866,70.0,288.0,0.09174832868861622
82,1753811095,5.0,0.0,5.0,0.0,5.0,0.268538,0.283866,70.0,288.0,0.0924831714126659
83,1753811100,5.0,0.0,5.0,0.0,5.0,0.268538,0.283866,70.0,288.0,0.09049695485324767
84,1753811105,5.0,0.0,5.0,0.0,5.0,0.330226,0.535242,70.0,288.0,0.09391408751457408
85,1753811110,5.0,0.0,5.0,0.0,5.0,0.330226,0.535242,70.0,288.0,0.08731450807908119
86,1753811115,5.0,0.0,5.0,0.0,5.0,0.330226,0.535242,70.0,288.0,0.09906327579823906
87,1753811120,5.0,0.0,5.0,0.0,5.0,0.330226,0.535242,70.0,288.0,0.10296734299273483
88,1753811125,5.0,0.0,5.0,0.0,5.0,0.330226,0.535242,70.0,288.0,0.10466246647749282
89,1753811130,5.0,0.0,5.0,0.0,5.0,0.330226,0.535242,70.0,288.0,0.10329334138345295
90,1753811135,5.0,0.0,5.0,0.0,5.0,0.369286,0.238147,70.0,288.0,0.09878595417937834
91,1753811140,5.0,0.0,5.0,0.0,5.0,0.369286,0.238147,70.0,288.0,0.10170540670644597
92,1753811145,5.0,0.0,5.0,0.0,5.0,0.369286,0.238147,70.0,288.0,0.10241078445852778
93,1753811150,5.0,0.0,5.0,0.0,5.0,0.369286,0.238147,70.0,288.0,0.10207262700713579
94,1753811155,5.0,0.0,5.0,0.0,5.0,0.369286,0.238147,70.0,288.0,0.09295182169828375
95,1753811160,5.0,0.0,5.0,0.0,5.0,0.369286,0.238147,70.0,288.0,0.09316975341396858
96,1753811165,5.0,0.0,5.0,0.0,5.0,0.33267,0.254596,70.0,288.0,0.09316467213481429
97,1753811170,5.0,0.0,5.0,0.0,5.0,0.33267,0.254596,70.0,288.0,0.09163759693930516
98,1753811175,5.0,0.0,5.0,0.0,5.0,0.33267,0.254596,70.0,288.0,0.09159070780698741
99,1753811180,5.0,0.0,5.0,0.0,5.0,0.33267,0.254596,70.0,288.0,0.09540376706360397
100,1753811185,5.0,0.0,5.0,0.0,5.0,0.33267,0.254596,70.0,288.0,0.09609729419601193
101,1753811190,5.0,0.0,5.0,0.0,5.0,0.33267,0.254596,70.0,288.0,0.09111686599838982
102,1753811195,5.0,0.0,5.0,0.0,5.0,0.271556,0.153369,70.0,288.0,0.09005919381197296
103,1753811200,5.0,0.0,5.0,0.0,5.0,0.271556,0.153369,70.0,288.0,0.0872365659605658
104,1753811205,5.0,0.0,5.0,0.0,5.0,0.271556,0.153369,70.0,288.0,0.08682164563424379
105,1753811210,5.0,0.0,5.0,0.0,5.0,0.271556,0.153369,70.0,288.0,0.08267565585794734
106,1753811215,5.0,0.0,5.0,0.0,5.0,0.271556,0.153369,70.0,288.0,0.08055431107492374
107,1753811220,5.0,0.0,5.0,0.0,5.0,0.271556,0.153369,70.0,288.0,0.07868164036956375
108,1753811225,5.0,0.0,5.0,0.0,5.0,0.243279,0.264087,70.0,288.0,0.07782316185819332
109,1753811230,5.0,0.0,5.0,0.0,5.0,0.243279,0.264087,70.0,288.0,0.07882946730996465
110,1753811235,5.0,0.0,5.0,0.0,5.0,0.243279,0.264087,70.0,288.0,0.07761083945210497
111,1753811240,5.0,0.0,5.0,0.0,5.0,0.243279,0.264087,70.0,288.0,0.07919422835310876
112,1753811245,5.0,0.0,5.0,0.0,5.0,0.243279,0.264087,70.0,288.0,0.08753743243147279
113,1753811250,5.0,0.0,5.0,0.0,5.0,0.243279,0.264087,70.0,288.0,0.08753743243147279
114,1753811255,5.0,0.0,5.0,0.0,5.0,0.29096,0.441856,70.0,288.0,0.08646083600716346
115,1753811260,5.0,0.0,5.0,0.0,5.0,0.29096,0.441856,70.0,288.0,0.08447010488749512
116,1753811265,5.0,0.0,5.0,0.0,5.0,0.29096,0.441856,70.0,288.0,0.09690464349463454
117,1753811270,5.0,0.0,5.0,0.0,5.0,0.29096,0.441856,70.0,288.0,0.10086813820854847
118,1753811275,5.0,0.0,5.0,0.0,5.0,0.29096,0.441856,70.0,288.0,0.09695749523306485
119,1753811280,5.0,0.0,5.0,0.0,5.0,0.29096,0.441856,70.0,288.0,0.09460372153867691
120,1753811285,5.0,0.0,5.0,0.0,5.0,0.329683,0.276034,70.0,288.0,0.08734971382027809
