,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753808219,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753808224,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753808229,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
3,1753808234,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
4,1753808239,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,0.003498579866790737
5,1753808244,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,0.007278542668816867
6,1753808249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.014811029192412407
7,1753808254,5.0,0.0,5.0,0.0,5.0,6.136809,0.106541,70.0,288.0,0.019182530464840863
8,1753808259,5.0,0.0,5.0,0.0,5.0,6.136809,0.106541,70.0,288.0,0.022345878146951055
9,1753808264,5.0,0.0,5.0,0.0,5.0,6.136809,0.106541,70.0,288.0,0.02493161765254162
10,1753808269,5.0,0.0,5.0,0.0,5.0,6.136809,0.106541,70.0,288.0,0.030490850002126375
11,1753808274,5.0,0.0,5.0,0.0,5.0,6.136809,0.106541,70.0,288.0,0.0353657006086325
12,1753808279,5.0,0.0,5.0,0.0,5.0,6.136809,0.106541,70.0,288.0,0.04321027108842306
13,1753808284,5.0,0.0,5.0,0.0,5.0,3.088617,0.364682,70.0,288.0,0.05151796011634649
14,1753808289,5.0,0.0,5.0,0.0,5.0,3.088617,0.364682,70.0,288.0,0.06627128521666265
15,1753808294,5.0,0.0,5.0,0.0,5.0,3.088617,0.364682,70.0,288.0,0.06928251181690911
16,1753808299,5.0,0.0,5.0,0.0,5.0,3.088617,0.364682,70.0,288.0,0.07886282251095739
17,1753808304,5.0,0.0,5.0,0.0,5.0,3.088617,0.364682,70.0,288.0,0.08204068220669405
18,1753808309,5.0,0.0,5.0,0.0,5.0,3.088617,0.364682,70.0,288.0,0.08675464355061667
19,1753808314,5.0,0.0,5.0,0.0,5.0,0.258083,0.205984,70.0,288.0,0.09169483554918734
20,1753808319,5.0,0.0,5.0,0.0,5.0,0.258083,0.205984,70.0,288.0,0.08902064835921593
21,1753808324,5.0,0.0,5.0,0.0,5.0,0.258083,0.205984,70.0,288.0,0.09344993568767229
22,1753808329,5.0,0.0,5.0,0.0,5.0,0.258083,0.205984,70.0,288.0,0.09286017798179615
23,1753808334,5.0,0.0,5.0,0.0,5.0,0.258083,0.205984,70.0,288.0,0.08913968259178376
24,1753808339,5.0,0.0,5.0,0.0,5.0,0.258083,0.205984,70.0,288.0,0.08582171320947375
