,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753808219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1753808224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
2,1753808229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
3,1753808234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
4,1753808239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
5,1753808244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
6,1753808249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
7,1753808254,1.0,0.0,0.0,0.0,1.0,8.621824,8.930644,70.0,-220.0,
8,1753808259,1.0,0.0,0.0,0.0,1.0,8.621824,8.930644,70.0,-220.0,
9,1753808264,1.0,0.0,0.0,0.0,1.0,8.621824,8.930644,70.0,-220.0,
10,1753808269,1.0,0.0,0.0,0.0,1.0,8.621824,8.930644,70.0,-220.0,
11,1753808274,1.0,0.0,0.0,0.0,1.0,8.621824,8.930644,70.0,-220.0,
12,1753808279,1.0,0.0,0.0,0.0,1.0,8.621824,8.930644,70.0,-220.0,
13,1753808284,4.0,0.0,2.0,0.0,4.0,41.011052,2.754869,70.0,-14.0,0.22623276834006759
14,1753808289,4.0,0.0,2.0,0.0,4.0,41.011052,2.754869,70.0,-14.0,0.27969701409783887
15,1753808294,4.0,0.0,2.0,0.0,4.0,41.011052,2.754869,70.0,-14.0,0.37112593528053806
16,1753808299,4.0,0.0,2.0,0.0,4.0,41.011052,2.754869,70.0,-14.0,0.47596159033803376
17,1753808304,4.0,0.0,2.0,0.0,4.0,41.011052,2.754869,70.0,-14.0,0.5227429318719328
18,1753808309,4.0,0.0,2.0,0.0,4.0,41.011052,2.754869,70.0,-14.0,0.6565521538842045
19,1753808314,4.0,0.0,3.0,0.0,4.0,36.272254,3.460935,70.0,85.0,0.7088996118800592
20,1753808319,4.0,0.0,3.0,0.0,4.0,36.272254,3.460935,70.0,85.0,0.728731761605357
