,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1753797357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
1,1753797362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
2,1753797367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
3,1753797372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
4,1753797377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,
5,1753797382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,0.00699444300820707
6,1753797387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,0.009093795912247475
7,1753797392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-211.0,0.006514146052752868
8,1753797397,1.0,0.0,1.0,0.0,1.0,0.864708,0.4,14.0,-192.0,0.0077063990452863485
9,1753797402,1.0,0.0,1.0,0.0,1.0,0.864708,0.4,14.0,-192.0,0.008898652037819829
10,1753797407,1.0,0.0,1.0,0.0,1.0,0.864708,0.4,14.0,-192.0,0.007909141666666668
11,1753797412,1.0,0.0,1.0,0.0,1.0,0.864708,0.4,14.0,-192.0,0.007620735712586796
12,1753797417,1.0,0.0,1.0,0.006892934108115001,1.0,0.864708,0.4,14.0,-192.0,0.00841308235777036
13,1753797422,1.0,0.0,1.0,0.006892934108115001,1.0,0.864708,0.4,14.0,-192.0,0.009205429002953928
14,1753797427,1.0,0.0,1.0,0.006892934108115001,1.0,0.523327,0.011578,14.0,-192.0,0.0025988644616095594
15,1753797432,1.0,0.0,1.0,0.006892934108115001,1.0,0.523327,0.011578,14.0,-192.0,0.0025988644616095594
16,1753797437,1.0,0.0,1.0,0.006892934108115001,1.0,0.523327,0.011578,14.0,-192.0,0.0025988644616095594
17,1753797442,1.0,0.0,1.0,0.006892934108115001,1.0,0.523327,0.011578,14.0,-192.0,0.003006261814744801
18,1753797447,1.0,0.0,1.0,0.0,1.0,0.523327,0.011578,14.0,-192.0,0.002946554473325263
19,1753797452,1.0,0.0,1.0,0.0,1.0,0.523327,0.011578,14.0,-192.0,0.0030202234603932654
20,1753797457,1.0,0.0,1.0,0.0,1.0,0.174518,0.40705,14.0,-192.0,0.0030202234603932654
21,1753797462,1.0,0.0,1.0,0.0,1.0,0.174518,0.40705,14.0,-192.0,0.002906055496575699
22,1753797467,1.0,0.0,1.0,0.0,1.0,0.174518,0.40705,14.0,-192.0,0.002906055496575699
23,1753797472,1.0,0.0,1.0,0.0,1.0,0.174518,0.40705,14.0,-192.0,0.002746464490174842
24,1753797477,1.0,0.0,1.0,0.004264338315409055,1.0,0.174518,0.40705,14.0,-192.0,0.0027585521243355103
25,1753797482,1.0,0.0,1.0,0.004264338315409055,1.0,0.174518,0.40705,14.0,-192.0,0.0027585521243355103
26,1753797487,1.0,0.0,1.0,0.004264338315409055,1.0,0.157794,0.013183,14.0,-192.0,0.0027135321174692017
27,1753797492,1.0,0.0,1.0,0.004264338315409055,1.0,0.157794,0.013183,14.0,-192.0,0.0022810064043284344
28,1753797497,1.0,0.0,1.0,0.004264338315409055,1.0,0.157794,0.013183,14.0,-192.0,0.0033669711675706543
29,1753797502,1.0,0.0,1.0,0.004264338315409055,1.0,0.157794,0.013183,14.0,-192.0,0.0033669711675706543
30,1753797507,1.0,0.0,1.0,0.012537245541121374,1.0,0.157794,0.013183,14.0,-192.0,0.003664185087618829
31,1753797512,1.0,0.0,1.0,0.012537245541121374,1.0,0.157794,0.013183,14.0,-192.0,0.003999794845014734
32,1753797517,1.0,0.0,1.0,0.012537245541121374,1.0,0.127194,0.20779,14.0,-192.0,0.003999794845014734
33,1753797522,1.0,0.0,1.0,0.012537245541121374,1.0,0.127194,0.20779,14.0,-192.0,0.004563947935710974
34,1753797527,1.0,0.0,1.0,0.012537245541121374,1.0,0.127194,0.20779,14.0,-192.0,0.004563947935710974
35,1753797532,1.0,0.0,1.0,0.012537245541121374,1.0,0.127194,0.20779,14.0,-192.0,0.004123687152885973
36,1753797537,1.0,0.0,1.0,0.01146960667585697,1.0,0.127194,0.20779,14.0,-192.0,0.00393984264014862
37,1753797542,1.0,0.0,1.0,0.01146960667585697,1.0,0.127194,0.20779,14.0,-192.0,0.00393984264014862
38,1753797547,1.0,0.0,1.0,0.01146960667585697,1.0,0.144171,0.204595,14.0,-192.0,0.003665252541423197
39,1753797552,1.0,0.0,1.0,0.01146960667585697,1.0,0.144171,0.204595,14.0,-192.0,0.003665252541423197
40,1753797557,1.0,0.0,1.0,0.01146960667585697,1.0,0.144171,0.204595,14.0,-192.0,0.003090574844938933
41,1753797562,1.0,0.0,1.0,0.01146960667585697,1.0,0.144171,0.204595,14.0,-192.0,0.003570904173106647
42,1753797567,1.0,0.0,1.0,0.009882893154130788,1.0,0.144171,0.204595,14.0,-192.0,0.003570904173106647
43,1753797572,1.0,0.0,1.0,0.009882893154130788,1.0,0.144171,0.204595,14.0,-192.0,0.0031407345432514374
44,1753797577,1.0,0.0,1.0,0.009882893154130788,1.0,0.126282,0.205363,14.0,-192.0,0.0037870973903493046
