,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753819255,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753819260,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753819265,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
3,1753819270,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,
4,1753819275,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.0007105928636304659
5,1753819280,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.005200220068387027
6,1753819285,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.006396240851453683
7,1753819290,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.009234360304241003
8,1753819295,5.0,0.0,5.0,0.0,5.0,1.410534,0.00658,70.0,288.0,0.014072282918374658
9,1753819300,5.0,0.0,5.0,0.0,5.0,1.410534,0.00658,70.0,288.0,0.014991385716157258
10,1753819305,5.0,0.0,5.0,0.0,5.0,1.410534,0.00658,70.0,288.0,0.014783499683162966
11,1753819310,5.0,0.0,5.0,0.0,5.0,1.410534,0.00658,70.0,288.0,0.014849002506602732
12,1753819315,5.0,0.0,5.0,0.0,5.0,1.410534,0.00658,70.0,288.0,0.016262860334703783
13,1753819320,5.0,0.0,5.0,0.0,5.0,1.410534,0.00658,70.0,288.0,0.01665977390391373
14,1753819325,5.0,0.0,5.0,0.0,5.0,0.707966,0.002213,70.0,288.0,0.015448262364505222
15,1753819330,5.0,0.0,5.0,0.0,5.0,0.707966,0.002213,70.0,288.0,0.01592987021440763
16,1753819335,5.0,0.0,5.0,0.0,5.0,0.707966,0.002213,70.0,288.0,0.01565432571514401
17,1753819340,5.0,0.0,5.0,0.0,5.0,0.707966,0.002213,70.0,288.0,0.011417193670234976
18,1753819345,5.0,0.0,5.0,0.0,5.0,0.707966,0.002213,70.0,288.0,0.011244672629382032
19,1753819350,5.0,0.0,5.0,0.0,5.0,0.707966,0.002213,70.0,288.0,0.010239819445411545
20,1753819355,5.0,0.0,5.0,0.0,5.0,0.014604,0.030663,70.0,288.0,0.01061341283661153
21,1753819360,5.0,0.0,5.0,0.0,5.0,0.014604,0.030663,70.0,288.0,0.012594850490429235
22,1753819365,5.0,0.0,5.0,0.0,5.0,0.014604,0.030663,70.0,288.0,0.012269293233986777
23,1753819370,5.0,0.0,5.0,0.0,5.0,0.014604,0.030663,70.0,288.0,0.01702044740694466
24,1753819375,5.0,0.0,5.0,0.0,5.0,0.014604,0.030663,70.0,288.0,0.020715266280672634
25,1753819380,5.0,0.0,5.0,0.0,5.0,0.014604,0.030663,70.0,288.0,0.020217311875387185
26,1753819385,5.0,0.0,5.0,0.0,5.0,0.052626,0.011277,70.0,288.0,0.022926991777630475
27,1753819390,5.0,0.0,5.0,0.0,5.0,0.052626,0.011277,70.0,288.0,0.021890065160157016
28,1753819395,5.0,0.0,5.0,0.0,5.0,0.052626,0.011277,70.0,288.0,0.021141536455425436
29,1753819400,5.0,0.0,5.0,0.0,5.0,0.052626,0.011277,70.0,288.0,0.019193250380114595
30,1753819405,5.0,0.0,5.0,0.0,5.0,0.052626,0.011277,70.0,288.0,0.020137345707135035
31,1753819410,5.0,0.0,5.0,0.0,5.0,0.052626,0.011277,70.0,288.0,0.017908062887157714
32,1753819415,5.0,0.0,5.0,0.0,5.0,0.050824,0.003976,70.0,288.0,0.013492394054889861
33,1753819420,5.0,0.0,5.0,0.0,5.0,0.050824,0.003976,70.0,288.0,0.009623572180996643
34,1753819425,5.0,0.0,5.0,0.0,5.0,0.050824,0.003976,70.0,288.0,0.00897573890258945
35,1753819430,5.0,0.0,5.0,0.0,5.0,0.050824,0.003976,70.0,288.0,0.009425318396886019
36,1753819435,5.0,0.0,5.0,0.0,5.0,0.050824,0.003976,70.0,288.0,0.010198568513307664
37,1753819440,5.0,0.0,5.0,0.0,5.0,0.050824,0.003976,70.0,288.0,0.009924980085278964
38,1753819445,5.0,0.0,5.0,0.0,5.0,0.012753,0.023579,70.0,288.0,0.011181731980549708
39,1753819450,5.0,0.0,5.0,0.0,5.0,0.012753,0.023579,70.0,288.0,0.011252045328020635
40,1753819455,5.0,0.0,5.0,0.0,5.0,0.012753,0.023579,70.0,288.0,0.012266382104544747
41,1753819460,5.0,0.0,5.0,0.0,5.0,0.012753,0.023579,70.0,288.0,0.01153879883616789
42,1753819465,5.0,0.0,5.0,0.0,5.0,0.012753,0.023579,70.0,288.0,0.011880489282251907
43,1753819470,5.0,0.0,5.0,0.0,5.0,0.012753,0.023579,70.0,288.0,0.01280390604029351
44,1753819475,5.0,0.0,5.0,0.0,5.0,0.013968,0.00822,70.0,288.0,0.0140256927799359
45,1753819480,5.0,0.0,5.0,0.0,5.0,0.013968,0.00822,70.0,288.0,0.013298504014383277
