,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753815777,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
1,1753815782,0.0,0.0,0.0,,0.0,0.0,0.0,70.0,-211.0,
2,1753815787,5.0,0.0,5.0,,5.0,11.681076,11.681076,70.0,277.0,
3,1753815792,5.0,0.0,5.0,,5.0,11.681076,11.681076,70.0,277.0,0.004080199102437125
4,1753815797,5.0,0.0,5.0,,5.0,11.681076,11.681076,70.0,277.0,0.014994935217032565
5,1753815802,5.0,0.0,5.0,,5.0,11.681076,11.681076,70.0,277.0,0.016509901366071292
6,1753815807,5.0,0.0,5.0,0.0,5.0,11.681076,11.681076,70.0,277.0,0.025113037044983758
7,1753815812,5.0,0.0,5.0,0.0,5.0,11.681076,11.681076,70.0,277.0,0.05340684240994228
8,1753815817,5.0,0.0,5.0,0.0,5.0,66.096393,28.179416,70.0,260.0,0.060990367731667376
9,1753815822,5.0,0.0,5.0,0.0,5.0,66.096393,28.179416,70.0,260.0,0.10705641485372068
10,1753815827,5.0,0.0,5.0,0.0,5.0,66.096393,28.179416,70.0,260.0,0.14959890383890656
11,1753815832,5.0,0.0,5.0,0.0,5.0,66.096393,28.179416,70.0,260.0,0.17918927288884096
12,1753815837,5.0,0.0,5.0,0.0,5.0,66.096393,28.179416,70.0,260.0,0.21996433797314033
13,1753815842,5.0,0.0,5.0,0.0,5.0,66.096393,28.179416,70.0,260.0,0.2590447657103299
14,1753815847,5.0,0.0,5.0,0.0,5.0,58.463053,10.123419,70.0,278.0,0.2902815321243429
15,1753815852,5.0,0.0,5.0,0.0,5.0,58.463053,10.123419,70.0,278.0,0.3229778551326636
16,1753815857,5.0,0.0,5.0,0.0,5.0,58.463053,10.123419,70.0,278.0,0.34717105754336347
17,1753815862,5.0,0.0,5.0,0.0,5.0,58.463053,10.123419,70.0,278.0,0.35808940013904633
18,1753815867,5.0,0.0,5.0,0.0,5.0,58.463053,10.123419,70.0,278.0,0.3731737264214892
19,1753815872,5.0,0.0,5.0,0.0,5.0,58.463053,10.123419,70.0,278.0,0.380021420849289
20,1753815877,5.0,0.0,5.0,0.0,5.0,27.314223,9.806214,70.0,279.0,0.380021420849289
21,1753815882,5.0,0.0,5.0,0.0,5.0,27.314223,9.806214,70.0,279.0,0.3673490696557853
22,1753815887,5.0,0.0,5.0,0.0,5.0,27.314223,9.806214,70.0,279.0,0.3431627749173377
23,1753815892,5.0,0.0,5.0,0.0,5.0,27.314223,9.806214,70.0,279.0,0.35515591500209986
24,1753815897,5.0,0.0,5.0,0.0,5.0,27.314223,9.806214,70.0,279.0,0.34367739497489924
25,1753815902,5.0,0.0,5.0,0.0,5.0,27.314223,9.806214,70.0,279.0,0.3627763154153347
26,1753815907,5.0,0.0,5.0,0.0,5.0,11.134411,12.047325,70.0,276.0,0.36068592107038866
27,1753815912,5.0,0.0,5.0,0.0,5.0,11.134411,12.047325,70.0,276.0,0.35919838993208253
28,1753815917,5.0,0.0,5.0,0.0,5.0,11.134411,12.047325,70.0,276.0,0.3506768532943685
29,1753815922,5.0,0.0,5.0,0.0,5.0,11.134411,12.047325,70.0,276.0,0.34082322130957393
30,1753815927,5.0,0.0,5.0,0.0,5.0,11.134411,12.047325,70.0,276.0,0.3529870643556669
31,1753815932,5.0,0.0,5.0,0.0,5.0,11.134411,12.047325,70.0,276.0,0.3521755709241898
32,1753815937,5.0,0.0,5.0,0.0,5.0,8.332688,7.185215,70.0,281.0,0.3523255125910611
33,1753815942,5.0,0.0,5.0,0.0,5.0,8.332688,7.185215,70.0,281.0,0.34314804918259095
34,1753815947,5.0,0.0,5.0,0.0,5.0,8.332688,7.185215,70.0,281.0,0.35090233100176765
35,1753815952,5.0,0.0,5.0,0.0,5.0,8.332688,7.185215,70.0,281.0,0.3662567939089701
36,1753815957,5.0,0.0,5.0,0.0,5.0,8.332688,7.185215,70.0,281.0,0.34761133939699246
37,1753815962,5.0,0.0,5.0,0.0,5.0,8.332688,7.185215,70.0,281.0,0.3754880947155839
38,1753815967,5.0,0.0,5.0,0.0,5.0,9.517535,13.745327,70.0,275.0,0.37567603499326624
39,1753815972,5.0,0.0,5.0,0.0,5.0,9.517535,13.745327,70.0,275.0,0.37240089493724216
40,1753815977,5.0,0.0,5.0,0.0,5.0,9.517535,13.745327,70.0,275.0,0.39017724207405147
41,1753815982,5.0,0.0,5.0,0.0,5.0,9.517535,13.745327,70.0,275.0,0.4002839040636455
42,1753815987,5.0,0.0,5.0,0.0,5.0,9.517535,13.745327,70.0,275.0,0.37491712556886825
43,1753815992,5.0,0.0,5.0,0.0,5.0,9.517535,13.745327,70.0,275.0,0.42453655669522816
44,1753815997,5.0,0.0,5.0,0.0,5.0,13.664496,17.857642,70.0,271.0,0.4299557098342015
45,1753816002,5.0,0.0,5.0,0.0,5.0,13.664496,17.857642,70.0,271.0,0.43601323656692137
46,1753816007,5.0,0.0,5.0,0.0,5.0,13.664496,17.857642,70.0,271.0,0.44112614506943265
