,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753822725,0.0,0.0,0.0,,0.0,-1e-06,0.0,56.0,-211.0,
1,1753822730,0.0,0.0,0.0,,0.0,-1e-06,0.0,56.0,-211.0,
2,1753822735,0.0,0.0,0.0,,0.0,-1e-06,0.0,56.0,-211.0,0.0013642500488803345
3,1753822740,0.0,0.0,0.0,0.0,0.0,-1e-06,0.0,56.0,-211.0,0.01249839950297527
4,1753822745,5.0,0.0,5.0,0.0,5.0,12.064548,0.205849,56.0,188.0,0.01586736097560123
5,1753822750,5.0,0.0,5.0,0.0,5.0,12.064548,0.205849,56.0,188.0,0.019973920518948834
6,1753822755,5.0,0.0,5.0,0.0,5.0,12.064548,0.205849,56.0,188.0,0.03206063779377234
7,1753822760,5.0,0.0,5.0,0.0,5.0,12.064548,0.205849,56.0,188.0,0.0390803491918016
8,1753822765,5.0,0.0,5.0,0.0,5.0,12.064548,0.205849,56.0,188.0,0.04338414829443954
9,1753822770,5.0,0.0,5.0,0.0,5.0,12.064548,0.205849,56.0,188.0,0.04683694705783912
10,1753822775,5.0,0.0,5.0,0.0,5.0,4.923696,0.113468,56.0,188.0,0.049596426041699934
11,1753822780,5.0,0.0,5.0,0.0,5.0,4.923696,0.113468,56.0,188.0,0.05330350975134499
12,1753822785,5.0,0.0,5.0,0.0,5.0,4.923696,0.113468,56.0,188.0,0.057268518564901366
13,1753822790,5.0,0.0,5.0,0.0,5.0,4.923696,0.113468,56.0,188.0,0.058599100625801245
14,1753822795,5.0,0.0,5.0,0.0,5.0,4.923696,0.113468,56.0,188.0,0.05263537739027943
15,1753822800,5.0,0.0,5.0,0.0,5.0,4.923696,0.113468,56.0,188.0,0.04342088123690042
16,1753822805,5.0,0.0,5.0,0.0,5.0,3.137527,0.226348,56.0,188.0,0.0507158237072758
17,1753822810,5.0,0.0,5.0,0.0,5.0,3.137527,0.226348,56.0,188.0,0.056150827195241455
18,1753822815,5.0,0.0,5.0,0.0,5.0,3.137527,0.226348,56.0,188.0,0.05816108696492505
19,1753822820,5.0,0.0,5.0,0.0,5.0,3.137527,0.226348,56.0,188.0,0.06083612387716568
